OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"And thoghte, """"Al this nys doon but for a wyle.","And thoghte, “Al this nis doon but for a wile;°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4047,,10,10,And thoghte Al this nys doon but for a wyle,And thoghte Al this nis doon but for a wile,u Sx u S u S u S u Sx,u Sx u S u S u S u Sx,and@conj thinken@v2%pt_3 al@gram_adj this@pron ben@v%pr_3_neg don@v1%ppl but@conj for@prep a@indef_art wile@n,and@conj thinken@v2%pt_3 al@gram_adj this@pron ben@v%pr_3_neg don@v1%ppl but@conj for@prep a@indef_art wile@n,green
They wene that no man may hem bigyle,They wene° that no man may hem bigile;,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4048,,10,10,They wene that no man may hem bigyle,They wene that no man may hem bigile,u Su S u S u S uSx,u Su S u S u S uSx,thei@pron%pl_nom wenen@v2%pr_pl that@conj no@gram_adj man@n mouen@v3%pr_3 hem@pron%pl_obj bigilen@v%inf,thei@pron%pl_nom wenen@v2%pr_pl that@conj no@gram_adj man@n mouen@v3%pr_3 hem@pron%pl_obj bigilen@v%inf,green
"But by my thrift, yet shal I blere hir ye","But, by my thrift, yet shal I blere° hir eye",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4049,,10,10,But by my thrift yet shal I blere hir ye,But by my thrift yet shal I blere hir eye,u S u S u S u Sx u S,u S u S u S u Sx u S,but@conj bi@prep min@pron%gen thrift@n yet@adv shulen@v1%pr_1 ich@pron%nom bleren@v1%inf here@pron%pl_gen eie@n1,but@conj bi@prep min@pron%gen thrift@n yet@adv shulen@v1%pr_1 ich@pron%nom bleren@v1%inf here@pron%pl_gen eie@n1,green
For al the sleighte in hir philosophye.,For al the sleighte° in hir philosophie.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4050,,0,10,For al the sleighte in hir philosophye,For al the sleighte in hir philosophie,      ,u S u Sx u S uSuS,for@prep al@gram_adj the@def_art sleight@n in@prep here@pron%pl_gen philosophie@n,for@prep al@gram_adj the@def_art sleight@n in@prep here@pron%pl_gen philosophie@n,green
The moore queynte crekes that they make,The more queinte crekes° that they make,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4051,,10,10,The moore queynte crekes that they make,The more queinte crekes that they make,u Su Su Su S u Sx,u Su Su Su S u Sx,the@adv more@adj%comp queinte@adj crike@n1%pl that@pron thei@pron%pl_nom maken@v1%pr_pl,the@adv more@adj%comp queinte@adj crike@n1%pl that@pron thei@pron%pl_nom maken@v1%pr_pl,green
The moore wol I stele whan I take.,The more wol I stele whan I take.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4052,,10,10,The moore wol I stele whan I take,The more wol I stele whan I take,u Su S u Su S u Sx,u Su S u Su S u Sx,the@adv more@adj%comp willen@v%pr_1 ich@pron%nom stelen@v%inf whan@adv&conj ich@pron%nom taken@v%pr_1,the@adv more@adj%comp willen@v%pr_1 ich@pron%nom stelen@v%inf whan@adv&conj ich@pron%nom taken@v%pr_1,green
In stide of flour yet wol I yeve hem bren.,"In stede of flour, yet wol I yeve hem bren.°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4053,,10,10,In stide of flour yet wol I yeve hem bren,In stede of flour yet wol I yeve hem bren,u Sx u S u S u Sx u S,u Sx u S u S u Sx u S,in@prep stede@n1 of@prep flour@n2 yet@adv willen@v%pr_1 ich@pron%nom yeven@v%inf hem@pron%pl_obj bran@n,in@prep stede@n1 of@prep flour@n2 yet@adv willen@v%pr_1 ich@pron%nom yeven@v%inf hem@pron%pl_obj bran@n,green
"`The gretteste clerkes been noght wisest men,'","‘The grettest clerks° been noght the wisest men,’",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4054,DIFF,10,10,The gretteste clerkes been noght wisest men,The grettest clerks been noght the wisest men,u Sux Su S u Su S,u Su S u S u Su S,the@def_art gret@adj%sup clerk@n%pl ben@v%pr_pl nought@adv  wise@adj%sup man@n%pl,the@def_art gret@adj%sup clerk@n%pl ben@v%pr_pl nought@adv  wise@adj%sup man@n%pl,
As whilom to the wolf thus spak the mare.,As whilom° to the wolf thus spak the mare;°,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4055,,10,10,As whilom to the wolf thus spak the mare,As whilom to the wolf thus spak the mare,u Su S u S u S u Sx,u Su S u S u S u Sx,as@conj whilom@adv to@prep the@def_art wolf@n thus@adv speken@v%pt_3 the@def_art mere@n1,as@conj whilom@adv to@prep the@def_art wolf@n thus@adv speken@v%pt_3 the@def_art mere@n1,green
Of al hir art counte I noght a tare.,Of al hir° art I counte noght a tare.”°,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4056,DIFF,9,10,Of al hir art counte I noght a tare,Of al hir art I counte noght a tare,S u S u Sx u S u Sx,u S u S u Su S u Sx,of@prep al@gram_adj here@pron%pl_gen art@n1 ich@pron%nom counten@v%pr_1 nought@adv a@indef_art tare@n1,of@prep al@gram_adj here@pron%pl_gen art@n1 ich@pron%nom counten@v%pr_1 nought@adv a@indef_art tare@n1,green
