FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/07/203-gow.cat,203-gow2115,It sit wel every king to have,It sit wel every king to have,8,u S u SuS u x Sx,hit@pron sitten@v%pr_3 wel@adv everi@pron_gram_adj king@n to@part haven@v%inf
gow/07/203-gow.cat,203-gow2116,"Discrecion, whan men him crave,",Discrecion whan men him crave,8,uSuS u S u Sx,discrecioun@n whan@adv&conj man@n%pl him@pron%obj craven@v%pr_pl
gow/07/203-gow.cat,203-gow2117,So that he mai his yifte wite:,So that he mai his yifte wite,8,u S u S u Su Sx,so@adv that@conj he@pron1%nom mouen@v3%pr_3 his@pron1%gen yifte@n witen@v1%inf
gow/07/203-gow.cat,203-gow2118,"Wherof I finde a tale write,",Wherof I finde a tale write,8,uS u Sx u Su Sx,wher-of@adv ich@pron%nom finden@v%pr_1 a@indef_art tale@n writen@v%ppl_abs
gow/07/203-gow.cat,203-gow2119,Hou Cinichus a povere kniht,Hou Cinichus a povere kniht,8,u SuS u Sux S,hou@adv&conj cinichus@n#propn a@indef_art povre@adj knight@n
gow/07/203-gow.cat,203-gow2120,A Somme which was over myht,A Somme which was over myht,8,u Su S u Su S,a@indef_art somme@n2 which@pron ben@v%pt_3 over@prep might@n
gow/07/203-gow.cat,203-gow2121,Preide of his king Antigonus.,Preide of his king Antigonus,8,ux S u S uSuS,preien@v1%pt_3 of@prep his@pron1%gen king@n antigonus@n#propn
gow/07/203-gow.cat,203-gow2122,"The king ansuerde to him thus,",The king ansuerde to him thus,8,u S uSu S u S,the@def_art king@n answeren@v%pt_3 to@prep him@pron%obj thus@adv
gow/07/203-gow.cat,203-gow2123,And seide hou such a yifte passeth,And seide hou such a yifte passeth,8,u Sx u S u Sx uS,and@conj seien@v1%pt_3 hou@adv&conj swich@gram_adj a@indef_art yifte@n passen@v%pr_3
gow/07/203-gow.cat,203-gow2124,"His povere astat: and thanne he lasseth,",His povere astat and thanne he lasseth,8,u Sxx uS u Sx u Sx,his@pron1%gen povre@adj estat@n and@conj thanne@adv he@pron1%nom lessen@v%pr_3
gow/07/203-gow.cat,203-gow2125,"And axeth bot a litel peny,",And axeth bot a litel peny,8,u Su S u Su xS,and@conj asken@v%pr_3 but@conj a@indef_art litel@adj peni@n
gow/07/203-gow.cat,203-gow2126,If that the king wol yive him eny.,If that the king wol yive him eny,8,u S u S u Sx u xS,if@conj that@part the@def_art king@n willen@v%pr_3 yeven@v%inf him@pron%obj ani@gram_adjas_n
gow/07/203-gow.cat,203-gow2127,"The king ansuerde, it was to smal",The king ansuerde it was to smal,8,u S uSx u S u S,the@def_art king@n answeren@v%pt_3 hit@pron ben@v%pt_3 to@adv2 smal@adj
gow/07/203-gow.cat,203-gow2128,"For him, which was a lord real;",For him which was a lord real,8,u S u S u S uS,for@prep him@pron%obj which@pron ben@v%pt_3 a@indef_art lord@n real@adj1
gow/07/203-gow.cat,203-gow2129,To yive a man so litel thing,To yive a man so litel thing,8,u Sx u S u Su S,to@part yeven@v%inf a@indef_art man@n so@adv litel@adj thing@n
gow/07/203-gow.cat,203-gow2130,It were unworschipe in a king.,It were unworschipe in a king,8,u Sx uSux S u S,hit@pron ben@v%pt_3 unworshipe@n in@prep a@indef_art king@n
gow/07/203-gow.cat,203-gow2131,Be this ensample a king mai lere,Be this ensample a king mai lere,8,u S uSx u S u Sx,bi@prep this@gram_adj ensaumple@n a@indef_art king@n mouen@v3%pr_3 leren@v%inf
gow/07/203-gow.cat,203-gow2132,That forto yive is in manere:,That forto yive is in manere,8,u Su Sx u S uSx,that@conj forto@part yeven@v%inf ben@v%pr_3 in@prep manere@n
gow/07/203-gow.cat,203-gow2133,For if a king his tresor lasseth,For if a king his tresor lasseth,8,u S u S u Su Sx,for@conj if@conj a@indef_art king@n his@pron1%gen tresour@n lessen@v%pr_3
gow/07/203-gow.cat,203-gow2134,"Withoute honour and thonkles passeth,",Withoute honour and thonkles passeth,8,uSx uS u Su Sx,withouten@prep honour@n and@conj thankles@adj passen@v%pr_3
gow/07/203-gow.cat,203-gow2135,"Whan he himself wol so beguile,",Whan he himself wol so beguile,8,u S uS u S uSx,whan@adv&conj he@pron1%nom him-self@pron willen@v%pr_3 so@adv bigilen@v%inf
gow/07/203-gow.cat,203-gow2136,"I not who schal compleigne his while,",I not who schal compleigne his while,8,u S u S uSx u Sx,ich@pron%nom witen@v1%pr_1_neg who@pron%nom shulen@v1%pr_3 compleinen@v%inf his@pron1%gen whil@n
gow/07/203-gow.cat,203-gow2137,Ne who be rihte him schal relieve.,Ne who be rihte him schal relieve,8,u S u Sx u S uSx,ne@conj1 who@pron%nom bi@prep right@n him@pron%obj shulen@v1%pr_3 releven@v%inf
gow/07/203-gow.cat,203-gow2138,"Bot natheles this I believe,",Bot natheles this I believe,8,u SuS u S uSx,but@conj no-the-lesse@adv this@pron ich@pron%nom bileven@v2%pr_1
gow/07/203-gow.cat,203-gow2139,To helpe with his oghne lond,To helpe with his oghne lond,8,u Su S u Su S,to@part helpen@v%inf with@prep his@pron1%gen ouen@adj lond@n
gow/07/203-gow.cat,203-gow2140,Behoveth every man his hond,Behoveth every man his hond,8,uSu Sxu S u S,bihoven@v%pr_3 everi@pron_gram_adj man@n his@pron1%gen honde@n
gow/07/203-gow.cat,203-gow2141,To sette upon necessite;,To sette upon necessite,8,u Su Su SuSx,to@part setten@v%inf upon@prep necessite@n
gow/07/203-gow.cat,203-gow2142,And ek his kinges realte,And ek his kinges realte,7,S u S uS uSx,and@conj ek@adv his@pron1%gen king@n%gen realte@n1
gow/07/203-gow.cat,203-gow2143,"Mot every liege man conforte,",Mot every liege man conforte,8,u SuS ux S uSx,moten@v2%pr_3 everi@pron_gram_adj lege@adj man@n comforten@v%inf
gow/07/203-gow.cat,203-gow2144,"With good and bodi to supporte,",With good and bodi to supporte,8,u S u Su S uSx,with@prep god@n2 and@conj bodi@n to@part supporten@v%inf
gow/07/203-gow.cat,203-gow2145,Whan thei se cause resonable:,Whan thei se cause resonable,8,u S u Su SuSx,whan@adv&conj thei@pron%pl_nom sen@v1%pr_pl cause@n resonable@adj2
gow/07/203-gow.cat,203-gow2146,For who that is noght entendable,For who that is noght entendable,8,u S u S u SuSx,for@conj who@pron%nom that@pron ben@v%pr_3 nought@adv entendable@adj
gow/07/203-gow.cat,203-gow2147,"To holde upriht his kinges name,",To holde upriht his kinges name,8,u Sx uS u Su Sx,to@part holden@v1%inf uprighte@adv his@pron1%gen king@n%gen name@n
gow/07/203-gow.cat,203-gow2148,Him oghte forto be to blame.,Him oghte forto be to blame,8,u Su Su S u Sx,him@pron%obj ouen@v%pt_3 forto@part ben@v%inf to@part blamen@v%inf
