FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/06/168-gow.cat,168-gow391,"Bot, Sone, thou schalt bidde and preie",Bot Sone thou schalt bidde and preie,8,u Su S u Sx u S,but@conj sone@n thou@pron%nom shulen@v1%pr_2 bidden@v%inf and@conj preien@v1%inf
gow/06/168-gow.cat,168-gow392,"In such a wise as I schal seie,",In such a wise as I schal seie,8,u S u Sx u S u S,in@prep swich@gram_adj a@indef_art wise@n2 as@conj ich@pron%nom shulen@v1%pr_1 seien@v1%inf
gow/06/168-gow.cat,168-gow393,That thou the lusti welle atteigne,That thou the lusti welle atteigne,8,u S u Su Sx uSx,that@conj thou@pron%nom the@def_art lusti@adj welle@n atteinen@v%pr_2
gow/06/168-gow.cat,168-gow394,Thi wofull thurstes to restreigne,Thi wofull thurstes to restreigne,8,u Su Su S uSx,thin@pron%gen woful@adj thirst@n%pl to@part restreinen@v%inf
gow/06/168-gow.cat,168-gow395,"Of love, and taste the swetnesse;",Of love and taste the swetnesse,8,u Sx u Su S uSx,of@prep love@n1 and@conj tasten@v%inf the@def_art swetenesse@n
gow/06/168-gow.cat,168-gow396,"As Bachus dede in his distresse,",As Bachus dede in his distresse,8,u Su Sx u S uSx,as@conj bachus@n#propn don@v1%pt_3 in@prep his@pron1%gen distresse@n
gow/06/168-gow.cat,168-gow397,Whan bodiliche thurst him hente,Whan bodiliche thurst him hente,8,u SuSu S u Sx,whan@adv&conj bodilich@adj thirst@n him@pron%obj henten@v%pt_3
gow/06/168-gow.cat,168-gow398,In strange londes where he wente.,In strange londes where he wente,8,u Su Su Sx u Sx,in@prep straunge@adj lond@n%pl wher@adv&conj he@pron1%nom wenden@v%pt_3
gow/06/168-gow.cat,168-gow399,This Bachus Sone of Jupiter,This Bachus Sone of Jupiter,8,u Su Sx u SuS,this@gram_adj bachus@n#propn sone@n of@prep jupiter@n#propn
gow/06/168-gow.cat,168-gow400,"Was hote, and as he wente fer",Was hote and as he wente fer,8,u Sx u S u Su S,ben@v%pt_3 hoten@v1%ppl and@conj as@conj he@pron1%nom wenden@v%pt_3 fer@adv
gow/06/168-gow.cat,168-gow401,Be his fadres assignement,Be his fadres assignement,8,u S uS uSuS,bi@prep his@pron1%gen fader@n%gen assignement@n
gow/06/168-gow.cat,168-gow402,"To make a werre in Orient,",To make a werre in Orient,8,u Sx u Sx u SuS,to@part maken@v1%inf a@indef_art werre@n1 in@prep oriente@n
gow/06/168-gow.cat,168-gow403,"And gret pouer with him he ladde,",And gret pouer with him he ladde,8,u S uS u S u Sx,and@conj gret@adj pouere@n with@prep him@pron%obj he@pron1%nom leden@v1%pt_3
gow/06/168-gow.cat,168-gow404,So that the heiere hond he hadde,So that the heiere hond he hadde,8,u S u Sux S u Sx,so@adv that@conj the@def_art heigh@adj honde@n he@pron1%nom haven@v%pt_3
gow/06/168-gow.cat,168-gow405,"And victoire of his enemys,",And victoire of his enemys,8,u Sux S u SuS,and@conj victorie@n of@prep his@pron1%gen enemi@n%pl
gow/06/168-gow.cat,168-gow406,"And torneth homward with his pris,",And torneth homward with his pris,8,u Su Su S u S,and@conj turnen@v%pr_3 hom-ward@adv with@prep his@pron1%gen pris@n1
gow/06/168-gow.cat,168-gow407,In such a contre which was dreie,In such a contre which was dreie,8,u S u Su S u S,in@prep swich@gram_adj a@indef_art contree@n which@pron ben@v%pt_3 drie@adj1
gow/06/168-gow.cat,168-gow408,A meschief fell upon the weie.,A meschief fell upon the weie,8,u Su S uS u S,a@indef_art mischef@n fallen@v%pt_3 upon@prep the@def_art wei@n
gow/06/168-gow.cat,168-gow409,As he rod with his compainie,As he rod with his compainie,8,u S u S u SuS,as@conj he@pron1%nom riden@v%pt_3 with@prep his@pron1%gen compaignie@n
gow/06/168-gow.cat,168-gow410,"Nyh to the strondes of Lubie,",Nyh to the strondes of Lubie,8,u S u Su S uS,neigh@adv to@prep the@def_art stronde@n1%pl of@prep libie@n#propn
gow/06/168-gow.cat,168-gow411,Ther myhte thei no drinke finde,Ther myhte thei no drinke finde,8,u Su S u Su Sx,ther@adv mouen@v3%pt_pl thei@pron%pl_nom no@gram_adj drinke@n finden@v%inf
gow/06/168-gow.cat,168-gow412,"Of water nor of other kinde,",Of water nor of other kinde,8,u Su S u Su Sx,of@prep water@n nor@conj of@prep other@gram_adj kinde@n
gow/06/168-gow.cat,168-gow413,So that himself and al his host,So that himself and al his host,8,u S uS u S u S,so@adv that@conj him-self@pron and@conj al@gram_adj his@pron1%gen hoste@n1
gow/06/168-gow.cat,168-gow414,Were of defalte of drinke almost,Were of defalte of drinke almost,8,ux S uSx u Sx uS,ben@v%pt_pl of@prep defaute@n of@prep drinke@n al-most@adv
gow/06/168-gow.cat,168-gow415,"Destruid, and thanne Bachus preide",Destruid and thanne Bachus preide,8,uS u Su Su Sx,destroien@v%ppl and@conj thanne@adv bachus@n#propn preien@v1%pt_3
gow/06/168-gow.cat,168-gow416,"To Jupiter, and thus he seide:",To Jupiter and thus he seide,8,u SuS u S u Sx,to@prep jupiter@n#propn and@conj thus@adv he@pron1%nom seien@v1%pt_3
gow/06/168-gow.cat,168-gow417,"""O hihe fader, that sest al,",O hihe fader that sest al,8,u Su Su S u S,o@interj heigh@adj fader@n that@pron sen@v1%pr_2 al@gram_adjas_n
gow/06/168-gow.cat,168-gow418,To whom is reson that I schal,To whom is reson that I schal,8,u S u Su S u S,to@prep whom@pron%obj ben@v%pr_3 resoun@n2 that@conj ich@pron%nom shulen@v1%pr_1
gow/06/168-gow.cat,168-gow419,"Beseche and preie in every nede,",Beseche and preie in every nede,8,uSx u S u SuS xx,bisechen@v%inf and@conj preien@v1%inf in@prep everi@pron_gram_adj nede@n1
gow/06/168-gow.cat,168-gow420,"Behold, mi fader, and tak hiede",Behold mi fader and tak hiede,8,uS u Sx u S uSx,biholden@v%imp min@pron fader@n and@conj taken@v%imp hed@n2
gow/06/168-gow.cat,168-gow421,This wofull thurst that we ben inne,This wofull thurst that we ben inne,8,u Su S u S u Sx,this@gram_adj woful@adj thirst@n that@pron we@pron%pl_nom ben@v%pr_pl inne@adv
gow/06/168-gow.cat,168-gow422,"To staunche, and grante ous forto winne,",To staunche and grante ous forto winne,8,u Sx u Sx u Su Sx,to@part staunchen@v%inf and@conj graunten@v%imp us@pron forto@part winnen@v%inf
gow/06/168-gow.cat,168-gow423,"And sauf unto the contre fare,",And sauf unto the contre fare,8,u S uS u Su Sx,and@conj sauf@adv unto@prep the@def_art contree@n faren@v%inf
gow/06/168-gow.cat,168-gow424,Wher that oure lusti loves are,Wher that oure lusti loves are,8,u S ux Su Su Sx,wher@adv&conj that@part oure@pron lusti@adj love@n1%pl ben@v%pr_pl
gow/06/168-gow.cat,168-gow425,"Waitende upon oure hom cominge.""",Waitende upon oure hom cominge,8,uSx uS ux S uSx,waiten@v%prp upon@prep oure@pron hom@adv cominge@ger
gow/06/168-gow.cat,168-gow426,"And with the vois of his preiynge,",And with the vois of his preiynge,7,S u S u S u Sx,and@conj with@prep the@def_art voice@n of@prep his@pron1%gen preiinge@ger
gow/06/168-gow.cat,168-gow427,"Which herd was to the goddes hihe,",Which herd was to the goddes hihe,8,u S u S u Su Sx,which@pron heren@v%ppl ben@v%pt_3 to@prep the@def_art god@n1%pl heigh@adj
gow/06/168-gow.cat,168-gow428,He syh anon tofore his yhe,He syh anon tofore his yhe,8,u S uS uSx u Sx,he@pron1%nom sen@v1%pt_3 an-on@adv toforen@prep his@pron1%gen eie@n1
gow/06/168-gow.cat,168-gow429,"A wether, which the ground hath sporned;",A wether which the ground hath sporned,8,u Su S u S u Sx,a@indef_art wether@n which@pron the@def_art ground@n haven@v%pr_3 spurnen@v%ppl
gow/06/168-gow.cat,168-gow430,"And wher he hath it overtorned,",And wher he hath it overtorned,8,u S u S u SuSx,and@conj wher@adv&conj he@pron1%nom haven@v%pr_3 hit@pron overturnen@v%ppl
gow/06/168-gow.cat,168-gow431,"Ther sprang a welle freissh and cler,",Ther sprang a welle freissh and cler,8,u S u Su S u S,ther@adv springen@v%pt_3 a@indef_art welle@n fresh@adj and@conj cler@adj
