FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/08/268-gow.cat,268-gow3138,But now uppon my laste tide,But now uppon my laste tide,8,u S uS u Su Sx,but@conj nou@adv upon@prep min@pron laste@adj tide@n
gow/08/268-gow.cat,268-gow3139,"That y this book have maad and write,",That y this book have maad and write,8,u S u S ux S u Sx,that@conj ich@pron%nom this@gram_adj bok@n1 haven@v%pr_1 maken@v1%ppl and@conj writen@v%ppl
gow/08/268-gow.cat,268-gow3140,"My muse doth me forto wite,",My muse doth me forto wite,8,u Su S u Su Sx,min@pron muse@n don@v1%pr_3 me@pron2%obj forto@part witen@v1%inf
gow/08/268-gow.cat,268-gow3141,And seith it schal be for my beste,And seith it schal be for my beste,8,u S u S u S u Sx,and@conj seien@v1%pr_3 hit@pron shulen@v1%pr_3 ben@v%inf for@prep min@pron best@adjas_n
gow/08/268-gow.cat,268-gow3142,"Fro this day forth to take reste,",Fro this day forth to take reste,8,u S u S u Su Sx,from@prep this@gram_adj dai@n forth@adv to@part taken@v%inf reste@n1
gow/08/268-gow.cat,268-gow3143,"That y nomore of love make,",That y nomore of love make,8,u S uSx u Su Sx,that@conj ich@pron%nom no_more@n of@prep love@n1 maken@v1%pr_1
gow/08/268-gow.cat,268-gow3144,"Which many an herte hath overtake,",Which many an herte hath overtake,8,u Sx u Sx u SuSx,which@pron mani@gram_adj a@indef_art herte@n haven@v%pr_3 overtaken@v%ppl
gow/08/268-gow.cat,268-gow3145,And ovyrturnyd as the blynde,And ovyrturnyd as the blynde,8,u SuSu S u Sx,and@conj overturnen@v%ppl as@conj the@def_art blind@n
gow/08/268-gow.cat,268-gow3146,Fro reson in to lawe of kynde;,Fro reson in to lawe of kynde,8,u Su S u Sx u Sx,from@prep resoun@n2 in@adv to@prep laue@n of@prep kinde@n
gow/08/268-gow.cat,268-gow3147,Wher as the wisdom goth aweie,Wher as the wisdom goth aweie,8,u S u Su S uS,wher@adv&conj as@conj the@def_art wisdom@n gon@v%pr_3 awei@adv
gow/08/268-gow.cat,268-gow3148,And can nought se the ryhte weie,And can nought se the ryhte weie,8,u S u S u Su S,and@conj connen@v%pr_3 nought@adv sen@v1%inf the@def_art right@adj wei@n
gow/08/268-gow.cat,268-gow3149,"How to governe his oghne estat,",How to governe his oghne estat,8,u S uSx u Sx uS,hou@adv&conj to@part governen@v%inf his@pron1%gen ouen@adj estat@n
gow/08/268-gow.cat,268-gow3150,Bot everydai stant in debat,Bot everydai stant in debat,8,u SxuS u S uS,but@conj everi-dai@adv stonden@v1%pr_3 in@prep debat@n
gow/08/268-gow.cat,268-gow3151,"Withinne him self, and can nought leve.",Withinne him self and can nought leve,8,uSx u S u S u Sx,with-inne@prep him@pron%obj self@adj and@conj connen@v%pr_3 nought@adv leven@v1%inf
gow/08/268-gow.cat,268-gow3152,And thus forthy my final leve,And thus forthy my final leve,8,u S uS u Su Sx,and@conj thus@adv for-thi@adv&conj min@pron final@adj leve@n2
gow/08/268-gow.cat,268-gow3153,"I take now for evere more,",I take now for evere more,8,u Sx u S uSu Sx,ich@pron%nom taken@v%pr_1 nou@adv for@prep ever@adv more@adj%comp
gow/08/268-gow.cat,268-gow3154,"Withoute makynge any more,",Withoute makynge any more,8,uSx uSu Su Sx,withouten@prep makinge@ger ani@gram_adj more@n3
gow/08/268-gow.cat,268-gow3155,"Of love and of his dedly hele,",Of love and of his dedly hele,8,u Sx u S u Su Sx,of@prep love@n1 and@conj of@prep his@pron1%gen dedli@adj hele@n1
gow/08/268-gow.cat,268-gow3156,Which no phisicien can hele.,Which no phisicien can hele,8,u S uSuS u Sx,which@pron no@gram_adj phisicien@n connen@v%pr_3 helen@v1%inf
gow/08/268-gow.cat,268-gow3157,"For his nature is so divers,",For his nature is so divers,8,u S uSx u S uS,for@conj his@pron1%gen nature@n ben@v%pr_3 so@adv diverse@adj
gow/08/268-gow.cat,268-gow3158,That it hath evere som travers,That it hath evere som travers,8,u S u Sux S uS,that@conj hit@pron haven@v%pr_3 ever@adv som@gram_adj travers@n
gow/08/268-gow.cat,268-gow3159,"Or of to moche or of to lite,",Or of to moche or of to lite,8,u S u Sx u S u Sx,or@conj of@prep to@adv2 muche@n or@conj of@prep to@adv2 lite@adj1
gow/08/268-gow.cat,268-gow3160,"That pleinly mai noman delite,",That pleinly mai noman delite,8,u Su S uS uSx,that@conj pleinli@adv mouen@v3%pr_3 no-man@n deliten@v%inf
gow/08/268-gow.cat,268-gow3161,Bot if him faile or that or this.,Bot if him faile or that or this,8,u S u Sx u S u S,but@conj if@conj him@pron%obj failen@v%pr_3 or@conj that@pron or@conj this@pron
gow/08/268-gow.cat,268-gow3162,Bot thilke love which that is,Bot thilke love which that is,8,u Su Su S u S,but@conj thilke@gram_adj love@n1 which@pron that@pron ben@v%pr_3
gow/08/268-gow.cat,268-gow3163,"Withinne a mannes herte affermed,",Withinne a mannes herte affermed,8,uSx u Su Sx uSx,with-inne@prep a@indef_art man@n%gen herte@n affermen@v%ppl
gow/08/268-gow.cat,268-gow3164,"And stant of charite confermed,",And stant of charite confermed,8,u S u Sux SuS,and@conj stonden@v1%pr_3 of@prep charite@n confermen@v%ppl_abs
gow/08/268-gow.cat,268-gow3165,"Such love is goodly forto have,",Such love is goodly forto have,8,u Sx u Su Su Sx,swich@gram_adj love@n1 ben@v%pr_3 godli@adj2 forto@part haven@v%inf
gow/08/268-gow.cat,268-gow3166,"Such love mai the bodi save,",Such love mai the bodi save,8,u Su S u Su Sx,swich@gram_adj love@n1 mouen@v3%pr_3 the@def_art bodi@n saven@v%inf
gow/08/268-gow.cat,268-gow3167,"Such love mai the soule amende,",Such love mai the soule amende,8,u Su S u Sx uSx,swich@gram_adj love@n1 mouen@v3%pr_3 the@def_art soule@n amenden@v%inf
gow/08/268-gow.cat,268-gow3168,The hyhe god such love ous sende,The hyhe god such love ous sende,8,u Su S u Sx u Sx,the@def_art heigh@adj god@n1 swich@gram_adj love@n1 us@pron senden@v2%pr_3
gow/08/268-gow.cat,268-gow3169,Forthwith the remenant of grace;,Forthwith the remenant of grace,8,uS u SuS u Sx,forth-with@adv the@def_art remenaunt@n of@prep grace@n
gow/08/268-gow.cat,268-gow3170,So that above in thilke place,So that above in thilke place,8,u S uSx u Su Sx,so@adv that@conj aboven@adv in@prep thilke@gram_adj place@n
gow/08/268-gow.cat,268-gow3171,"Wher resteth love and alle pes,",Wher resteth love and alle pes,8,u Su Sx u Su S,wher@adv&conj resten@v1%pr_3 love@n1%pl and@conj al@gram_adj pes@n
gow/08/268-gow.cat,268-gow3172,Oure joie mai ben endeles.,Oure joie mai ben endeles,7,Sx u S u SuS,oure@pron joie@n mouen@v3%pr_3 ben@v%inf endeles@adj
