FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/06/165-gow.cat,165-gow1,"The grete Senne original,",The grete Senne original,8,u Su Sx uSuS,the@def_art gret@adj sinne@n originale@adj1
gow/06/165-gow.cat,165-gow2,Which every man in general,Which every man in general,8,u SuS u S uxS,which@pron everi@pron_gram_adj man@n in@prep general@n
gow/06/165-gow.cat,165-gow3,"Upon his berthe hath envenymed,",Upon his berthe hath envenymed,8,uS u Sx u SuSx,upon@prep his@pron1%gen birthe@n haven@v%pr_3 envenimen@v%ppl
gow/06/165-gow.cat,165-gow4,In Paradis it was mystymed:,In Paradis it was mystymed,8,u SuS u S uSx,in@prep paradise@n hit@pron ben@v%pt_3 mistimen@v%ppl
gow/06/165-gow.cat,165-gow5,"Whan Adam of thilke Appel bot,",Whan Adam of thilke Appel bot,8,u Su S ux Su S,whan@adv&conj adam@n#propn of@prep thilke@gram_adj appel@n but@conj
gow/06/165-gow.cat,165-gow6,"His swete morscel was to hot,",His swete morscel was to hot,8,u Su Su S u S,his@pron1%gen swete@adj morsel@n ben@v%pt_3 to@adv2 hot@adj
gow/06/165-gow.cat,165-gow7,Which dedly made the mankinde.,Which dedly made the mankinde,8,u Su Su S uSx,which@pron dedli@adj maken@v1%pt_3 the@def_art man-kinde@n
gow/06/165-gow.cat,165-gow8,"And in the bokes as I finde,",And in the bokes as I finde,8,u S u Su S u Sx,and@conj in@prep the@def_art bok@n1%pl as@conj ich@pron%nom finden@v%pr_1
gow/06/165-gow.cat,165-gow9,"This vice, which so out of rule",This vice which so out of rule,8,u Su S u S u Sx,this@gram_adj vice@n which@pron so@adv oute@adv of@prep reule@n
gow/06/165-gow.cat,165-gow10,"Hath sette ous alle, is cleped Gule;",Hath sette ous alle is cleped Gule,8,u Sx u Sx u Su Sx,haven@v%pr_3 setten@v%ppl us@pron al@gram_adj ben@v%pr_3 clepen@v%ppl gula@n
gow/06/165-gow.cat,165-gow11,"Of which the branches ben so grete,",Of which the branches ben so grete,8,u S u Su S u Sx,of@prep which@pron the@def_art braunch@n%pl ben@v%pr_pl so@adv gret@adj
gow/06/165-gow.cat,165-gow12,"That of hem alle I wol noght trete,",That of hem alle I wol noght trete,8,u S u Sx u S u Sx,that@conj of@prep hem@pron%pl_obj al@gram_adj ich@pron%nom willen@v%pr_1 nought@adv treten@v%inf
gow/06/165-gow.cat,165-gow13,Bot only as touchende of tuo,Bot only as touchende of tuo,8,u Su S uSx u S,but@conj onli@adv as@conj touchinge@prep of@prep two@num_n
gow/06/165-gow.cat,165-gow14,I thenke speke and of no mo;,I thenke speke and of no mo,8,u Su Sx u S u S,ich@pron%nom thinken@v2%pr_1 speken@v%inf and@conj of@prep no@gram_adj mo@n
gow/06/165-gow.cat,165-gow15,"Wherof the ferste is Dronkeschipe,",Wherof the ferste is Dronkeschipe,8,uS u Sx u SuSx,wher-of@adv the@def_art first@num_n ben@v%pr_3 dronkeshipe@n
gow/06/165-gow.cat,165-gow16,Which berth the cuppe felaschipe.,Which berth the cuppe felaschipe,8,u S u Su SuSx,which@pron beren@v1%pr_3 the@def_art cuppe@n felaushipe@n
gow/06/165-gow.cat,165-gow17,"Ful many a wonder doth this vice,",Ful many a wonder doth this vice,8,u Su S ux S u Sx,ful@adv mani@gram_adj a@indef_art wonder@n don@v1%pr_3 this@gram_adj vice@n
gow/06/165-gow.cat,165-gow18,"He can make of a wisman nyce,",He can make of a wisman nyce,8,u S ux S u Su Sx,he@pron1%nom connen@v%pr_3 maken@v1%inf of@prep a@indef_art wise_man@n nice@adj
gow/06/165-gow.cat,165-gow19,"And of a fool, that him schal seme",And of a fool that him schal seme,8,u S u S u S u Sx,and@conj of@prep a@indef_art fol@n that@conj him@pron%obj shulen@v1%pr_3 semen@v2%inf
gow/06/165-gow.cat,165-gow20,"That he can al the lawe deme,",That he can al the lawe deme,8,u S u S u Su Sx,that@conj he@pron1%nom connen@v%pr_3 al@gram_adj the@def_art laue@n demen@v%inf
gow/06/165-gow.cat,165-gow21,And yiven every juggement,And yiven every juggement,8,u Su Sxu SuS,and@conj yeven@v%inf everi@pron_gram_adj jugement@n
gow/06/165-gow.cat,165-gow22,Which longeth to the firmament,Which longeth to the firmament,8,u Su S u SuS,which@pron longen@v3%pr_3 to@prep the@def_art firmament@n
gow/06/165-gow.cat,165-gow23,Bothe of the sterre and of the mone;,Bothe of the sterre and of the mone,8,ux S u Sx u S u Sx,bothe@num_conj of@prep the@def_art sterre@n and@conj of@prep the@def_art mone@n1
gow/06/165-gow.cat,165-gow24,And thus he makth a gret clerk sone,And thus he makth a gret clerk sone,8,u S u S u S u Sx,and@conj thus@adv he@pron1%nom maken@v1%pr_3 a@indef_art gret@adj clerk@n sone@adv
gow/06/165-gow.cat,165-gow25,Of him that is a lewed man.,Of him that is a lewed man,8,u S u S u Su S,of@prep him@pron%obj that@pron ben@v%pr_3 a@indef_art leued@adj man@n
gow/06/165-gow.cat,165-gow26,"Ther is nothing which he ne can,",Ther is nothing which he ne can,8,u S uS u S u S,ther@adv ben@v%pr_3 no-thing@pron which@pron he@pron1%nom ne@adv connen@v%pr_3
