FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/03/57-gow.cat,57-gow731,"Yit cam ther nevere good of strif,",Yit cam ther nevere good of strif,8,u S u Sux S u S,yet@adv comen@v%pt_3 ther@adv never@adv god@n2 of@prep strife@n
gow/03/57-gow.cat,57-gow732,To seche in all a mannes lif:,To seche in all a mannes lif,8,u Sx u S u Su S,to@part sechen@v%inf in@prep al@gram_adj a@indef_art man@n%gen lif@n
gow/03/57-gow.cat,57-gow733,"Thogh it beginne on pure game,",Thogh it beginne on pure game,8,u S uSx u Su Sx,though@conj hit@pron biginnen@v%pr_3 on@prep pure@adj game@n
gow/03/57-gow.cat,57-gow734,Fulofte it torneth into grame,Fulofte it torneth into grame,8,uSx u Su Su Sx,ful-ofte@adv hit@pron turnen@v%pr_3 in-to@prep grame@n
gow/03/57-gow.cat,57-gow735,And doth grevance upon som side.,And doth grevance upon som side,8,u S uSx uS u Sx,and@conj don@v1%pr_3 grevaunce@n upon@prep som@gram_adj side@n
gow/03/57-gow.cat,57-gow736,Wherof the grete Clerk Ovide,Wherof the grete Clerk Ovide,8,uS u Su S uSx,wher-of@adv the@def_art gret@adj clerk@n ovide@n#propn
gow/03/57-gow.cat,57-gow737,After the lawe which was tho,After the lawe which was tho,8,uS u Su S u S,after@prep the@def_art laue@n which@pron ben@v%pt_3 tho@adv
gow/03/57-gow.cat,57-gow738,Of Jupiter and of Juno,Of Jupiter and of Juno,8,u SuS u S uS,of@prep jupiter@n#propn and@conj of@prep juno@n#propn
gow/03/57-gow.cat,57-gow739,Makth in his bokes mencioun,Makth in his bokes mencioun,8,u S u Su SuS,maken@v1%pr_3 in@prep his@pron1%gen bok@n1%pl mencioun@n
gow/03/57-gow.cat,57-gow740,How thei felle at dissencioun,How thei felle at dissencioun,8,u S ux S uSuS,hou@adv&conj thei@pron%pl_nom fallen@v%pt_pl at@prep dissencioun@n
gow/03/57-gow.cat,57-gow741,"In manere as it were a borde,",In manere as it were a borde,8,u Sux S u Sx u Sx,in@prep manere@n as@conj hit@pron ben@v%pt_3 a@indef_art bord@n
gow/03/57-gow.cat,57-gow742,As thei begunne forto worde,As thei begunne forto worde,8,u S uSu Su Sx,as@conj thei@pron%pl_nom biginnen@v%pt_pl forto@part worden@v%inf
gow/03/57-gow.cat,57-gow743,Among hemself in privete:,Among hemself in privete,7,Su Su S uSx,amonges@prep hem-self@pron in@prep privete@n
gow/03/57-gow.cat,57-gow744,"And that was upon this degree,",And that was upon this degree,8,u S u Su S uS,and@conj that@pron ben@v%pt_3 upon@prep this@gram_adj degre@n
gow/03/57-gow.cat,57-gow745,"Which of the tuo more amorous is,",Which of the tuo more amorous is,0,      ,which@pron of@prep the@def_art two@num_n more@adj%comp amorous@adj ben@v%pr_3
gow/03/57-gow.cat,57-gow746,Or man or wif. And upon this,Or man or wif And upon this,8,u S u S u Su S,or@conj man@n or@conj wif@n and@conj upon@prep this@pron
gow/03/57-gow.cat,57-gow747,"Thei mihten noght acorde in on,",Thei mihten noght acorde in on,8,u Su S uSx u S,thei@pron%pl_nom mouen@v3%pt_pl nought@adv accorden@v%inf in@prep on@pron
gow/03/57-gow.cat,57-gow748,"And toke a jugge therupon,",And toke a jugge therupon,8,u Sx u Su SuS,and@conj taken@v%pt_pl a@indef_art juge@n1 ther-upon@adv
gow/03/57-gow.cat,57-gow749,"Which cleped is Tiresias,",Which cleped is Tiresias,8,u Su S uSuS,which@pron clepen@v%ppl ben@v%pr_3 tiresias@n#propn
