FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/05/149-gow.cat,149-gow5505,"In the lignage of Avarice,",In the lignage of Avarice,8,u S uSx u SuSx,in@prep the@def_art linage@n of@prep avarice@n
gow/05/149-gow.cat,149-gow5506,"Mi Sone, yit ther is a vice,",Mi Sone yit ther is a vice,8,u Su S u S u Sx,min@pron sone@n yet@adv ther@adv ben@v%pr_3 a@indef_art vice@n
gow/05/149-gow.cat,149-gow5507,"His rihte name it is Ravine,",His rihte name it is Ravine,8,u Su Sx u S uSx,his@pron1%gen right@adj name@n hit@pron ben@v%pr_3 ravine@n
gow/05/149-gow.cat,149-gow5508,Which hath a route of his covine.,Which hath a route of his covine,8,u S u Sx u S uSx,which@pron haven@v%pr_3 a@indef_art route@n1 of@prep his@pron1%gen covine@n
gow/05/149-gow.cat,149-gow5509,"Ravine among the maistres duelleth,",Ravine among the maistres duelleth,8,uSx uS u Su Sx,ravine@n amonges@prep the@def_art maister@n%pl dwellen@v%pr_3
gow/05/149-gow.cat,149-gow5510,"And with his servantz, as men telleth,",And with his servantz as men telleth,8,u S u Su S u Sx,and@conj with@prep his@pron1%gen servaunt@n%pl as@conj men@pron_impers tellen@v%pr_3
gow/05/149-gow.cat,149-gow5511,Extorcion is nou withholde:,Extorcion is nou withholde,8,uSuS u S uSx,extorcioun@n ben@v%pr_3 nou@adv withholden@v%ppl
gow/05/149-gow.cat,149-gow5512,Ravine of othre mennes folde,Ravine of othre mennes folde,8,uSx u Su Su Sx,ravine@n of@prep other@gram_adj man@n%pl_gen fold@n1
gow/05/149-gow.cat,149-gow5513,Makth his larder and paieth noght;,Makth his larder and paieth noght,8,u S uS u Su S,maken@v1%pr_3 his@pron1%gen larder@n and@conj paien@v%pr_3 nought@pron
gow/05/149-gow.cat,149-gow5514,"For wher as evere it mai be soght,",For wher as evere it mai be soght,8,u S u Sxx u S u S,for@conj wher@adv&conj as@conj ever@adv hit@pron mouen@v3%pr_3 ben@v%inf sechen@v%ppl
gow/05/149-gow.cat,149-gow5515,"In his hous ther schal nothing lacke,",In his hous ther schal nothing lacke,8,u S u S u Su Sx,in@prep his@pron1%gen hous@n ther@adv shulen@v1%pr_3 no-thing@pron lakken@v%inf
gow/05/149-gow.cat,149-gow5516,And that fulofte abyth the packe,And that fulofte abyth the packe,8,u S uSx uS u Sx,and@conj that@pron ful-ofte@adv abien@v%pr_3 the@def_art pake@n
gow/05/149-gow.cat,149-gow5517,Of povere men that duelle aboute.,Of povere men that duelle aboute,8,u Sux S u Sx uSx,of@prep povre@adj man@n%pl that@pron dwellen@v%pr_pl abouten@adv
gow/05/149-gow.cat,149-gow5518,"Thus stant the comun poeple in doute,",Thus stant the comun poeple in doute,0,      ,thus@adv stonden@v1%pr_3 the@def_art commune@adj peple@n in@prep doute@n
gow/05/149-gow.cat,149-gow5519,Which can do non amendement;,Which can do non amendement,8,u S u S uSuS,which@pron connen@v%pr_3 don@v1%inf non@gram_adj amendement@n
gow/05/149-gow.cat,149-gow5520,"For whanne him faileth paiement,",For whanne him faileth paiement,8,u Su S uS uS,for@conj whan@adv&conj him@pron%obj failen@v%pr_3 paiement@n
gow/05/149-gow.cat,149-gow5521,"Ravine makth non other skile,",Ravine makth non other skile,8,uSu S u Su Sx,ravine@n maken@v1%pr_3 non@gram_adj other@gram_adj skil@n
gow/05/149-gow.cat,149-gow5522,Bot takth be strengthe what he wile.,Bot takth be strengthe what he wile,8,u S u Su S u Sx,but@conj taken@v%pr_3 bi@prep strengthe@n what@pron he@pron1%nom willen@v%pr_3
gow/05/149-gow.cat,149-gow5523,So ben ther in the same wise,So ben ther in the same wise,8,u S u S u Su Sx,so@adv ben@v%pr_pl ther@adv in@prep the@def_art same@gram_adj wise@n2
gow/05/149-gow.cat,149-gow5524,"Lovers, as I thee schal devise,",Lovers as I thee schal devise,8,uS u S u S uSx,lovere@n2%pl as@conj ich@pron%nom the@pron%obj shulen@v1%pr_1 devisen@v%inf
gow/05/149-gow.cat,149-gow5525,"That whan noght elles mai availe,",That whan noght elles mai availe,8,u S u Su S uSx,that@conj whan@adv&conj nought@pron elles@adj mouen@v3%pr_3 availen@v%inf
gow/05/149-gow.cat,149-gow5526,Anon with strengthe thei assaile,Anon with strengthe thei assaile,8,uS u Su S uSx,an-on@adv with@prep strengthe@n thei@pron%pl_nom assaillen@v%pr_pl
gow/05/149-gow.cat,149-gow5527,"And gete of love the sesine,",And gete of love the sesine,8,u Sx u Su S uSx,and@conj geten@v1%pr_pl of@prep love@n1 the@def_art seisine@n
gow/05/149-gow.cat,149-gow5528,"Whan thei se time, be Ravine.",Whan thei se time be Ravine,8,u S u Su S uSx,whan@adv&conj thei@pron%pl_nom sen@v1%pr_pl time@n bi@prep ravine@n
gow/05/149-gow.cat,149-gow5529,"Forthi, mi Sone, schrif thee hier,",Forthi mi Sone schrif thee hier,8,uS u Sx u S uS,for-thi@adv&conj min@pron sone@n shriven@v%imp the@pron%obj her@adv
gow/05/149-gow.cat,149-gow5530,If thou hast ben a Raviner,If thou hast ben a Raviner,8,u S u S u SuS,if@conj thou@pron%nom haven@v%pr_2 ben@v%ppl a@indef_art ravinour@n
gow/05/149-gow.cat,149-gow5531,"Of love. Certes, fader, no:",Of love Certes fader no,8,u Su Su Su S,of@prep love@n1 certes@adv fader@n no@gram_adj
