FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/04/96-gow.cat,96-gow1615,That every love of pure kinde,That every love of pure kinde,8,u SuS ux S ux Sx,that@conj everi@pron_gram_adj love@n1 of@prep pure@adj kinde@n
gow/04/96-gow.cat,96-gow1616,"Is ferst forthdrawe, wel I finde:",Is ferst forthdrawe wel I finde,8,u S uSu S u Sx,ben@v%pr_3 first@adv forth-drauen@v%ppl wel@adv ich@pron%nom finden@v%pr_1
gow/04/96-gow.cat,96-gow1617,Bot natheles yit overthis,Bot natheles yit overthis,8,u SuS u SuS,but@conj no-the-lesse@adv yet@adv over-this@adv
gow/04/96-gow.cat,96-gow1618,Decerte doth so that it is,Decerte doth so that it is,8,uSu S u S u S,desert@n1 don@v1%pr_3 so@adv that@part hit@pron ben@v%pr_3
gow/04/96-gow.cat,96-gow1619,The rather had in mani place.,The rather had in mani place,8,u Su S u Su Sx,the@def_art rathere@adv haven@v%ppl in@prep mani@gram_adj place@n
gow/04/96-gow.cat,96-gow1620,"Forthi who secheth loves grace,",Forthi who secheth loves grace,8,uS u Su Su Sx,for-thi@adv&conj who@pron%nom sechen@v%pr_3 love@n1%gen grace@n
gow/04/96-gow.cat,96-gow1621,"Wher that these worthi wommen are,",Wher that these worthi wommen are,8,u S ux Su Su Sx,wher@adv&conj that@part these@gram_adj%pl worthi@adj womman@n%pl ben@v%pr_pl
gow/04/96-gow.cat,96-gow1622,He mai noght thanne himselve spare,He mai noght thanne himselve spare,8,u S u Sx uSu Sx,he@pron1%nom mouen@v3%pr_3 nought@adv thanne@adv him-self@pron sparen@v%inf
gow/04/96-gow.cat,96-gow1623,"Upon his travail forto serve,",Upon his travail forto serve,8,uS u Su Su Sx,upon@prep his@pron1%gen travail@n forto@part serven@v1%inf
gow/04/96-gow.cat,96-gow1624,"Wherof that he mai thonk deserve,",Wherof that he mai thonk deserve,8,uS u S u S uSx,wher-of@adv that@part he@pron1%nom mouen@v3%pr_3 thank@n deserven@v%inf
gow/04/96-gow.cat,96-gow1625,"There as these men of Armes be,",There as these men of Armes be,8,ux S ux S u Su S,ther@adv as@conj these@gram_adj%pl man@n%pl of@prep armes@n%pl ben@v%pr_pl
gow/04/96-gow.cat,96-gow1626,Somtime over the grete Se:,Somtime over the grete Se,8,uSx uS u Su S,som-time@adv over@prep the@def_art gret@adj se@n1
gow/04/96-gow.cat,96-gow1627,So that be londe and ek be Schipe,So that be londe and ek be Schipe,8,u S u Sx u S u Sx,so@adv that@part bi@prep lond@n and@conj ek@adv bi@prep ship@n
gow/04/96-gow.cat,96-gow1628,He mot travaile for worschipe,He mot travaile for worschipe,8,u S uSu S uSx,he@pron1%nom moten@v2%pr_3 travailen@v%inf for@prep worshipe@n
gow/04/96-gow.cat,96-gow1629,"And make manye hastyf rodes,",And make manye hastyf rodes,8,u Su Su Su Sx,and@conj maken@v1%inf mani@gram_adj hastif@adj rode@n3%pl
gow/04/96-gow.cat,96-gow1630,"Somtime in Prus, somtime in Rodes,",Somtime in Prus somtime in Rodes,8,uSx u S uSx u Sx,som-time@adv in@prep prusse@n#propn som-time@adv in@prep rodes@n#propn
gow/04/96-gow.cat,96-gow1631,And somtime into Tartarie;,And somtime into Tartarie,8,u Sux Su SuS,and@conj som-time@adv in-to@prep tartarie@n#propn
gow/04/96-gow.cat,96-gow1632,"So that these heraldz on him crie,",So that these heraldz on him crie,8,u S ux Su S u S,so@adv that@part these@gram_adj%pl heraud@n%pl on@prep him@pron%obj crien@v%pr_pl
gow/04/96-gow.cat,96-gow1633,"""Vailant, vailant, lo, wher he goth!""",Vailant vailant lo wher he goth,8,uS uS u S u S,vailant@adj vailant@adj lo@interj wher@adv&conj he@pron1%nom gon@v%pr_3
gow/04/96-gow.cat,96-gow1634,"And thanne he yifth hem gold and cloth,",And thanne he yifth hem gold and cloth,8,u Sx u S u S u S,and@conj thanne@adv he@pron1%nom yeven@v%pr_3 hem@pron%pl_obj gold@n and@conj cloth@n
gow/04/96-gow.cat,96-gow1635,"So that his fame mihte springe,",So that his fame mihte springe,8,u S u Su Su Sx,so@adv that@part his@pron1%gen fame@n1 mouen@v3%pt_3 springen@v%inf
gow/04/96-gow.cat,96-gow1636,And to his ladi Ere bringe,And to his ladi Ere bringe,8,u S u Su Su Sx,and@conj to@prep his@pron1%gen ladie@n ere@n1 bringen@v%inf
gow/04/96-gow.cat,96-gow1637,Som tidinge of his worthinesse;,Som tidinge of his worthinesse,8,u Sux S u SuSx,som@gram_adj tidinge@n of@prep his@pron1%gen worthinesse@n
