Headword,Tag,Ending,Count,Percent
mouen,v%pr_pl,mowen,1,0.80%
mouen,v%pr_pl,mowe,6,4.80%
mouen,v%pr_pl,mow,3,2.40%
mouen,v%pr_pl,mighten,1,0.80%
mouen,v%pt_2,mightest,1,100.00%
mouen,v%pt_2_pron,mightestow,1,100.00%
or,conj,or,578,100.00%
wenden,v%inf,wende,20,100.00%
wenden,v%pt_3,wente,61,91.04%
wenden,v%pt_3,went,6,8.96%
wenden,v%ppl,went,9,100.00%
wenden,v%pr_3,went,1,33.33%
wenden,v%pr_3,wende,1,33.33%
wenden,v%pr_3,wendeth,1,33.33%
wenden,v%pt_pl,wente,10,58.82%
wenden,v%pt_pl,wenten,6,35.29%
wenden,v%pt_pl,went,1,5.88%
wenden,v%pr_pl,wende,9,100.00%
wenden,v%pr_1,wende,2,100.00%
wenden,v%pt_1,wente,8,72.73%
wenden,v%pt_1,i,1,9.09%
wenden,v%pt_1,went,2,18.18%
wenden,v%pr_2,wendest,1,33.33%
wenden,v%pr_2,wende,2,66.67%
hit,pron,it,1192,98.19%
hit,pron,wost,1,0.08%
hit,pron,troilus,1,0.08%
hit,pron,sone,1,0.08%
hit,pron,trewe,1,0.08%
hit,pron,hit,16,1.32%
hit,pron,knowe,1,0.08%
hit,pron,me,1,0.08%
ben,v%pt_3,was,1098,87.07%
ben,v%pt_3,were,144,11.42%
ben,v%pt_3,wer,16,1.27%
ben,v%pt_3,hir,1,0.08%
ben,v%pt_3,tourned,1,0.08%
ben,v%pt_3,litel,1,0.08%
ben,v%pt_pl,were,112,79.43%
ben,v%pt_pl,weren,19,13.48%
ben,v%pt_pl,wer,9,6.38%
ben,v%pt_pl,wern,1,0.71%
ben,v%pr_3,is,1268,83.70%
ben,v%pr_3,be,242,15.97%
ben,v%pr_3,she,1,0.07%
ben,v%pr_3,my,1,0.07%
ben,v%pr_3,his,1,0.07%
ben,v%pr_3,that,1,0.07%
ben,v%pr_3,a,1,0.07%
ben,v%inf,be,435,82.70%
ben,v%inf,been,46,8.75%
ben,v%inf,ben,45,8.56%
ben,v%imp,be,35,60.34%
ben,v%imp,beth,22,37.93%
ben,v%imp,war,1,1.72%
ben,v%ppl,ben,15,32.61%
ben,v%ppl,been,15,32.61%
ben,v%ppl,be,16,34.78%
ben,v%pr_pl,ben,76,25.08%
ben,v%pr_pl,been,119,39.27%
ben,v%pr_pl,be,99,32.67%
ben,v%pr_pl,arn,3,0.99%
ben,v%pr_pl,are,2,0.66%
ben,v%pr_pl,ar,2,0.66%
ben,v%pr_pl,were,1,0.33%
ben,v%pr_pl,a,1,0.33%
ben,v%pr_2,art,46,74.19%
ben,v%pr_2,be,14,22.58%
ben,v%pr_2,is,2,3.23%
ben,v%pr_1,am,96,77.42%
ben,v%pr_1,be,25,20.16%
ben,v%pr_1,is,3,2.42%
ben,v%pt_3_neg,nas,56,87.50%
ben,v%pt_3_neg,nere,7,10.94%
ben,v%pt_3_neg,ner,1,1.56%
ben,v%pt_1,was,60,86.96%
ben,v%pt_1,were,6,8.70%
ben,v%pt_1,wer,2,2.90%
ben,v%pt_1,to,1,1.45%
ben,v%pr_3_neg,nis,68,100.00%
ben,v%pt_2_neg,nere,1,100.00%
ben,v%pt_2,were,11,68.75%
ben,v%pt_2,was,4,25.00%
ben,v%pt_2,wer,1,6.25%
ben,v%pt_pl_neg,nere,1,100.00%
ben,v%pr_2_pron,artow,13,92.86%
ben,v%pr_2_pron,art,1,7.14%
ben,v%imp_2,be,1,100.00%
ben,v%pr_1_neg,nam,10,90.91%
ben,v%pr_1_neg,nere,1,9.09%
ben,v%pt_1_neg,nas,1,50.00%
ben,v%pt_1_neg,nere,1,50.00%
ende,n1,ende,53,100.00%
ende,n%pl,endes,1,100.00%
litel,adj,litel,62,98.41%
litel,adj,nede,1,1.59%
litel,adv,litel,22,100.00%
litel,n,litel,5,100.00%
folk,n,folk,96,97.96%
folk,n,folke,1,1.02%
folk,n,aspide,1,1.02%
folk,n%gen,folkes,4,100.00%
folk,n%pl,folkes,4,100.00%
stonden,v%pt_3,stood,44,97.78%
stonden,v%pt_3,stod,1,2.22%
stonden,v%inf,stonde,15,65.22%
stonden,v%inf,stonden,6,26.09%
stonden,v%inf,stande,1,4.35%
stonden,v%inf,stond,1,4.35%
stonden,v%pr_3,stondeth,5,26.32%
stonden,v%pr_3,stant,11,57.89%
stonden,v%pr_3,standeth,3,15.79%
stonden,v%pr_pl,stonde,1,50.00%
stonden,v%pr_pl,stonden,1,50.00%
stonden,v%pt_pl,stoden,3,75.00%
stonden,v%pt_pl,stode,1,25.00%
stonden,v%pr_1,stonde,2,100.00%
stonden,v%imp,stond,2,40.00%
stonden,v%imp,stondeth,1,20.00%
stonden,v%imp,stand,2,40.00%
stonden,v%pr_2,stondest,1,50.00%
stonden,v%pr_2,standest,1,50.00%
stonden,v%pt_1,stoode,2,66.67%
stonden,v%pt_1,stood,1,33.33%
at,prep,at,296,100.00%
in,prep,in,2010,99.75%
in,prep,on,2,0.10%
in,prep,that,1,0.05%
in,prep,gladnesse,1,0.05%
in,prep,wise,1,0.05%
in,adv,in,30,100.00%
in,n,in,4,100.00%
in,lat_prep,in,1,100.00%
which,pron,which,477,94.46%
which,pron,whiche,27,5.35%
which,pron,my,1,0.20%
which,gram_adj,which,7,33.33%
which,gram_adj,thing,1,4.76%
which,gram_adj,a,1,4.76%
which,gram_adj,whiche,11,52.38%
which,gram_adj,whilk,1,4.76%
scole,n2,scole,2,100.00%
scole,n%pl,scoles,2,100.00%
yer,n,yeer,36,78.26%
yer,n,yere,10,21.74%
yer,n%pl,yeres,9,100.00%
yer,n%gen,yeres,1,100.00%
bi,prep,by,663,99.25%
bi,prep,be,2,0.30%
bi,prep,bi,2,0.30%
bi,prep,the,1,0.15%
bi,adv,by,15,100.00%
bi,conj,by,1,100.00%
swich,gram_adj,swich,190,87.96%
swich,gram_adj,swiche,13,6.02%
swich,gram_adj,such,9,4.17%
swich,gram_adj,suche,4,1.85%
swich,pron,swiche,1,50.00%
swich,pron,swich,1,50.00%
manere,n#adj,maner,65,97.01%
manere,n#adj,manere,2,2.99%
manere,n,manere,63,87.50%
manere,n,maner,9,12.50%
as,conj,as,1395,97.96%
as,conj,after,1,0.07%
as,conj,also,26,1.83%
as,conj,god,1,0.07%
as,conj,for,1,0.07%
usen,v%pt_pl,used,2,66.67%
usen,v%pt_pl,usen,1,33.33%
usen,v%inf,use,2,50.00%
usen,v%inf,usen,2,50.00%
usen,v%ppl,used,3,100.00%
usen,v%pr_pl,usen,2,100.00%
usen,v%pr_3,useth,2,100.00%
usen,v%pt_3,used,3,100.00%
usen,v%prp_abs,using,1,100.00%
seien,v%inf,seyn,92,33.95%
seien,v%inf,seye,98,36.16%
