file,adj->n#propn %,adj->n#propn spelled,"adj->n#propn spelled, elided",adj->n#propn unspelled,"adj->n#propn unspelled, elided",def_art->adj %,def_art->adj spelled,"def_art->adj spelled, elided",def_art->adj unspelled,"def_art->adj unspelled, elided",demonstrative->adj %,demonstrative->adj spelled,"demonstrative->adj spelled, elided",demonstrative->adj unspelled,"demonstrative->adj unspelled, elided",interj->adj %,interj->adj spelled,"interj->adj spelled, elided",interj->adj unspelled,"interj->adj unspelled, elided",n%gen->adj %,n%gen->adj spelled,"n%gen->adj spelled, elided",n%gen->adj unspelled,"n%gen->adj unspelled, elided",overall final,overall spelled elided,overall spelled unelided,overall unelided spelled/unspelled ratio,overall unspelled elided,overall unspelled unelided,pron%gen->adj %,pron%gen->adj spelled,"pron%gen->adj spelled, elided",pron%gen->adj unspelled,"pron%gen->adj unspelled, elided",total lines
PrT_gui.csv,100.0,1,1,0,0,0.0,0,1,0,0,100.0,2,0,0,0,100.0,1,1,0,0,0.0,0,0,0,0,0,3,4,100.0,0,0,0.0,0,0,0,0,1020
TC2_gui.csv,0.0,0,0,0,1,100.0,9,0,0,0,100.0,2,0,0,0,100.0,1,0,0,2,0.0,0,0,0,0,0,1,17,100.0,3,0,100.0,5,1,0,0,9012
SumT_gui.csv,0.0,0,0,0,0,100.0,4,1,0,0,100.0,4,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,2,9,100.0,0,0,0.0,0,1,0,0,3192
ClT_gui.csv,0.0,0,0,1,0,66.67,2,1,1,0,100.0,4,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0,2,13,86.67,0,2,100.0,5,1,0,0,6438
HF_gui.csv,0.0,0,0,0,2,88.89,8,0,1,2,100.0,2,0,0,0,100.0,1,0,0,2,0.0,0,0,0,0,0,0,14,93.33,7,1,100.0,3,0,0,1,10590
TC3_gui.csv,100.0,2,1,0,0,100.0,2,1,0,0,75.0,3,1,1,0,100.0,1,0,0,0,0.0,0,0,0,1,0,5,13,86.67,1,2,83.33,5,2,1,0,9102
PhyT_gui.csv,0.0,0,0,0,0,0.0,0,1,0,0,100.0,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,4,100.0,0,0,0.0,0,0,0,0,1626
CYT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,66.67,2,0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,0,1,4,66.67,0,2,0.0,0,1,0,0,4026
SNT_gui.csv,0.0,0,1,0,0,100.0,1,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,2,3,100.0,0,0,100.0,2,0,0,0,2394
BD_gui.csv,50.0,1,0,1,0,83.33,5,0,1,0,0.0,0,0,1,0,50.0,1,0,1,0,0.0,0,0,0,0,0,0,11,73.33,0,4,100.0,4,0,0,0,6282
TC1_gui.csv,0.0,0,0,0,0,100.0,6,0,0,0,0.0,0,1,0,1,100.0,2,1,0,0,0.0,0,0,0,0,0,2,13,100.0,1,0,100.0,5,0,0,0,5490
WBPro_gui.csv,0.0,0,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0,0,7,100.0,0,0,100.0,4,0,0,0,4494
RvT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,100.0,3,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,8,88.89,0,1,66.67,2,0,1,0,2202
KnT_gui.csv,100.0,5,1,0,1,100.0,32,9,0,2,100.0,8,1,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,12,51,98.08,3,1,83.33,5,1,1,0,12198
FriT_gui.csv,0.0,0,0,0,0,50.0,1,0,1,0,100.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,9,90.0,0,1,100.0,5,1,0,0,1950
PF_gui.csv,0.0,0,0,0,0,100.0,5,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,100.0,0,0,0.0,0,0,0,0,3060
SqT_gui.csv,0.0,0,0,0,0,100.0,9,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,11,100.0,0,0,100.0,1,1,0,0,3564
NPT_gui.csv,60.0,3,0,2,0,66.67,6,0,3,0,100.0,1,0,0,0,66.67,2,0,1,0,0.0,0,0,0,0,0,0,12,66.67,1,6,0.0,0,0,0,1,3456
WBT_gui.csv,0.0,0,0,0,0,100.0,3,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,4,100.0,0,0,100.0,1,0,0,0,2238
TC5_gui.csv,100.0,2,0,0,0,100.0,8,0,0,0,100.0,2,0,0,0,0.0,0,1,0,0,100.0,2,0,0,0,0,1,28,96.55,0,1,93.33,14,0,1,0,7674
MkT_gui.csv,0.0,0,0,0,0,100.0,1,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,100.0,0,0,0.0,0,0,0,0,2118
TC4_gui.csv,100.0,1,0,0,0,100.0,8,0,0,0,100.0,1,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0,4,18,100.0,0,0,100.0,6,4,0,0,8784
GP_gui.csv,0.0,0,0,0,0,100.0,6,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,100.0,0,0,100.0,1,0,0,0,4578
MilT_gui.csv,0.0,0,0,0,0,100.0,9,0,0,0,100.0,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,100.0,0,0,100.0,3,0,0,0,3612
MancT_gui.csv,0.0,0,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,5,100.0,0,0,100.0,3,0,0,0,1428
PardT_gui.csv,0.0,0,0,0,0,100.0,5,1,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,6,85.71,0,1,0.0,0,0,1,0,2796
ShipT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,100.0,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,100.0,0,0,100.0,4,0,0,0,2376
MerT_gui.csv,100.0,1,0,0,0,100.0,10,0,0,0,100.0,8,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,24,96.0,0,1,80.0,4,0,1,0,6432
FranT_gui.csv,0.0,0,1,1,0,71.43,5,1,2,0,100.0,2,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,3,8,61.54,0,5,50.0,1,0,1,0,4920
Thop_gui.csv,0.0,0,0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,1140
