OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"For Paul, that writeth unto Thymothee","For Paul, that writeth unto Timothee",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 32,DIFF,10,10,For Paul that writeth unto Thymothee,For Paul that writeth unto Timothee,u S u Su Su SuS,u S u Su Su SuS,for@conj poule@n#propn that@pron writen@v%pr_3 unto@prep thimothee@n2#propn,for@conj poule@n#propn that@pron writen@v%pr_3 unto@prep thimothee@n2#propn,green
Repreveth hem that weyven soothfastnesse,"Repreveth hem that weiven° soothfastnesse,°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 33,,10,10,Repreveth hem that weyven soothfastnesse,Repreveth hem that weiven soothfastnesse,uSu S u Su SuSx,uSu S u Su SuSx,repreven@v%pr_3 hem@pron%pl_obj that@pron weiven@v1&2%pr_pl sothfastnesse@n,repreven@v%pr_3 hem@pron%pl_obj that@pron weiven@v1&2%pr_pl sothfastnesse@n,
And tellen fables and swich wrecchednesse.,And tellen fables and swich wrecchednesse.,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 34,,10,10,And tellen fables and swich wrecchednesse,And tellen fables and swich wrecchednesse,u Su Su S u SuSx,u Su Su S u SuSx,and@conj tellen@v%pr_pl fable@n%pl and@conj swich@gram_adj wrecchednesse@n,and@conj tellen@v%pr_pl fable@n%pl and@conj swich@gram_adj wrecchednesse@n,
Why sholde I sowen draf out of my fest,"Why sholde I sowen draf° out of my fest,°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 35,,10,10,Why sholde I sowen draf out of my fest,Why sholde I sowen draf out of my fest,u Sx u Su S u S u S,u Sx u Su S u S u S,whi@adv shulen@v1%pt_1 ich@pron%nom souen@v1%inf draf@n oute@adv#prep of@prep min@pron%gen fist@n1,whi@adv shulen@v1%pt_1 ich@pron%nom souen@v1%inf draf@n oute@adv#prep of@prep min@pron%gen fist@n1,
"Whan I may sowen whete, if that me lest?","Whan I may sowen whete, if that me lest?°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 36,,10,10,Whan I may sowen whete if that me lest,Whan I may sowen whete if that me lest,u S u Su Sx u S u S,u S u Su Sx u S u S,whan@adv&conj ich@pron%nom mouen@v3%pr_1 souen@v1%inf whete@n if@conj that@part me@pron2%obj listen@v1%pr_3,whan@adv&conj ich@pron%nom mouen@v3%pr_1 souen@v1%inf whete@n if@conj that@part me@pron2%obj listen@v1%pr_3,
"For which I seye, if that yow list to heere","For which° I seye,° if that yow list° to here",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 37,,10,10,For which I seye if that yow list to heere,For which I seye if that yow list to here,u S u S u S u S u Sx,u S u S u S u S u Sx,for@prep which@pron ich@pron%nom seien@v1%pr_1 if@conj that@part you@pron%pl_obj listen@v1%pr_3 to@part heren@v%inf,for@prep which@pron ich@pron%nom seien@v1%pr_1 if@conj that@part you@pron%pl_obj listen@v1%pr_3 to@part heren@v%inf,
Moralitee and vertuous mateere,Moralitee and vertuous matere,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 38,,10,10,Moralitee and vertuous mateere,Moralitee and vertuous matere,uSuS u SuS uSx,uSuS u SuS uSx,moralite@n and@conj vertuous@adj matere@n,moralite@n and@conj vertuous@adj matere@n,
And thanne that ye wol yeve me audience,And than that° ye wol yeve me audience,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 39,,10,10,And thanne that ye wol yeve me audience,And than that ye wol yeve me audience,u Sx u S u Sx u SuSx,u S u S u Sx u SuSx,and@conj thanne@adv that@conj ye@pron%pl_nom willen@v%pr_pl yeven@v%inf me@pron2%obj audience@n,and@conj thanne@adv that@conj ye@pron%pl_nom willen@v%pr_pl yeven@v%inf me@pron2%obj audience@n,
"I wol ful fayn, at Cristes reverence","I wol ful fain,° at° Cristes reverence",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 40,,10,10,I wol ful fayn at Cristes reverence,I wol ful fain at Cristes reverence,u S u S u Su SuSx,u S u S u Su SuSx,ich@pron%nom willen@v%pr_1 ful@adv fain@adv at@prep crist@n#propn%gen reverence@n,ich@pron%nom willen@v%pr_1 ful@adv fain@adv at@prep crist@n#propn%gen reverence@n,
"Do yow plesaunce leefful, as I kan.","Do yow plesaunce leefful,° as I can.",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 41,,10,10,Do yow plesaunce leefful as I kan,Do yow plesaunce leefful as I can,u S uSu Su S u S,u S uSu Su S u S,don@v1%inf you@pron%pl_obj plesaunce@n1 lefful@adj2 as@conj ich@pron%nom connen@v%pr_1,don@v1%inf you@pron%pl_obj plesaunce@n1 lefful@adj2 as@conj ich@pron%nom connen@v%pr_1,
