OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"And yet, I trowe, he that al his lyve","And yet, I trowe, he that all his live",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1235,,10,10,And yet I trowe he that al his lyve,And yet I trowe he that all his live,u S u Su S u S u Sx,u S u Su S u S u Sx,and@conj yet@adv ich@pron%nom trouen@v%pr_1 he@pron1%nom that@pron al@gram_adj his@pron1%gen lif@n,and@conj yet@adv ich@pron%nom trouen@v%pr_1 he@pron1%nom that@pron al@gram_adj his@pron1%gen lif@n,
"Wyflees hath been, though that men wolde him ryve","Wiflees hath been, though that men wolde him rive°",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1236,,10,10,Wyflees hath been though that men wolde him ryve,Wiflees hath been though that men wolde him rive,uS u S u S u Sx u Sx,uS u S u S u Sx u Sx,wifles@adj haven@v%pr_3 ben@v%ppl though@conj that@part man@n%pl willen@v%pt_pl him@pron%obj riven@v2%inf,wifles@adj haven@v%pr_3 ben@v%ppl though@conj that@part man@n%pl willen@v%pt_pl him@pron%obj riven@v2%inf,
"Unto the herte, ne koude in no manere","Unto the herte, ne coude° in no manere°",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1237,,10,10,Unto the herte ne koude in no manere,Unto the herte ne coude in no manere,uS u Sx u Sx u S uSx,uS u Sx u Sx u S uSx,unto@prep the@def_art herte@n ne@adv connen@v%pt_3 in@prep no@gram_adj manere@n,unto@prep the@def_art herte@n ne@adv connen@v%pt_3 in@prep no@gram_adj manere@n,
Tellen so muchel sorwe as I now heere,"Tellen° so muchel sorwe, as I now here",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1238,,10,10,Tellen so muchel sorwe as I now heere,Tellen so muchel sorwe as I now here,uS u Su Sx u S u Sx,uS u Su Sx u S u Sx,tellen@v%inf so@adv muchel@adj sorwe@n as@conj ich@pron%nom nou@adv her@adv,tellen@v%inf so@adv muchel@adj sorwe@n as@conj ich@pron%nom nou@adv her@adv,
Koude tellen of my wyves cursednesse!,Coud tellen of my wives cursednesse!”°,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1239,,10,10,Koude tellen of my wyves cursednesse,Coud tellen of my wives cursednesse,ux Su S u Su SuSx,u Su S u Su SuSx,connen@v%pt_1 tellen@v%inf of@prep min@pron%gen wif@n%gen cursednesse@n,connen@v%pt_1 tellen@v%inf of@prep min@pron%gen wif@n%gen cursednesse@n,
"Now,"""" quod oure Hoost, """"Marchaunt, so God yow blesse","¶“Now,” quod our Hoost, “Marchaunt, so God yow blesse",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1240,,10,10,Now quod oure Hoost Marchaunt so God yow blesse,Now quod our Hoost Marchaunt so God yow blesse,u S ux S uS u S u Sx,u S u S uS u S u Sx,nou@adv quethen@v%pt_3 oure@pron%pl_gen hoste@n2 marchaunt@n so@adv god@n1#propn you@pron%pl_obj blessen@v%pr_3,nou@adv quethen@v%pt_3 oure@pron%pl_gen hoste@n2 marchaunt@n so@adv god@n1#propn you@pron%pl_obj blessen@v%pr_3,
Syn ye so muchel knowen of that art,Sin ye so muchel° knowen of that art,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1241,,10,10,Syn ye so muchel knowen of that art,Sin ye so muchel knowen of that art,u S u Su Su S u S,u S u Su Su S u S,sin@conj ye@pron%pl_nom so@adv muchel@adj knouen@v%pr_pl of@prep that@art&gram_adj art@n1,sin@conj ye@pron%pl_nom so@adv muchel@adj knouen@v%pr_pl of@prep that@art&gram_adj art@n1,
Ful hertely I pray yow telle us part.,Ful hertely° I pray yow telle us part.”,data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1242,,10,10,Ful hertely I pray yow telle us part,Ful hertely I pray yow telle us part,u SuS u S u Sx u S,u SuS u S u Sx u S,ful@adv hertelie@adv ich@pron%nom preien@v1%pr_1 you@pron%pl_obj tellen@v%inf us@pron%pl_obj part@n,ful@adv hertelie@adv ich@pron%nom preien@v1%pr_1 you@pron%pl_obj tellen@v%inf us@pron%pl_obj part@n,
"Gladly,"""" quod he, """"but of myn owene soore","“Gladly,” quod he, “but of min owne sore,°",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1243,,10,10,Gladly quod he but of myn owene soore,Gladly quod he but of min owne sore,uS u S u S u Sux Sx,uS u S u S u Su Sx,gladli@adv quethen@v%pt_3 he@pron1%nom but@conj of@prep min@pron%gen ouen@adj sore@n1,gladli@adv quethen@v%pt_3 he@pron1%nom but@conj of@prep min@pron%gen ouen@adj sore@n1,
"For soory herte, I telle may namoore.","For sory herte, I telle may namore.”",data/riverside_cats/MerPro_riv.cat,data/oxford_txts/MerPro_oxford.txt,data/csvs/MerPro,The Merchant's Prologue 1244,,10,10,For soory herte I telle may namoore,For sory herte I telle may namore,u Su Sx u Su S uSx,u Su Sx u Su S uSx,for@prep sori@adj herte@n ich@pron%nom tellen@v%inf mouen@v3%pr_3 no_more@n,for@prep sori@adj herte@n ich@pron%nom tellen@v%inf mouen@v3%pr_3 no_more@n,
