headword,infinitive,preterite,past_participle,classification,notes
isheuen,isheuen,,yshewed(1),weak,classified by morphological evidence
ishriven,ishriven,,yshrive(1),strong,classified by computer (CHECK)
isouen,isouen,,"ysowe(1), ysowen(1)",strong,classified by morphological evidence
ispeden,ispeden,,ysped(1),weak,classified by computer (CHECK)
ispeken,ispeken,,"yspoke(1), yspoken(1)",strong,classified by morphological evidence
istinten,istinten,,ystint(1),weak,classified by computer (CHECK)
istonden,istonden,,ystonde(1),strong,classified by computer (CHECK)
iswounen,iswounen,,yswowned(1),weak,classified by computer (CHECK)
itaken,itaken,,"ytake(11), ytaken(1)",strong,classified by morphological evidence
itechen,itechen,,ytaught(3),weak,classified by morphological evidence
itellen,itellen,,ytold(2),weak,classified by computer (CHECK)
iturnen,iturnen,,yturned(2),weak,classified by morphological evidence
iwaxen,iwaxen,,"ywaxen(2), ywoxen(1), ywaxe(1)",strong,classified by morphological evidence
iwenden,iwenden,,ywent(1),weak,classified by computer (CHECK)
iwerken,iwerken,,"ywrought(5), ywroght(3), wroght(1), ywroghte(1)",weak,not in list
iwinnen,iwinnen,,ywonne(7),strong,known strong verb
japen,japen,japed(1),"japed(1), yjaped(1)",weak,classified by morphological evidence
joinen,joinen,joined(1),joined(2),weak,classified by morphological evidence (check!)
jugen,jugen,,juged(2),weak,classified by morphological evidence
kemben,kemben,"kembde(1), kembed(1)","kembd(3), kempt(1)",weak,classified by morphological evidence
kennen,kennen,,kende(1),weak,Seems weak
kepen,kepen,kepte(26),kept(14),weak,classified by morphological evidence
kerven,kerven,carf(4),"corven(3), corve(1)",strong,known strong verb
kiken,kiken,,kiked(1),weak,classified by morphological evidence (check!)
kindelen,kindelen,,kindled(1),weak,classified by morphological evidence (check!)
kissen,kissen,"kiste(25), keste(3), kist(1)","kist(4), kiste(1)",weak,Decided 
kithen,kithen,kidde(1),"kid(2), kithed(1)",weak,classified by morphological evidence
knelen,knelen,kneled(3),ykneled(1),weak,classified by morphological evidence
knitten,knitten,,"knit(9), knet(1)",weak,classified by morphological evidence
knokken,knokken,knokked(2),,weak,classified by morphological evidence
knouen,knouen,"knew(84), knewe(11)","knowen(12), knowe(11), know(1)",strong,known strong verb
labouren,labouren,laboured(1),laboured(2),weak,classified by morphological evidence
lakken,lakken,"lakked(7), lakkede(3)",,weak,classified by morphological evidence
lasen,lasen,,laced(1),weak,classified by morphological evidence
lasten,lasten,"laste(4), lasted(1)",,weak,classified by morphological evidence (check!)
laughen,laughen,lough(14),"laughen(1), laughed(1)",strong,known strong verb
leden,leden,"ladde(22), ledde(4)","lad(16), led(2)",weak,Seems weak
leien,leien,"leide(36), leid(2), leye(1), laide(1)","leid(11), leide(2), laid(1)",weak,Seems weak
lenen,lenen,lente(3),ylent(1),weak,classified by morphological evidence (check!)
lepen,lepen,"leep(5), lepte(1)",,weak,classified by morphological evidence
leren,leren,,lered(2),weak,classified by computer (CHECK)
lernen,lernen,lerned(1),lerned(9),weak,classified by morphological evidence
lesen,lesen,lees(2),"lorn(21), lorne(4), loren(2), lore(2), ylorn(1)",strong,classified by morphological evidence
leten,leten,"leet(43), let(10)","lete(2), leten(1)",strong,known strong verb
letten,letten,"lette(6), letted(2)",let(4),weak,classified by morphological evidence
leven,leven,"lefte(10), lafte(9), left(3), laft(1)","laft(11), left(6), lefte(1), ylaft(1)",weak,Seems weak
lien,lien,"lay(107), lei(1), laye(1), lyede(1)","lein(2), ylain(1), leyn(1)",strong,classified by morphological evidence
lighten,lighten,lighte(5),"light(1), lighted(1)",weak,classified by morphological evidence (check!)
lightnen,lightnen,,lightned(1),weak,classified by computer (CHECK)
liken,liken,liked(17),,weak,Seems weak
liknen,liknen,,likned(2),weak,classified by morphological evidence (check!)
limen,limen,,ylimed(1),weak,classified by morphological evidence (check!)
lissen,lissen,,"lissed(1), ylissed(1)",weak,classified by morphological evidence
listen,listen,"leste(40), liste(19), list(11), lest(2)",,weak,classified by morphological evidence (check!)
liven,liven,"lived(6), livede(4)","lived(3), ylived(1)",weak,Seems weak
loggen,loggen,,"logged(2), ylogged(1)",weak,classified by morphological evidence
loken,loken,"loked(19), looked(6)","loked(3), looked(1)",weak,classified by morphological evidence (check!)
longen,longen,longed(1),,weak,classified by morphological evidence (check!)
losen,losen,"loste(11), lost(2)","lost(55), ylost(4), loste(1)",weak,Seems weak
louren,louren,,loured(1),weak,classified by computer (CHECK)
loven,loven,"loved(51), lovede(14), lovedest(1)","loved(13), yloved(2)",weak,classified by morphological evidence (check!)
lullen,lullen,lulled(1),,weak,classified by morphological evidence
lusten,lusten,"luste(2), lust(1)",,weak,classified by morphological evidence
maken,maken,"made(196), maked(12), maad(5), us(1), mad(1), i(1)","maad(49), maked(27), mad(12), made(7), maden(1), ymaad(1)",weak,Seems weak
marien,marien,maried(1),maried(1),weak,classified by morphological evidence
marken,marken,,"marked(1), ymarked(1)",weak,classified by morphological evidence (check!)
masen,masen,,mased(1),weak,classified by computer (CHECK)
masken,masken,,ymasked(1),weak,classified by morphological evidence
medlen,medlen,,ymedled(1),weak,classified by morphological evidence
melten,melten,malt(2),molte(3),strong,known strong verb
menen,menen,"mente(31), ment(1)",ment(1),weak,classified by morphological evidence (check!)
mesuren,mesuren,mesured(1),,weak,classified by computer (CHECK)
meten,meten,"mette(34), met(11)","met(8), ymet(1)",weak,Weak although it is strong in skeat’s list
meven,meven,moeved(1),meved(2),weak,classified by computer (CHECK)
misaccounten,misaccounten,,misacounted(1),weak,classified by morphological evidence
misbeden,misbeden,,misboden(1),strong,classified by morphological evidence
misfallen,misfallen,misfille(1),,strong,classified by computer (CHECK)
misforyeven,misforyeven,misforyaf(1),,weak,not in list
misgien,misgien,,misgied(1),weak,classified by computer (CHECK)
misgon,misgon,,"misgoon(1), misgon(1), misgo(1)",weak,classified by computer (CHECK)
mishappen,mishappen,,mishapped(1),weak,classified by morphological evidence
mislien,mislien,mislay(1),,strong,classified by computer (CHECK)
misseien,misseien,misseide(1),"missaid(2), misseid(1)",weak,classified by morphological evidence
missen,missen,missed(1),missed(1),weak,classified by morphological evidence (check!)
missitten,missitten,missatte(1),,weak,classified by computer (CHECK)
misspeken,misspeken,misspak(1),,strong,"Speken is strong, so I think this is too"
mistaken,mistaken,,mistake(1),strong,classified by computer (CHECK)
mistrusten,mistrusten,,mistrusted(1),weak,classified by morphological evidence
miswenden,miswenden,,miswent(1),weak,classified by computer (CHECK)
mortheren,mortheren,,mordred(7),weak,classified by morphological evidence
moten,moten,"moste(79), most(13), moot(2), mot(1)",,weak,classified by morphological evidence (check!)
mouen,mouen,"mighte(283), might(59), miht(1), he(1)",,weak,Seems weak
moulen,moulen,,mowled(1),weak,classified by computer (CHECK)
musen,musen,mused(1),ymused(1),weak,classified by morphological evidence
neden,neden,"neded(7), nedede(2)",,weak,classified by morphological evidence (check!)
nemnen,nemnen,nempned(1),,weak,classified by morphological evidence
neuen,neuen,newed(1),,weak,classified by computer (CHECK)
nimen,nimen,nam(1),"nome(5), nomen(1)",strong,classified by computer (CHECK)
nombren,nombren,,nombred(1),weak,classified by morphological evidence
norishen,norishen,,norished(1),weak,classified by morphological evidence
notifien,notifien,,notified(1),weak,classified by computer (CHECK)
obeien,obeien,"obeyed(3), obeide(2)",,weak,classified by morphological evidence
obligen,obligen,,obliged(1),weak,classified by morphological evidence
of-shouven,of-shouven,,ofshowve(1),strong,classified by computer (CHECK)
offenden,offenden,offended(1),offended(2),weak,classified by morphological evidence
oftaken,oftaken,,oftaken(1),strong,classified by computer (CHECK)
onen,onen,,oned(1),weak,classified by morphological evidence
openen,openen,opned(1),"opened(2), opned(1)",weak,classified by morphological evidence
oppressen,oppressen,,oppressed(5),weak,classified by morphological evidence
ordeinen,ordeinen,,ordeined(3),weak,classified by morphological evidence
ouen,ouen,"oghte(31), oughte(30), ought(5), oght(5), ouhte(1), ouht(1)",,weak,classified by morphological evidence
outcacchen,outcacchen,outcaughte(1),,weak,classified by computer (CHECK)
outcasten,outcasten,,outcast(1),weak,classified by computer (CHECK)
outsterten,outsterten,outsterte(1),,weak,classified by computer (CHECK)
overblouen,overblouen,,overblowe(1),strong,classified by computer (CHECK)
overcomen,overcomen,overcom(1),overcome(7),strong,classified by computer (CHECK)
overloken,overloken,,overloked(1),weak,classified by morphological evidence
overrechen,overrechen,overraughte(1),,weak,classified by computer (CHECK)
overshaken,overshaken,,overshake(3),strong,classified by computer (CHECK)
oversheten,oversheten,,overshette(1),strong,classified by morphological evidence
overskippen,overskippen,overskipte(1),,weak,classified by computer (CHECK)
overspreden,overspreden,"overspradde(2), overspradd(1)",,weak,classified by morphological evidence
overtaken,overtaken,overtoke(1),,strong,Taken is strong
overthrouen,overthrouen,,overthrowe(2),strong,classified by computer (CHECK)
paien,paien,"paide(2), payed(1)","paied(3), payed(3), paid(2), ypaied(2), ypayed(1), paide(1)",weak,classified by morphological evidence
parten,parten,,parted(2),weak,classified by computer (CHECK)
passen,passen,"passed(8), paste(3)","passed(20), past(1)",weak,classified by morphological evidence
peinen,peinen,peined(5),,weak,classified by morphological evidence
peinten,peinten,peinted(2),peinted(14),weak,classified by morphological evidence
percen,percen,perced(2),perced(1),weak,classified by morphological evidence
perchen,perchen,,perched(1),weak,classified by morphological evidence
performen,performen,parfourned(1),"parfourned(4), performed(1)",weak,Definitely weak — the root vowel stays same just varied spelling
picchen,picchen,pighte(2),,weak,classified by morphological evidence
piken,piken,piked(1),ypiked(1),weak,classified by morphological evidence (check!)
pilen,pilen,,pilled(1),weak,classified by computer (CHECK)
pinchen,pinchen,,pinched(1),weak,classified by morphological evidence
pinen,pinen,,pined(1),weak,classified by computer (CHECK)
pipen,pipen,,piped(1),weak,classified by morphological evidence
pissen,pissen,,pissed(1),weak,classified by morphological evidence
planen,planen,planed(1),,weak,classified by morphological evidence (check!)
platen,platen,,plated(1),weak,classified by morphological evidence
plaunten,plaunten,,planted(2),weak,classified by morphological evidence
pleien,pleien,pleide(7),"pleyed(1), pleide(1), pleyd(1), pleid(1)",weak,Seams weak
pleinen,pleinen,pleined(2),ypleined(1),weak,classified by morphological evidence
pleiten,pleiten,plited(1),,weak,"Program failed here, pretty sure its weak not irregular"
plesen,plesen,plesed(1),"plesed(4), yplesed(1)",weak,classified by morphological evidence
plicchen,plicchen,plighte(2),plight(2),weak,classified by computer (CHECK)
plighten,plighten,plighte(2),"plight(3), yplight(1)",weak,classified by morphological evidence
pointen,pointen,,pointed(1),weak,classified by morphological evidence (check!)
poken,poken,poked(2),,weak,classified by morphological evidence (check!)
portraien,portraien,purtreied(1),,weak,"Program failed here, pretty sure its weak not irregular"
poupen,poupen,,pouped(1),weak,classified by computer (CHECK)
pouren,pouren,poured(1),poured(1),weak,classified by morphological evidence (check!)
prechen,prechen,,preched(1),weak,classified by morphological evidence
preien,preien,"preide(21), preyed(7), prayed(3), preyede(3), praide(2), praid(2), preiede(1)","preyed(4), prayed(2)",weak,Seems weak
preisen,preisen,,"preised(5), ypreised(1)",weak,classified by morphological evidence
presenten,presenten,,presented(1),weak,classified by computer (CHECK)
pressen,pressen,pressed(1),,weak,classified by morphological evidence
preven,preven,proved(1),"preved(10), ypreved(1)",weak,not in list
priken,priken,"prighte(1), priked(1)",,weak,Clearly weak
priven,priven,,prived(1),weak,classified by computer (CHECK)
profren,profren,profred(3),profred(1),weak,classified by morphological evidence
pronouncen,pronouncen,,pronounced(1),weak,classified by morphological evidence
proverben,proverben,,proverbed(1),weak,classified by morphological evidence
publishen,publishen,,"publiced(2), publisshed(1)",weak,classified by morphological evidence
pullen,pullen,pulled(4),ypulled(1),weak,classified by morphological evidence
punishen,punishen,,ypunisshed(1),weak,classified by morphological evidence
purchasen,purchasen,purchased(1),,weak,classified by morphological evidence
purgen,purgen,,purged(1),weak,classified by morphological evidence (check!)
purposen,purposen,,purposed(1),weak,classified by computer (CHECK)
purveien,purveien,,"purveied(6), purveyed(1)",weak,classified by morphological evidence
putten,putten,"putte(20), put(3)","put(18), yput(4), pit(1)",weak,classified by morphological evidence
quaken,quaken,quook(10),quaked(1),strong,known strong verb
quenchen,quenchen,queinte(2),"queint(5), yqueint(1)",weak,classified by morphological evidence
quethen,quethen,"quod(746), him(1), quoth(1)",,strong,known strong verb
quiken,quiken,quiked(1),quiked(1),weak,classified by morphological evidence
quiten,quiten,quitte(2),quit(8),weak,classified by morphological evidence
raken,raken,,raked(1),weak,classified by computer (CHECK)
raten,raten,,rated(1),weak,classified by morphological evidence (check!)
ravishen,ravishen,ravisshed(1),ravisshed(4),weak,classified by morphological evidence
