OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Moises, that saugh the bush with flawmes rede","Moises, that sauh° the bush with flaumes° rede",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 89,DIFF,10,10,Moises that saugh the bush with flawmes rede,Moises that sauh the bush with flaumes rede,uS u S u S u Su Sx,uS u S u S u Su Sx,moises@n#propn that@pron sen@v1%pt_3 the@def_art bush@n1 with@prep flaume@n%pl red@adj,moises@n#propn that@pron sen@v1%pt_3 the@def_art bush@n1 with@prep  red@adj,green
"Brenninge, of which ther never a stikke brende","Brenninge,° of which ther never a stikke° brende,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 90,,10,10,Brenninge of which ther never a stikke brende,Brenninge of which ther never a stikke brende,uSx u S u Su S ux Sx,uSx u S u Su S ux Sx,brennen@v%prp_abs of@prep which@pron ther@adv never@adv a@indef_art stikke@n brennen@v%pt_3,brennen@v%prp_abs of@prep which@pron ther@adv never@adv a@indef_art stikke@n brennen@v%pt_3,
Was signe of thin unwemmed maidenhede.,Was signe of thin unwemmed° maidenhede.°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 91,,10,10,Was signe of thin unwemmed maidenhede,Was signe of thin unwemmed maidenhede,u Sx u S uSu SuSx,u Sx u S uSu SuSx,ben@v%pt_3 signe@n of@prep thin@pron%gen unwemmed@adj maidenhede@n,ben@v%pt_3 signe@n of@prep thin@pron%gen unwemmed@adj maidenhede@n,
Thou art the bush on which ther gan descende,Thou art the bush on which ther gan descende°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 92,,10,10,Thou art the bush on which ther gan descende,Thou art the bush on which ther gan descende,u S u S u S u S uSx,u S u S u S u S uSx,thou@pron%nom ben@v%pr_2 the@def_art bush@n1 on@prep which@pron ther@adv ginnen@v%pt_3 descenden@v%inf,thou@pron%nom ben@v%pr_2 the@def_art bush@n1 on@prep which@pron ther@adv ginnen@v%pt_3 descenden@v%inf,
"The Holi Gost, the which that Moyses wende","The Holy Gost, the which that° Moises wende°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 93,,10,10,The Holi Gost the which that Moyses wende,The Holy Gost the which that Moises wende,u Su S u S u Su Sx,u Su S u S u Su Sx,the@def_art holi@adj2 gost@n the@def_art which@pron that@pron moises@n#propn wenen@v2%pt_3,the@def_art holi@adj2 gost@n the@def_art which@pron that@pron moises@n#propn wenen@v2%pt_3,
"Had ben a-fyr, and this was in figure.",Had ben afir;° and this was in figure.°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 94,,10,10,Had ben afyr and this was in figure,Had ben afir and this was in figure,u S uS u S u S uSx,u S uS u S u S uSx,haven@v%pt_3 ben@v%ppl afire@adv&adj and@conj this@pron ben@v%pt_3 in@prep figure@n,haven@v%pt_3 ben@v%ppl afire@adv&adj and@conj this@pron ben@v%pt_3 in@prep figure@n,
"Now, ladi, from the fyr thou us defende","Now lady, from the fir thou us defende",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 95,,10,10,Now ladi from the fyr thou us defende,Now lady from the fir thou us defende,u Su S u S u S uSx,u Su S u S u S uSx,nou@adv ladie@n from@prep the@def_art fir@n thou@pron%nom us@pron%pl_obj defenden@v%pr_2,nou@adv ladie@n from@prep the@def_art fir@n thou@pron%nom us@pron%pl_obj defenden@v%pr_2,
Which that in helle eternalli shal dure.,Which that in helle eternally shal dure.°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 96,,10,10,Which that in helle eternalli shal dure,Which that in helle eternally shal dure,u S u Sx uSuS u Sx,u S u Sx uSuS u Sx,which@pron that@pron in@prep helle@n eternalli@adv shulen@v1%pr_3 duren@v%inf,which@pron that@pron in@prep helle@n eternalli@adv shulen@v1%pr_3 duren@v%inf,
"Noble princesse, that nevere haddest peere","Noble princess, that never haddest pere,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 97,,9,9,Noble princesse that nevere haddest peere,Noble princess that never haddest pere,Su Sux S uSx ux Sx,Su Su S uS uS xx,noble@adj princesse@n that@pron never@adv haven@v%pt_2 per@n,noble@adj princesse@n that@pron never@adv haven@v%pt_2 per@n,
Certes if any comfort in us bee,"Certes,° if any comfort in us be",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 98,,10,10,Certes if any comfort in us bee,Certes if any comfort in us be,uS u Su Su S u S,uS u Su Su S u S,certes@adv if@conj ani@gram_adj comfort@n in@prep us@pron%pl_obj ben@v%pr_3,certes@adv if@conj ani@gram_adj comfort@n in@prep us@pron%pl_obj ben@v%pr_3,
"That cometh of thee, thou Cristes mooder deere.","That cometh of° thee, thou Cristes moder dere,°",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 99,,10,10,That cometh of thee thou Cristes mooder deere,That cometh of thee thou Cristes moder dere,u Su S u S uS ux Sx,u Su S u S uS uS xx,that@pron comen@v%pr_3 of@prep the@pron2%obj thou@pron%nom crist@n#propn%gen moder@n dere@adj1,that@pron comen@v%pr_3 of@prep the@pron2%obj thou@pron%nom crist@n#propn%gen moder@n dere@adj1,
