FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/06/177-gow.cat,177-gow1261,Who dar do thing which love ne dar?,Who dar do thing which love ne dar,8,u S u S u Sx u S,who@pron%nom durren@v%pr_3 don@v1%inf thing@n which@pron love@n1 ne@adv durren@v%pr_3
gow/06/177-gow.cat,177-gow1262,"To love is every lawe unwar,",To love is every lawe unwar,8,u Sx u Sxu Sx uS,to@prep love@n1 ben@v%pr_3 everi@pron_gram_adj laue@n unwar@adj
gow/06/177-gow.cat,177-gow1263,Bot to the lawes of his heste,Bot to the lawes of his heste,8,u S u Su S u Sx,but@conj to@prep the@def_art laue@n%pl of@prep his@pron1%gen heste@n1
gow/06/177-gow.cat,177-gow1264,"The fissch, the foul, the man, the beste",The fissch the foul the man the beste,8,u S u S u S u Sx,the@def_art fish@n the@def_art foul@n the@def_art man@n the@def_art beste@n
gow/06/177-gow.cat,177-gow1265,Of al the worldes kinde louteth.,Of al the worldes kinde louteth,8,u S u Su Sx uS,of@prep al@gram_adj the@def_art world@n%gen kinde@n louten@v1%pr_3
gow/06/177-gow.cat,177-gow1266,For love is he which nothing douteth:,For love is he which nothing douteth,8,u Sx u S u Su Sx,for@conj love@n1 ben@v%pr_3 he@pron1%nom which@pron no-thing@pron douten@v%pr_3
gow/06/177-gow.cat,177-gow1267,"In mannes herte where he sit,",In mannes herte where he sit,8,u Su Su Sx u S,in@prep man@n%gen herte@n wher@adv&conj he@pron1%nom sitten@v%pr_3
gow/06/177-gow.cat,177-gow1268,He compteth noght toward his wit,He compteth noght toward his wit,8,u Su S uS u S,he@pron1%nom counten@v%pr_3 nought@adv towarde@prep his@pron1%gen wit@n
gow/06/177-gow.cat,177-gow1269,"The wo nomore than the wele,",The wo nomore than the wele,8,u S uSu S u Sx,the@def_art wo@n no_more@adv than@conj the@def_art wele@n1
gow/06/177-gow.cat,177-gow1270,"No mor the hete than the chele,",No mor the hete than the chele,8,u S u Su S u Sx,no@adv more@adv%comp the@def_art hete@n1 than@conj the@def_art chele@n
gow/06/177-gow.cat,177-gow1271,"No mor the wete than the dreie,",No mor the wete than the dreie,8,u S u Su S u S,no@adv more@adv%comp the@def_art wet@n than@conj the@def_art drie@n1
gow/06/177-gow.cat,177-gow1272,"No mor to live than to deie,",No mor to live than to deie,8,u S u Su S u S,no@adv more@adv%comp to@part liven@v1%inf than@conj to@part dien@v%inf
gow/06/177-gow.cat,177-gow1273,So that tofore ne behinde,So that tofore ne behinde,8,u S uSu S uSx,so@adv that@conj toforen@adv ne@conj1 bihinden@adv&adj
gow/06/177-gow.cat,177-gow1274,"He seth nothing, bot as the blinde",He seth nothing bot as the blinde,8,u S uS u S u Sx,he@pron1%nom sen@v1%pr_3 no-thing@pron but@conj as@conj the@def_art blind@n
gow/06/177-gow.cat,177-gow1275,Withoute insyhte of his corage,Withoute insyhte of his corage,8,uSx uSx u S uSx,withouten@prep insight@n of@prep his@pron1%gen corage@n
gow/06/177-gow.cat,177-gow1276,He doth merveilles in his rage.,He doth merveilles in his rage,8,u S uSu S u Sx,he@pron1%nom don@v1%pr_3 merveille@n%pl in@prep his@pron1%gen rage@n
gow/06/177-gow.cat,177-gow1277,"To what thing that he wole him drawe,",To what thing that he wole him drawe,8,u S u S u Sx u Sx,to@prep what@gram_adj thing@n that@pron he@pron1%nom willen@v%pr_3 him@pron%obj drauen@v%inf
gow/06/177-gow.cat,177-gow1278,"Ther is no god, ther is no lawe,",Ther is no god ther is no lawe,8,u S u S u S u Sx,ther@adv ben@v%pr_3 no@gram_adj god@n1 ther@adv ben@v%pr_3 no@gram_adj laue@n
gow/06/177-gow.cat,177-gow1279,Of whom that he takth eny hiede;,Of whom that he takth eny hiede,8,u S u S u xS uSx,of@prep whom@pron%obj that@pron he@pron1%nom taken@v%pr_3 ani@gram_adj hed@n2
gow/06/177-gow.cat,177-gow1280,"Bot as Baiard the blinde stede,",Bot as Baiard the blinde stede,7,S u S u Su Sx,but@conj as@conj baiard@n1#propn the@def_art blind@adj stede@n2
gow/06/177-gow.cat,177-gow1281,"Til he falle in the dich amidde,",Til he falle in the dich amidde,8,u S ux S u S uSx,til@conj he@pron1%nom fallen@v%pr_3 in@prep the@def_art diche@n amidde@adv
gow/06/177-gow.cat,177-gow1282,He goth ther noman wole him bidde;,He goth ther noman wole him bidde,8,u S u Su Sx u Sx,he@pron1%nom gon@v%pr_3 ther@adv no-man@n willen@v%pr_3 him@pron%obj bidden@v%inf
gow/06/177-gow.cat,177-gow1283,"He stant so ferforth out of reule,",He stant so ferforth out of reule,8,u S u Su S u Sx,he@pron1%nom stonden@v1%pr_3 so@adv fer-forth@adv oute@adv of@prep reule@n
gow/06/177-gow.cat,177-gow1284,Ther is no wit that mai him reule.,Ther is no wit that mai him reule,8,u S u S u S u Sx,ther@adv ben@v%pr_3 no@gram_adj wit@n that@pron mouen@v3%pr_3 him@pron%obj reule@n
gow/06/177-gow.cat,177-gow1285,"And thus to telle of him in soth,",And thus to telle of him in soth,8,u S u Sx u S u S,and@conj thus@adv to@part tellen@v%inf of@prep him@pron%obj in@prep soth@n
gow/06/177-gow.cat,177-gow1286,"Ful many a wonder thing he doth,",Ful many a wonder thing he doth,8,u Su S ux S u S,ful@adv mani@gram_adj a@indef_art wonder@adj thing@n he@pron1%nom don@v1%pr_3
gow/06/177-gow.cat,177-gow1287,"That were betre to be laft,",That were betre to be laft,8,u Su Su S u S,that@pron ben@v%pt_3 bettre@adj to@part ben@v%inf leven@v1%ppl
gow/06/177-gow.cat,177-gow1288,"Among the whiche is wicchecraft,",Among the whiche is wicchecraft,8,uS u Sx u SuS,amonges@prep the@def_art which@pron ben@v%pr_3 wicchecraft@n
gow/06/177-gow.cat,177-gow1289,"That som men clepen Sorcerie,",That som men clepen Sorcerie,8,u S u Su SuS,that@pron som@gram_adj man@n%pl clepen@v%pr_pl sorcerie@n
gow/06/177-gow.cat,177-gow1290,Which forto winne his druerie,Which forto winne his druerie,8,u Su Su S uS,which@pron forto@part winnen@v%inf his@pron1%gen druerie@n
gow/06/177-gow.cat,177-gow1291,"With many a circumstance he useth,",With many a circumstance he useth,8,u Sx u SuSx u Sx,with@prep mani@gram_adj a@indef_art circumstaunce@n he@pron1%nom usen@v%pr_3
gow/06/177-gow.cat,177-gow1292,Ther is no point which he refuseth.,Ther is no point which he refuseth,8,u S u S u S uSx,ther@adv ben@v%pr_3 no@gram_adj pointe@n1 which@pron he@pron1%nom refusen@v%pr_3
gow/06/177-gow.cat,177-gow1293,"The craft which that Saturnus fond,",The craft which that Saturnus fond,8,u S u S uSu S,the@def_art craft@n1 which@pron that@pron saturne@n#propn finden@v%pt_3
gow/06/177-gow.cat,177-gow1294,"To make prickes in the Sond,",To make prickes in the Sond,8,u Su Su S u S,to@part maken@v1%inf prike@n%pl in@prep the@def_art sand@n
gow/06/177-gow.cat,177-gow1295,"That Geomance cleped is,",That Geomance cleped is,7,S uSu Su S,that@pron geomancie@n clepen@v%ppl ben@v%pr_3
gow/06/177-gow.cat,177-gow1296,Fulofte he useth it amis;,Fulofte he useth it amis,8,uSx u Su S uS,ful-ofte@adv he@pron1%nom usen@v%pr_3 hit@pron amis@adv
gow/06/177-gow.cat,177-gow1297,"And of the flod his Ydromance,",And of the flod his Ydromance,8,u S u S u SuSx,and@conj of@prep the@def_art flod@n his@pron1%gen idromauncie@n
gow/06/177-gow.cat,177-gow1298,"And of the fyr the Piromance,",And of the fyr the Piromance,8,u S u S u SuSx,and@conj of@prep the@def_art fir@n the@def_art piromaunce@n
gow/06/177-gow.cat,177-gow1299,With questions echon of tho,With questions echon of tho,8,u SuS uS u S,with@prep questioun@n%pl ech_on@pron of@prep tho@pron2
gow/06/177-gow.cat,177-gow1300,"He tempteth ofte, and ek also",He tempteth ofte and ek also,8,u Su Sx u S uS,he@pron1%nom tempten@v%pr_3 ofte@adv and@conj ek@adv also@adv
gow/06/177-gow.cat,177-gow1301,Aeremance in juggement,Aeremance in juggement,8,uSuSx u SuS,aeremance@n in@prep jugement@n
gow/06/177-gow.cat,177-gow1302,To love he bringth of his assent:,To love he bringth of his assent,8,u Sx u S u S uS,to@prep love@n1 he@pron1%nom bringen@v%pr_3 of@prep his@pron1%gen assent@n
gow/06/177-gow.cat,177-gow1303,"For these craftes, as I finde,",For these craftes as I finde,8,u Su Su S u Sx,for@conj these@gram_adj%pl craft@n1%pl as@conj ich@pron%nom finden@v%pr_1
gow/06/177-gow.cat,177-gow1304,"A man mai do be weie of kinde,",A man mai do be weie of kinde,8,u S u S u S u Sx,a@indef_art man@n mouen@v3%pr_3 don@v1%inf bi@prep wei@n of@prep kinde@n
gow/06/177-gow.cat,177-gow1305,Be so it be to good entente.,Be so it be to good entente,8,u S u S u S uSx,ben@v%pr_3 so@adv hit@pron ben@v%pr_3 to@prep god@adj entente@n
gow/06/177-gow.cat,177-gow1306,Bot he goth al an other wente;,Bot he goth al an other wente,8,u S u S u Su Sx,but@conj he@pron1%nom gon@v%pr_3 al@adv a@indef_art other@gram_adj went@n
gow/06/177-gow.cat,177-gow1307,"For rathere er he scholde faile,",For rathere er he scholde faile,8,u Sux S u Su Sx,for@conj rathere@adv er@conj1 he@pron1%nom shulen@v1%pt_3 failen@v%inf
