FILENAME,LINE_NUMBER,OG_TEXT,TEXT,NUM_SYBS,SCANSION,TAGGING
gow/05/129-gow.cat,129-gow1971,"Dame Avarice is noght soleine,",Dame Avarice is noght soleine,8,ux SuSx u S uSx,dame@n avarice@n ben@v%pr_3 nought@adv soleine@adj
gow/05/129-gow.cat,129-gow1972,Which is of gold the Capiteine;,Which is of gold the Capiteine,8,u S u S u SuSx,which@pron ben@v%pr_3 of@prep gold@n the@def_art capitain@n
gow/05/129-gow.cat,129-gow1973,Bot of hir Court in sondri wise,Bot of hir Court in sondri wise,8,u S u S u Su Sx,but@conj of@prep hire@pron1%fem_gen court@n1 in@prep sondri@adj wise@n2
gow/05/129-gow.cat,129-gow1974,After the Scole of hire aprise,After the Scole of hire aprise,8,uS u Sx u Sx uSx,after@prep the@def_art scole@n2 of@prep hire@pron1%fem_gen apprise@n3
gow/05/129-gow.cat,129-gow1975,"Sche hath of Servantz manyon,",Sche hath of Servantz manyon,7,S u S uS uS,she@pron%nom haven@v%pr_3 of@prep servaunt@n%pl mani_on@phr#n
gow/05/129-gow.cat,129-gow1976,Wherof that Covoitise is on;,Wherof that Covoitise is on,8,uS u SuSx u S,wher-of@adv that@part coveitise@n ben@v%pr_3 on@pron
gow/05/129-gow.cat,129-gow1977,"Which goth the large world aboute,",Which goth the large world aboute,8,u S u Su S uSx,which@pron gon@v%pr_3 the@def_art large@adj world@n abouten@prep
gow/05/129-gow.cat,129-gow1978,"To seche thavantages oute,",To seche thavantages oute,8,u Su SuSu Sx,to@part sechen@v%inf avauntage@n%pl oute@adv
gow/05/129-gow.cat,129-gow1979,Wher that he mai the profit winne,Wher that he mai the profit winne,8,u S u S u Su Sx,wher@adv&conj that@part he@pron1%nom mouen@v3%pr_3 the@def_art profite@n1 winnen@v%inf
gow/05/129-gow.cat,129-gow1980,"To Avarice, and bringth it inne.",To Avarice and bringth it inne,8,u SuSx u S u Sx,to@prep avarice@n and@conj bringen@v%pr_3 hit@pron inne@adv
gow/05/129-gow.cat,129-gow1981,"That on hald and that other draweth,",That on hald and that other draweth,8,u S u S u Su Sx,that@art&gram_adj on@pron holden@v1%pr_3 and@conj that@art&gram_adj other@pron drauen@v%pr_3
gow/05/129-gow.cat,129-gow1982,"Ther is no day which hem bedaweth,",Ther is no day which hem bedaweth,8,u S u S u S uSx,ther@adv ben@v%pr_3 no@gram_adj dai@n which@pron hem@pron%pl_obj bedauen@v%pr_3
gow/05/129-gow.cat,129-gow1983,"No mor the Sonne than the Mone,",No mor the Sonne than the Mone,8,u S u Su S u Sx,no@gram_adj more@adv%comp the@def_art sonne@n than@conj the@def_art mone@n1
gow/05/129-gow.cat,129-gow1984,"Whan ther is eny thing to done,",Whan ther is eny thing to done,8,u S u Su S u Sx,whan@adv&conj ther@adv ben@v%pr_3 ani@gram_adj thing@n to@part don@v1%inf
gow/05/129-gow.cat,129-gow1985,And namely with Covoitise;,And namely with Covoitise,8,u SuS u SuSx,and@conj nameli@adv with@prep coveitise@n
gow/05/129-gow.cat,129-gow1986,For he stant out of al assisse,For he stant out of al assisse,8,u S u S u S uSx,for@conj he@pron1%nom stonden@v1%pr_3 oute@adv of@prep al@gram_adj assise@n
gow/05/129-gow.cat,129-gow1987,Of resonable mannes fare.,Of resonable mannes fare,8,u SuSu Su Sx,of@prep resonable@adj2 man@n%gen fare@n1
gow/05/129-gow.cat,129-gow1988,Wher he pourposeth him to fare,Wher he pourposeth him to fare,8,u S uSu S u Sx,wher@adv&conj he@pron1%nom purposen@v%pr_3 him@pron%obj to@part faren@v%inf
gow/05/129-gow.cat,129-gow1989,"Upon his lucre and his beyete,",Upon his lucre and his beyete,8,uS u Su S u Sx,upon@prep his@pron1%gen lucre@n and@conj his@pron1%gen biyete@n
gow/05/129-gow.cat,129-gow1990,"The smale path, the large Strete,",The smale path the large Strete,8,u Su S u Su Sx,the@def_art smal@adj path@n the@def_art large@adj strete@n2
gow/05/129-gow.cat,129-gow1991,"The furlong and the longe Mile,",The furlong and the longe Mile,8,u Su S u Su Sx,the@def_art furlong@n and@conj the@def_art long@adj1 mile@n1
gow/05/129-gow.cat,129-gow1992,Al is bot on for thilke while:,Al is bot on for thilke while,8,u S u S u Su Sx,al@gram_adjas_n ben@v%pr_3 but@conj on@pron for@prep thilke@gram_adj whil@n
gow/05/129-gow.cat,129-gow1993,"And for that he is such on holde,",And for that he is such on holde,8,u S u S u S u Sx,and@conj for@conj that@part he@pron1%nom ben@v%pr_3 swich@gram_adj on@pron holden@v1%ppl
gow/05/129-gow.cat,129-gow1994,"Dame Avarice him hath withholde,",Dame Avarice him hath withholde,8,ux SuSx u S uSx,dame@n avarice@n him@pron%obj haven@v%pr_3 withholden@v%ppl
gow/05/129-gow.cat,129-gow1995,As he which is the principal,As he which is the principal,8,u S u S u SuS,as@conj he@pron1%nom which@pron ben@v%pr_3 the@def_art principal@n
gow/05/129-gow.cat,129-gow1996,"Outward, for he is overal",Outward for he is overal,8,uS u S u SuS,outwarde@adv for@conj he@pron1%nom ben@v%pr_3 over-al@adv
gow/05/129-gow.cat,129-gow1997,A pourveour and an aspie.,A pourveour and an aspie,8,u SuS u S uS,a@indef_art purveiour@n and@conj a@indef_art aspie@n
gow/05/129-gow.cat,129-gow1998,For riht as of an hungri Pie,For riht as of an hungri Pie,8,u S u S u Su S,for@conj righte@adv as@conj of@prep a@indef_art hungrie@adj pie@n1
gow/05/129-gow.cat,129-gow1999,"The storve bestes ben awaited,",The storve bestes ben awaited,8,u Sx uS u SuS,the@def_art sterven@v#adj%ppl beste@n%pl ben@v%pr_pl awaiten@v%ppl
gow/05/129-gow.cat,129-gow2000,Riht so is Covoitise afaited,Riht so is Covoitise afaited,8,u S u SuSx uSx,righte@adv so@adv ben@v%pr_3 coveitise@n afaiten@v%ppl
gow/05/129-gow.cat,129-gow2001,"To loke where he mai pourchace,",To loke where he mai pourchace,8,u Su Sx u S uSx,to@part loken@v2%inf wher@adv&conj he@pron1%nom mouen@v3%pr_3 purchasen@v%inf
gow/05/129-gow.cat,129-gow2002,For be his wille he wolde embrace,For be his wille he wolde embrace,8,u S u Sx u Sx uSx,for@conj bi@prep his@pron1%gen wille@n he@pron1%nom willen@v%pt_3 embracen@v%inf
gow/05/129-gow.cat,129-gow2003,Al that this wyde world beclippeth;,Al that this wyde world beclippeth,8,u S u Sx u SuS,al@gram_adjas_n that@pron this@gram_adj wid@adj world@n biclippen@v%pr_3
gow/05/129-gow.cat,129-gow2004,"Bot evere he somwhat overhippeth,",Bot evere he somwhat overhippeth,8,u Sxx u Su SuSx,but@conj ever@adv he@pron1%nom som-what@pron overhippen@v%pr_3
gow/05/129-gow.cat,129-gow2005,That he ne mai noght al fulfille,That he ne mai noght al fulfille,8,u S u S u S uSx,that@conj he@pron1%nom ne@adv mouen@v3%pr_3 nought@adv al@gram_adjas_n ful-fillen@v%inf
gow/05/129-gow.cat,129-gow2006,The lustes of his gredi wille.,The lustes of his gredi wille,8,u Su S u Su Sx,the@def_art lust@n%pl of@prep his@pron1%gen gredi@adj wille@n
gow/05/129-gow.cat,129-gow2007,"Bot where it falleth in a lond,",Bot where it falleth in a lond,8,u Sx u Su S u S,but@conj wher@adv&conj hit@pron fallen@v%pr_3 in@prep a@indef_art lond@n
gow/05/129-gow.cat,129-gow2008,That Covoitise in myhti hond,That Covoitise in myhti hond,8,u SuSx u Su S,that@conj coveitise@n in@prep mighti@adj honde@n
gow/05/129-gow.cat,129-gow2009,"Is set, it is ful hard to fiede;",Is set it is ful hard to fiede,0,       ,ben@v%pr_3 setten@v%ppl hit@pron ben@v%pr_3 ful@adv hard@adj to@part feden@v%inf
gow/05/129-gow.cat,129-gow2010,"For thanne he takth non other hiede,",For thanne he takth non other hiede,8,u Sx u S u S uSx,for@conj thanne@adv he@pron1%nom taken@v%pr_3 non@gram_adj other@gram_adj hed@n2
gow/05/129-gow.cat,129-gow2011,"Bot that he mai pourchace and gete,",Bot that he mai pourchace and gete,8,u S u S uSx u Sx,but@conj that@conj he@pron1%nom mouen@v3%pr_3 purchasen@v%inf and@conj geten@v1%inf
gow/05/129-gow.cat,129-gow2012,"His conscience hath al foryete,",His conscience hath al foryete,8,u SuSx u S uSx,his@pron1%gen conscience@n haven@v%pr_3 al@gram_adjas_n foryeten@v%ppl
gow/05/129-gow.cat,129-gow2013,And not what thing it mai amonte,And not what thing it mai amonte,8,u S u S u S uSx,and@conj witen@v1%pr_3_neg what@gram_adj thing@n hit@pron mouen@v3%pr_3 amounten@v%inf
gow/05/129-gow.cat,129-gow2014,That he schal afterward acompte.,That he schal afterward acompte,8,u S u SuS uSx,that@pron he@pron1%nom shulen@v1%pr_3 after-ward@adv accounte@n
gow/05/129-gow.cat,129-gow2015,Bote as the Luce in his degre,Bote as the Luce in his degre,8,ux S u Su S u Sx,but@conj as@conj the@def_art luce@n in@prep his@pron1%gen degre@n
gow/05/129-gow.cat,129-gow2016,Of tho that lasse ben than he,Of tho that lasse ben than he,8,u S u Su S u S,of@prep tho@pron2 that@pron lesse@adj ben@v%pr_pl than@conj he@pron1%nom
gow/05/129-gow.cat,129-gow2017,"The fisshes griedeli devoureth,",The fisshes griedeli devoureth,8,u Sx uSuS uSx,the@def_art fish@n%pl gredili@adv devouren@v%pr_3
gow/05/129-gow.cat,129-gow2018,"So that no water hem socoureth,",So that no water hem socoureth,8,u S u Su S uSx,so@adv that@conj no@gram_adj water@n hem@pron%pl_obj socouren@v%pr_3
gow/05/129-gow.cat,129-gow2019,Riht so no lawe mai rescowe,Riht so no lawe mai rescowe,8,u S u Su S uSx,righte@adv so@adv no@gram_adj laue@n mouen@v3%pr_3 rescouen@v%inf
gow/05/129-gow.cat,129-gow2020,Fro him that wol no riht allowe;,Fro him that wol no riht allowe,8,u S u S u S uSx,from@prep him@pron%obj that@pron willen@v%pr_3 no@gram_adj right@n allouen@v%inf
gow/05/129-gow.cat,129-gow2021,"For wher that such on is of myht,",For wher that such on is of myht,8,u S u S u S u S,for@conj wher@adv&conj that@part swich@gram_adj on@pron ben@v%pr_3 of@prep might@n
gow/05/129-gow.cat,129-gow2022,His will schal stonde in stede of riht.,His will schal stonde in stede of riht,8,u S u Sx u Sx u S,his@pron1%gen wille@n shulen@v1%pr_3 stonden@v1%inf in@prep stede@n1 of@prep right@n
gow/05/129-gow.cat,129-gow2023,"Thus be the men destruid fulofte,",Thus be the men destruid fulofte,8,u S u S uS uSx,thus@adv ben@v%pr_pl the@def_art man@n%pl destroien@v%ppl ful-ofte@adv
gow/05/129-gow.cat,129-gow2024,Til that the grete god alofte,Til that the grete god alofte,8,u S u Su S uSx,til@conj that@part the@def_art gret@adj god@n1 alofte@adv
gow/05/129-gow.cat,129-gow2025,Ayein so gret a covoitise,Ayein so gret a covoitise,8,uS u S u SuSx,ayen@prep so@adv gret@adj a@indef_art coveitise@n
gow/05/129-gow.cat,129-gow2026,Redresce it in his oghne wise:,Redresce it in his oghne wise,8,uSx u S u Su Sx,redressen@v%pr_3 hit@pron in@prep his@pron1%gen ouen@adj wise@n2
gow/05/129-gow.cat,129-gow2027,And in ensample of alle tho,And in ensample of alle tho,8,u S uSx u Su S,and@conj in@prep ensaumple@n of@prep al@gram_adj tho@pron2
gow/05/129-gow.cat,129-gow2028,"I finde a tale write so,",I finde a tale write so,8,u Sx u Su Su S,ich@pron%nom finden@v%pr_1 a@indef_art tale@n writen@v%ppl_abs so@adv
gow/05/129-gow.cat,129-gow2029,"The which, for it is good to liere,",The which for it is good to liere,0,       ,the@def_art which@pron for@conj hit@pron ben@v%pr_3 god@adj to@part liere@n1%inf
gow/05/129-gow.cat,129-gow2030,Hierafterward thou schalt it hiere.,Hierafterward thou schalt it hiere,0,    ,her-after-ward@adv thou@pron%nom shulen@v1%pr_2 hit@pron heren@v%inf
