headword,strong_forms,weak_forms,unclear_forms,strong_count,weak_count,unclear_count,classification
agon,,,agoon(8); ago(12); agon(5),0,0,25,unclear
bigon,,,bigon(4); bigoon(4); begoon(1),0,0,9,unclear
bisen,,,besein(1),0,0,1,unclear
fordon,,,fordo(2); fordoon(1),0,0,3,unclear
forgon,,,forgo(1); forgon(1),0,0,2,unclear
igon,,,ygon(3); ygoon(1); ygo(1),0,0,5,unclear
misgon,,,misgoon(1); misgon(1); misgo(1),0,0,3,unclear
