headword,strong_forms,weak_forms,unclear_forms,strong_count,weak_count,unclear_count,classification
imaken,,ymaad(2); ymaked(4),,0,6,0,weak
imenen,,yment(1),,0,1,0,weak
ipassen,,ypassed(1),,0,1,0,weak
ireden,,yred(1),,0,1,0,weak
isenden,,ysent(2),,0,2,0,weak
isetten,,yset(3),,0,3,0,weak
ishenden,,yshent(1),,0,1,0,weak
isheuen,,yshewed(1),,0,1,0,weak
istinten,,ystint(1),,0,1,0,weak
itechen,,ytaught(2),,0,2,0,weak
iturnen,,yturned(2),,0,2,0,weak
iwenden,,ywent(1),,0,1,0,weak
japen,,yjaped(1); japed(1),,0,2,0,weak
jugen,,juged(2),,0,2,0,weak
kemben,,kembd(3),,0,3,0,weak
kepen,,kept(10),,0,10,0,weak
kithen,,kithed(1); kid(1),,0,2,0,weak
knitten,,knit(7); knet(1),,0,8,0,weak
labouren,,laboured(1),,0,1,0,weak
lasen,,laced(1),,0,1,0,weak
leren,,lered(1),,0,1,0,weak
lernen,,lerned(6),,0,6,0,weak
letten,,let(3),,0,3,0,weak
lissen,,ylissed(1); lissed(1),,0,2,0,weak
loggen,,ylogged(1); logged(2),,0,3,0,weak
marien,,maried(1),,0,1,0,weak
masken,,ymasked(1),,0,1,0,weak
medlen,,ymedled(1),,0,1,0,weak
meven,,meved(1),,0,1,0,weak
misaccounten,,misacounted(1),,0,1,0,weak
misseien,,missaid(2); misseid(1),,0,3,0,weak
mistrusten,,mistrusted(1),,0,1,0,weak
miswenden,,miswent(1),,0,1,0,weak
mortheren,,mordred(7),,0,7,0,weak
musen,,ymused(1),,0,1,0,weak
nombren,,nombred(1),,0,1,0,weak
obligen,,obliged(1),,0,1,0,weak
offenden,,offended(2),,0,2,0,weak
onen,,oned(1),,0,1,0,weak
openen,,opened(2); opned(1),,0,3,0,weak
oppressen,,oppressed(2),,0,2,0,weak
ordeinen,,ordeined(1),,0,1,0,weak
passen,,passed(15),,0,15,0,weak
peinten,,peinted(11),,0,11,0,weak
percen,,perced(1),,0,1,0,weak
perchen,,perched(1),,0,1,0,weak
performen,,parfourned(4),,0,4,0,weak
pinchen,,pinched(1),,0,1,0,weak
pinen,,pined(1),,0,1,0,weak
pissen,,pissed(1),,0,1,0,weak
platen,,plated(1),,0,1,0,weak
plaunten,,planted(2),,0,2,0,weak
pleinen,,ypleined(1),,0,1,0,weak
plesen,,plesed(4); yplesed(1),,0,5,0,weak
plicchen,,plight(2),,0,2,0,weak
plighten,,plight(3),,0,3,0,weak
prechen,,preched(1),,0,1,0,weak
preisen,,preised(2); ypreised(1),,0,3,0,weak
preven,,preved(9); ypreved(1),,0,10,0,weak
pronouncen,,pronounced(1),,0,1,0,weak
proverben,,proverbed(1),,0,1,0,weak
publishen,,publiced(2); publisshed(1),,0,3,0,weak
pullen,,ypulled(1),,0,1,0,weak
punishen,,ypunisshed(1),,0,1,0,weak
purposen,,purposed(1),,0,1,0,weak
purveien,,purveied(6); purveyed(1),,0,7,0,weak
putten,,put(14); yput(2),,0,16,0,weak
quenchen,,queint(5); yqueint(1),,0,6,0,weak
quiten,,quit(7),,0,7,0,weak
ravishen,,ravisshed(3),,0,3,0,weak
receiven,,received(6),,0,6,0,weak
refreshen,,refresshed(2),,0,2,0,weak
rekenen,,yrekened(1),,0,1,0,weak
releven,,releved(2),,0,2,0,weak
remuen,,remewed(1),,0,1,0,weak
repelen,,repeled(2),,0,2,0,weak
repressen,,repressed(1),,0,1,0,weak
requeren,,requered(2),,0,2,0,weak
reserven,,reserved(1),,0,1,0,weak
reulen,,ruled(1); reuled(1),,0,2,0,weak
reven,,raft(1); reft(1),,0,2,0,weak
romen,,romed(2),,0,2,0,weak
rounen,,yrouned(1),,0,1,0,weak
sakken,,sakked(1),,0,1,0,weak
saluen,,salewed(1),,0,1,0,weak
saven,,saved(5),,0,5,0,weak
scalden,,scalded(1),,0,1,0,weak
scateren,,scatered(1),,0,1,0,weak
sechen,,soght(2),,0,2,0,weak
seilen,,yseiled(1),,0,1,0,weak
seisen,,sesed(1),,0,1,0,weak
selen,,seled(1),,0,1,0,weak
setlen,,ysatled(1),,0,1,0,weak
setten,,set(35),,0,35,0,weak
shadwen,,shadwed(1),,0,1,0,weak
shamen,,yshamed(1); shamed(1),,0,2,0,weak
shenden,,shent(4),,0,4,0,weak
shitten,,shet(2),,0,2,0,weak
shrinen,,shrined(1),,0,1,0,weak
siften,,sifted(1),,0,1,0,weak
skriken,,shright(1),,0,1,0,weak
somnen,,somoned(1),,0,1,0,weak
sorwen,,sorwed(1),,0,1,0,weak
souken,,souked(1),,0,1,0,weak
soulen,,sowled(1),,0,1,0,weak
sparen,,spared(1); yspared(1),,0,2,0,weak
spenden,,spent(2),,0,2,0,weak
spillen,,spilt(3),,0,3,0,weak
spotten,,spotted(1),,0,1,0,weak
spousen,,spoused(1),,0,1,0,weak
spreden,,sprad(2),,0,2,0,weak
sprengen,,spreind(1),,0,1,0,weak
stablishen,,stablissed(1),,0,1,0,weak
sterten,,stert(1); stirt(1),,0,2,0,weak
stiken,,ystiked(1); stiked(1),,0,2,0,weak
stinten,,stint(1); stent(1); stinted(1),,0,3,0,weak
stoppen,,stopped(2),,0,2,0,weak
sufferen,,suffred(5); ysuffred(1),,0,6,0,weak
suffisen,,suffised(2),,0,2,0,weak
sugren,,sucred(1),,0,1,0,weak
supposen,,supposed(3),,0,3,0,weak
swepen,,ysweped(1),,0,1,0,weak
swiven,,swived(2),,0,2,0,weak
swounen,,swowned(1),,0,1,0,weak
techen,,taught(8),,0,8,0,weak
teien,,yteid(1),,0,1,0,weak
tempren,,tempred(1),,0,1,0,weak
tempten,,tempted(1),,0,1,0,weak
thakken,,thakked(1),,0,1,0,weak
thanken,,thanked(9); ythanked(1); ythonked(2); thonked(1),,0,13,0,weak
thirlen,,thirled(2),,0,2,0,weak
tholen,,tholed(1),,0,1,0,weak
tiden,,tid(4),,0,4,0,weak
tirven,,terved(1),,0,1,0,weak
to-shiveren,,toshivered(1),,0,1,0,weak
todashen,,todasshed(1),,0,1,0,weak
torenden,,torent(3),,0,3,0,weak
toscateren,,toscatered(1),,0,1,0,weak
translaten,,translated(1),,0,1,0,weak
trouen,,trowed(3),,0,3,0,weak
trussen,,trussed(1),,0,1,0,weak
trusten,,trusted(1),,0,1,0,weak
tuken,,tukked(1),,0,1,0,weak
turnen,,yturned(1); tourned(1); turned(10); torned(1),,0,13,0,weak
twicchen,,twight(2),,0,2,0,weak
twisten,,twist(1),,0,1,0,weak
unbirien,,unburied(1),,0,1,0,weak
unhorsen,,unhorsed(1),,0,1,0,weak
usen,,used(3),,0,3,0,weak
vanishen,,vanisshed(1),,0,1,0,weak
vernishen,,vernisshed(1),,0,1,0,weak
voiden,,voided(4); yvoided(1),,0,5,0,weak
waken,,waked(3),,0,3,0,weak
waknen,,wakned(1),,0,1,0,weak
warishen,,warished(1); warisshed(3),,0,4,0,weak
wasten,,wasted(3),,0,3,0,weak
wedden,,wedded(22); ywedded(3),,0,25,0,weak
wenden,,went(9),,0,9,0,weak
werreien,,werreied(1),,0,1,0,weak
weten,,ywet(1),,0,1,0,weak
wondren,,wondred(2),,0,2,0,weak
wounden,,wounded(5),,0,5,0,weak
wrappen,,wrapped(2),,0,2,0,weak
yicchen,,icched(1),,0,1,0,weak
