Source_File,Tag,Ending,Count,Percent
WBT_gui_complete.csv,v%pt_pl,-te,2,13.33%
WBT_gui_complete.csv,v%pt_pl,-e,1,6.67%
WBT_gui_complete.csv,v%pr_2,-est,1,20.00%
WBT_gui_complete.csv,v%pr_2,-t,4,80.00%
WBT_gui_complete.csv,v%pr_2_pron,other,1,100.00%
WBT_gui_complete.csv,v%pr_1,-t,4,13.79%
WBT_gui_complete.csv,v%pr_1,other,17,58.62%
WBT_gui_complete.csv,v%pr_1,-n,1,3.45%
WBT_gui_complete.csv,v%pr_1,-e,5,17.24%
WBT_gui_complete.csv,v%pr_1,vowel,2,6.90%
WBT_gui_complete.csv,v%imp,-e,3,13.64%
WBT_gui_complete.csv,v%imp,other,10,45.45%
WBT_gui_complete.csv,v%imp,-t,4,18.18%
WBT_gui_complete.csv,v%imp,vowel,1,4.55%
WBT_gui_complete.csv,v%imp,-eth,3,13.64%
WBT_gui_complete.csv,v%imp,-ede,1,4.55%
WBT_gui_complete.csv,v%pr_pl_neg,other,1,100.00%
WBT_gui_complete.csv,v%pt_3_neg,-de,1,25.00%
WBT_gui_complete.csv,v%pt_3_neg,-te,1,25.00%
WBT_gui_complete.csv,v%pt_3_neg,other,2,50.00%
WBT_gui_complete.csv,v%pt_1,-t,1,33.33%
WBT_gui_complete.csv,v%pt_1,-d,1,33.33%
WBT_gui_complete.csv,v%pt_1,-te,1,33.33%
WBT_gui_complete.csv,v%pr_1_neg,other,1,100.00%
WBT_gui_complete.csv,v%pt_1_neg,-d,1,100.00%
WBT_gui_complete.csv,v%ppl_abs,-ed,1,100.00%
WBT_gui_complete.csv,v%pr_3_neg,other,3,100.00%
WBT_gui_complete.csv,v1&%inf,-e,1,100.00%
MerPro_gui_complete.csv,v%pr_1,other,4,57.14%
MerPro_gui_complete.csv,v%pr_1,-e,3,42.86%
MerPro_gui_complete.csv,v%pt_3,-d,2,66.67%
MerPro_gui_complete.csv,v%pt_3,-de,1,33.33%
MerPro_gui_complete.csv,v%ppl,-ed,3,75.00%
MerPro_gui_complete.csv,v%ppl,-en,1,25.00%
MerPro_gui_complete.csv,v%pr_3,-e,1,14.29%
