file,adj->n#propn %,adj->n#propn spelled,"adj->n#propn spelled, elided",adj->n#propn unspelled,"adj->n#propn unspelled, elided",def_art->adj %,def_art->adj spelled,"def_art->adj spelled, elided",def_art->adj unspelled,"def_art->adj unspelled, elided",demonstrative->adj %,demonstrative->adj spelled,"demonstrative->adj spelled, elided",demonstrative->adj unspelled,"demonstrative->adj unspelled, elided",interj->adj %,interj->adj spelled,"interj->adj spelled, elided",interj->adj unspelled,"interj->adj unspelled, elided",n%gen->adj %,n%gen->adj spelled,"n%gen->adj spelled, elided",n%gen->adj unspelled,"n%gen->adj unspelled, elided",overall final,overall spelled elided,overall spelled unelided,overall unelided spelled/unspelled ratio,overall unspelled elided,overall unspelled unelided,pron%femgen->adj %,pron%femgen->adj spelled,"pron%femgen->adj spelled, elided",pron%femgen->adj unspelled,"pron%femgen->adj unspelled, elided",pron%gen->adj %,pron%gen->adj spelled,"pron%gen->adj spelled, elided",pron%gen->adj unspelled,"pron%gen->adj unspelled, elided",total lines
BD_gui.csv,50.0,1,0,1,0,83.33,5,0,1,0,0.0,0,0,1,0,50.0,1,0,1,0,0.0,0,0,0,0,0,0,11,73.33,0,4,0.0,0,0,0,0,100.0,4,0,0,0,7329
ClT_gui.csv,0.0,0,0,1,0,66.67,2,1,1,0,100.0,4,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0,2,13,86.67,0,2,0.0,0,0,0,0,100.0,5,1,0,0,7511
CYT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,66.67,2,0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,5,71.43,0,2,0.0,0,0,0,0,100.0,1,0,0,0,4697
FranT_gui.csv,0.0,0,1,1,0,71.43,5,1,2,0,100.0,2,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,3,8,61.54,0,5,0.0,0,0,0,0,50.0,1,0,1,0,5740
FriT_gui.csv,0.0,0,0,0,0,50.0,1,0,1,0,100.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,9,90.0,0,1,0.0,0,0,0,0,100.0,5,1,0,0,2275
GP_gui.csv,0.0,0,0,0,0,100.0,6,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,100.0,0,0,0.0,0,0,0,0,100.0,1,0,0,0,5341
HF_gui.csv,0.0,0,0,0,2,88.89,8,0,1,2,100.0,2,0,0,0,50.0,1,0,1,1,0.0,0,0,0,0,0,0,14,82.35,5,3,0.0,0,0,0,0,75.0,3,0,1,0,12355
KnT_gui.csv,100.0,5,1,0,1,94.87,37,4,2,0,100.0,8,1,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,7,56,94.92,1,3,0.0,0,0,0,0,83.33,5,1,1,0,14231
MancT_gui.csv,0.0,0,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,5,100.0,0,0,0.0,0,0,0,0,100.0,3,0,0,0,1666
MerT_gui.csv,100.0,1,0,0,0,100.0,10,0,0,0,100.0,8,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,24,96.0,0,1,0.0,0,0,0,0,80.0,4,0,1,0,7504
MilT_gui.csv,0.0,0,0,0,0,100.0,9,0,0,0,100.0,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,100.0,0,0,0.0,0,0,0,0,100.0,3,0,0,0,4214
MkT_gui.csv,0.0,0,0,0,0,100.0,1,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,100.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,2471
NPT_gui.csv,60.0,3,0,2,0,66.67,6,0,3,0,100.0,1,0,0,0,66.67,2,0,1,0,0.0,0,0,0,0,0,0,12,66.67,1,6,0.0,0,0,0,0,0.0,0,0,0,1,4032
PardT_gui.csv,0.0,0,0,0,0,100.0,5,1,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,6,85.71,0,1,0.0,0,0,0,0,0.0,0,0,1,0,3262
PF_gui.csv,0.0,0,0,0,0,100.0,5,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,100.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,3570
PhyT_gui.csv,0.0,0,0,0,0,0.0,0,1,0,0,100.0,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,4,100.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1897
PrT_gui.csv,100.0,2,0,0,0,0.0,0,1,0,0,100.0,2,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0,1,6,100.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1190
RvT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,100.0,3,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,8,88.89,0,1,0.0,0,0,0,0,66.67,2,0,1,0,2569
ShipT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,100.0,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,100.0,0,0,0.0,0,0,0,0,100.0,4,0,0,0,2772
SNT_gui.csv,0.0,0,1,1,0,100.0,1,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,2,3,75.0,0,1,0.0,0,0,0,0,100.0,2,0,0,0,2793
SqT_gui.csv,0.0,0,0,0,0,100.0,9,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,100.0,0,0,0.0,0,0,0,0,100.0,2,0,0,0,4158
