A thousand tymes have I herd men telle,||,"¶A thousand times have I herd men telle,"
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 4,,,10,u,SuS,u,S,u,S,uS
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 4,,,10,but@conj,no-the-lesse@adv,yet@adv,witen@v1%pr_1,ich@pron%nom,wel@adv,also@adv

That ther nis noon dwellyng in this contree,||,"That ther nis noon° dwelling in this contree,"
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,,10,That,ther,nis,noon,dwellyng,in,this,contree
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,,10,u,S,u,S,uS,u,S,uS
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,,10,that@conj,ther@adv,ben@v%pr_3_neg,non@pron,dwellen@v%prp,in@prep,this@gram_adj,contree@n
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,,10,That,ther,nis,noon,dwelling,in,this,contree
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,,10,u,S,u,S,uS,u,S,uS
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,,10,that@conj,ther@adv,ben@v%pr_3_neg,non@pron,dwellen@v%prp,in@prep,this@gram_adj,contree@n

"That eyther hath in hevene or helle ybe,",||,"That either hath in hevene or helle ybe,°"
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,,10,That,eyther,hath,in,hevene,or,helle,ybe
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,,10,u,Su,S,u,Sux,S,ux,Sx
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,,10,that@pron,either@conj,haven@v%pr_3,in@prep,heven@n,or@conj,helle@n,iben@v%ppl
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,,10,That,either,hath,in,hevene,or,helle,ybe
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,,10,u,Su,S,u,Sux,S,ux,Sx
data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,,10,that@pron,either@conj,haven@v%pr_3,in@prep,heven@n,or@conj,helle@n,iben@v%ppl

Ne may of hit noon other weyes witen,||,"Ne may of it non other weyes witen,°"
