headword,word,line_number,filename,context,is_elided,is_final,text_type
neue,new,Troilus and Criseyde; Book IV 339,data/riverside_cats/TC4_riv.cat,Medled with pleyntes new his wo to feede,True,False,RIVERSIDE
ful,ful,House of Fame 1304,data/riverside_cats/HF_riv.cat,As corbetz ful of ymageries,True,False,RIVERSIDE
bleu,blew,Troilus and Criseyde; Book II 51,data/riverside_cats/TC2_riv.cat,That fresshe floures blew and white and rede,True,False,RIVERSIDE
bright,bright,Troilus and Criseyde; Book V 643,data/riverside_cats/TC5_riv.cat,The gydyng of thi bemes bright an houre,True,False,RIVERSIDE
god,good,The Canon's Yeoman's Tale 1283,data/riverside_cats/CYT_riv.cat,Now good sires what wol ye bet than wel,False,False,RIVERSIDE
salt,salt,Troilus and Criseyde; Book IV 1172,data/riverside_cats/TC4_riv.cat,And with his teeris salt hire brest byreyned,True,False,RIVERSIDE
heigh,heigh,Troilus and Criseyde; Book V 730,data/riverside_cats/TC5_riv.cat,Biheld the toures heigh and ek the halles,True,False,RIVERSIDE
