Headword,Tag,Ending,Count,Percent
enduren,v%inf,-e,40,93.02%
enduren,v%inf,-en,3,6.98%
enduren,v%ppl,-ed,1,100.00%
enduren,v%pr_pl,-en,1,33.33%
enduren,v%pr_pl,-e,2,66.67%
enduren,v%pr_3,-eth,1,100.00%
enduren,v%pr_2,-t,1,100.00%
losen,v%ppl,-t,33,100.00%
losen,v%pt_3,-te,5,100.00%
losen,v%pt_pl,-en,1,100.00%
losen,v%ppl_abs,-t,3,100.00%
losen,v2#adj%ppl,-t,3,100.00%
herkenen,v%imp,-eth,25,80.65%
herkenen,v%imp,-e,6,19.35%
herkenen,v%pt_3,-ed,1,100.00%
herkenen,v%inf,-e,4,100.00%
herkenen,v%pr_1,-e,1,100.00%
herkenen,v%ppl,-ed,1,100.00%
drauen,v%prp,-e,1,100.00%
drauen,v%pt_3,other,7,100.00%
drauen,v%inf,-e,10,83.33%
drauen,v%inf,-en,2,16.67%
drauen,v%ppl_abs,-e,1,100.00%
drauen,v%ppl,-e,9,90.00%
drauen,v%ppl,-en,1,10.00%
drauen,v%pr_3,-eth,1,50.00%
drauen,v%pr_3,-e,1,50.00%
drauen,v%pr_pl,-en,2,100.00%
drauen,v%imp,-eth,3,75.00%
drauen,v%imp,-e,1,25.00%
aqueinten,v%ppl,-ed,1,100.00%
aqueinten,v%inf,-te,1,100.00%
biginnen,v%pt_3,other,66,98.51%
biginnen,v%pt_3,-e,1,1.49%
biginnen,v%pr_1,-e,2,100.00%
biginnen,v%pr_3,other,2,20.00%
biginnen,v%pr_3,-eth,7,70.00%
biginnen,v%pr_3,-e,1,10.00%
biginnen,v%ppl,-e,16,100.00%
biginnen,v%pt_2,other,1,50.00%
biginnen,v%pt_2,-e,1,50.00%
biginnen,v%pr_pl,-e,1,50.00%
biginnen,v%pr_pl,-en,1,50.00%
biginnen,v%pt_pl,-e,3,75.00%
biginnen,v%pt_pl,other,1,25.00%
biginnen,v%inf,-e,23,100.00%
biginnen,v%ppl_abs,-e,2,100.00%
biginnen,v%imp,-e,2,100.00%
biginnen,v%pt_1,other,8,100.00%
seien,v%pr_pl,other,48,76.19%
seien,v%pr_pl,-en,3,4.76%
seien,v%pr_pl,-e,12,19.05%
seien,v%ppl,-d,73,100.00%
seien,v%pt_3,-de,438,99.32%
seien,v%pt_3,-e,1,0.23%
seien,v%pt_3,vowel,1,0.23%
seien,v%pt_3,-ede,1,0.23%
seien,v%pr_1,-e,62,71.26%
seien,v%pr_1,other,24,27.59%
