infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
isen,isen,strong,False,iseye(1),,yseyn(1),,,,1,0,1,0,0,0,2
ishapen,ishapen,strong,False,yshapen(6),,,,,,6,0,0,0,0,0,6
isouen,isouen,strong,False,ysowen(2),,,,,,2,0,0,0,0,0,2
ispeken,ispeken,strong,False,yspoken(2); yspoke(2),,,,,,4,0,0,0,0,0,4
itaken,itaken,strong,False,ytaken(1),,,,,,1,0,0,0,0,0,1
iwaxen,iwaxen,strong,False,ywaxen(2); ywoxen(4),,,,,,6,0,0,0,0,0,6
iwinnen,iwinnen,strong,True,ywonne(4),,,,,,4,0,0,0,0,0,4
kerven,kerven,strong,True,corven(4); korven(2),,,carf(6); karf(1),,,6,0,0,7,0,0,13
knouen,knouen,strong,False,knowen(20); knowe(5),,know(1),knew(148); knewe(12),,,25,0,1,160,0,0,186
laughen,laughen,strong,True,,lawghed(1),,lough(15),,,0,1,0,15,0,0,16
lesen,lesen,strong,False,loren(1),,lorn(12),,,,1,0,12,0,0,0,13
leten,leten,strong,True,lete(3); leten(1),lat(1),,,leet(60); let(8); lete(1),,4,1,0,0,69,0,74
lien,lien,strong,False,,,lein(1); leyn(1),lay(95); leigh(1); ley(1); laye(1); lyede(1); lyed(1),,lay(6),0,0,2,100,0,6,108
melten,melten,strong,True,molte(6),,,,malt(4),,6,0,0,0,4,0,10
misbeden,misbeden,strong,False,misboden(1); mysboden(1),,,,,,2,0,0,0,0,0,2
oversheten,oversheten,strong,False,overshette(1); overshote(1),,,,,,2,0,0,0,0,0,2
pleiten,pleiten,strong,False,,,,plited(2),,,0,0,0,2,0,0,2
portraien,portraien,strong,False,,,,purtreied(1); purtreyed(1),,,0,0,0,2,0,0,2
quaken,quaken,strong,True,,,,,,quook(10),0,0,0,0,0,10,10
quethen,quethen,strong,True,,,,,quod(1247),,0,0,0,0,1247,0,1247
recchen,recchen,strong,False,,,,roughte(8); rought(1); roghte(5),,,0,0,0,14,0,0,14
rechen,rechen,strong,False,,,,raughte(4),,,0,0,0,4,0,0,4
rennen,rennen,strong,True,,,,ran(24),,,0,0,0,24,0,0,24
riden,riden,strong,True,riden(12),,,rood(36),,,12,0,0,36,0,0,48
