infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
cacchen,cacchen,weak,False,,caught(40); ykaught(1); kaught(7),,,caughte(30); caught(2); kaughte(1),,0,48,0,0,33,0,81
calculen,calculen,weak,False,,,,,calculed(1); kalkuled(1),,0,0,0,0,2,0,2
callen,callen,weak,False,,called(26); ycalled(2),,,called(12),,0,28,0,0,12,0,40
capen,capen,weak,False,,,,,caped(1),,0,0,0,0,1,0,1
carien,carien,weak,False,,caried(6); ycaried(3); ycaryed(1),,,,,0,10,0,0,0,0,10
causen,causen,weak,False,,,,,caused(9),,0,0,0,0,9,0,9
cesen,cesen,weak,False,,cessed(2),,,cessed(6),,0,2,0,0,6,0,8
chacen,chacen,weak,False,,chaced(2),,,,,0,2,0,0,0,0,2
chargen,chargen,weak,False,,charged(6),,,charged(4),,0,6,0,0,4,0,10
chasten,chasten,weak,False,,chasted(2),,,,,0,2,0,0,0,0,2
chaungen,chaungen,weak,False,,chaunged(15); changed(2); ychaunged(2),,,chaunged(10); changed(2),,0,19,0,0,12,0,31
chiden,chiden,weak,False,,,,,chidde(4),,0,0,0,0,4,0,4
clappen,clappen,weak,False,,,,,clapt(1); clapte(5),,0,0,0,0,6,0,6
clauen,clauen,weak,False,,yclawed(2),,,,clew(2),0,2,0,0,0,2,4
clepen,clepen,weak,False,,clepid(4); cleped(38); ycleped(14); icleped(1),,,cleped(6),,0,57,0,0,6,0,63
clippen,clippen,weak,False,,clipped(2),,,,,0,2,0,0,0,0,2
clothen,clothen,weak,False,,clothed(14); yclad(4); yclothed(2); clad(10),,,cladde(4),,0,30,0,0,4,0,34
colouren,colouren,weak,False,,coloured(2),,,,,0,2,0,0,0,0,2
comforten,comforten,weak,False,,comforted(1); conforted(2),,,,,0,3,0,0,0,0,3
commaunden,commaunden,weak,False,,comanded(8); comaunded(2),,,comanded(12); comaunded(2),,0,10,0,0,14,0,24
commenden,commenden,weak,False,,commended(2),,,,,0,2,0,0,0,0,2
compleinen,compleinen,weak,False,,compleined(1); compleyned(1),,,compleined(1); compleyned(2),,0,2,0,0,3,0,5
completen,completen,weak,False,,complet(1); compleet(1),,,,,0,2,0,0,0,0,2
conceiven,conceiven,weak,False,,conceived(1); conceyved(3),,,,,0,4,0,0,0,0,4
concluden,concluden,weak,False,,concluded(2),,,,,0,2,0,0,0,0,2
confermen,confermen,weak,False,,confermed(2),,,,,0,2,0,0,0,0,2
confounden,confounden,weak,False,,confounded(2),,,,,0,2,0,0,0,0,2
conqueren,conqueren,weak,False,,,,,conquered(4),,0,0,0,0,4,0,4
conserven,conserven,weak,False,,conserved(3),,,,,0,3,0,0,0,0,3
consideren,consideren,weak,False,,considered(10),,,considered(3),,0,10,0,0,3,0,13
constreinen,constreinen,weak,False,,constreined(3); constreyned(3),,,,,0,6,0,0,0,0,6
consumen,consumen,weak,False,,consumed(1),,,,,0,1,0,0,0,0,1
contrarien,contrarien,weak,False,,,,,contraried(2),,0,0,0,0,2,0,2
conveien,conveien,weak,False,,,,,conveied(1); conveyed(3),,0,0,0,0,4,0,4
converten,converten,weak,False,,converted(4),,,converted(2),,0,4,0,0,2,0,6
corounen,corounen,weak,False,,crouned(3); corouned(2); crowned(3); coroned(1),,,,,0,9,0,0,0,0,9
correcten,correcten,weak,False,,corrected(4),,,,,0,4,0,0,0,0,4
corrupten,corrupten,weak,False,,corrupt(2),,,,,0,2,0,0,0,0,2
costen,costen,weak,False,,,,,cost(1); coste(7),,0,0,0,0,8,0,8
couchen,couchen,weak,False,,couched(6),,,couched(4); couchede(1),,0,6,0,0,5,0,11
counseilen,counseilen,weak,False,,,,,counseilled(1); counseylled(1),,0,0,0,0,2,0,2
counten,counten,weak,False,,,,,counted(2),,0,0,0,0,2,0,2
countrefeten,countrefeten,weak,False,,,,,countrefeted(2),,0,0,0,0,2,0,2
couplen,couplen,weak,False,,coupled(1),,,,,0,1,0,0,0,0,1
coveren,coveren,weak,False,,kevered(5),,,covered(7),,0,5,0,0,7,0,12
creauncen,creauncen,weak,False,,creaunced(1); creanced(1),,,,,0,2,0,0,0,0,2
cristnen,cristnen,weak,False,,,,,cristened(1); cristned(3),,0,0,0,0,4,0,4
curen,curen,weak,False,,cured(1),,,,,0,1,0,0,0,0,1
cutten,cutten,weak,False,,cut(1); kut(2),,,kitte(3),,0,3,0,0,3,0,6
dampnen,dampnen,weak,False,,dampned(17),,,dampned(3),,0,17,0,0,3,0,20
daswen,daswen,weak,False,,daswed(2),,,,,0,2,0,0,0,0,2
dauncen,dauncen,weak,False,,,,,daunced(6),,0,0,0,0,6,0,6
daunten,daunten,weak,False,,daunted(1),,,daunted(1),,0,1,0,0,1,0,2
deceiven,deceiven,weak,False,,deceived(4); deceyved(6),,,,,0,10,0,0,0,0,10
declaren,declaren,weak,False,,declared(2),,,declared(2),,0,2,0,0,2,0,4
defacen,defacen,weak,False,,defaced(2),,,,,0,2,0,0,0,0,2
defenden,defenden,weak,False,,,,,defended(1),,0,0,0,0,1,0,1
defoulen,defoulen,weak,False,,defouled(9),,,,,0,9,0,0,0,0,9
deien,deien,weak,False,,diyd(1); dyed(1),,,dyed(2),,0,2,0,0,2,0,4
deinen,deinen,weak,False,,deined(1); deyned(1),,,deyned(1); deigned(4),,0,2,0,0,5,0,7
delen,delen,weak,False,,deled(2),,,,,0,2,0,0,0,0,2
deliberen,deliberen,weak,False,,delibered(2),,,,,0,2,0,0,0,0,2
