OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
But streght into hir closet wente anoon,But streght into hir closet wente anoon,u S uS u Su Sx uS,10,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,74.49,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,75.92,u S uS u Su Sx uS,10,1,75.92
An Haberdasshere and a Carpenter,An Haberdasshere and a Carpenter,u SuSu S u SuS,10,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66,u SuSux S u SuS,10,1,60.66
But I on him have mercy and pitee.”,But I on him have mercy and pitee,u S u S ux Su S uS,10,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,42.79,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,44.04,u S u S ux Su S uS,10,1,44.04
He moste preche and wel affile his tonge,He moste preche and wel affile his tonge,u Su S u S uS u S,10,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,73.62,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,72.37,u Su Sx u S uSx u Sx,10,1,72.37
It mighte han maad an herte of stoon to rewe;,It mighte han maad an herte of stoon to rewe,u Sx u S u Sx u S u Sx,10,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,78.74,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,76.74,u Sx u S u Sx u S u Sx,10,1,76.74
He may nat spare althogh he were his brother,He may nat spare althogh he were his brother,u S u S uS u S u Su,11,u S u Sx uS u Sx u Sx,10,0,43.37,u S u Sx uS u Sx u Sx,10,0,43.37,u S u Sx uS u Sx u Sx,10,0,44.48,u S u Sx uS u Sx u Sx,10,0,43.37,u S u Sx uS u Sx u Sx,10,0,43.37,u S u Sx uS u Sx u Sx,10,0,43.37,u S u Sx uS u Sx u Sx,10,0,43.37,u S u Sx uS u Sx u Sx,10,0,43.37,        ,0,0,0.00
"And this is storial° sooth,° it is no fable.",And this is storial sooth it is no fable,u S u Sux S u S u Su,11,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,u S u SuS u S u S ux,11,0,33.07,        ,0,0,0.00
Of cursing oght eech gilty man him drede,Of cursing oght eech gilty man him drede,u Su S u Su S u S,10,u Su S u Su S u Sx,10,1,39.73,u Su S u Su S u Sx,10,1,39.73,u Su S u Su S u Sx,10,1,38.48,u Su S u Su S u Sx,10,1,39.73,u Su S u Su S u Sx,10,1,39.73,u Su S u Su S u Sx,10,1,39.73,u Su S u Su S u Sx,10,1,39.73,u Su S u Su S u Sx,10,1,39.73,       ,0,0,0.00
For so astonied am I that I deie!”,For so astonied am I that I deie,u S uSu S u S u S,10,u x SuSu S u S u S,10,0,45.14,u x SuSu S u S u S,10,0,45.14,u x SuSu S u S u S,10,0,45.14,u x SuSu S u S u S,10,0,45.14,u x SuSu S u S u S,10,0,45.14,u x SuSu S u S u S,10,0,45.14,u S uSu S u S u S,10,1,48.53,u S uSu S u S u S,10,1,48.53,u S uSu S u S u S,10,1,48.53
And wonderly delivere and greet of strengthe,And wonderly delivere and greet of strengthe,u SuS uSu S u S u,11,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16,u SuS uSxx u S u Sx,10,0,48.16
He was a janglere and a goliardeis,He was a janglere and a goliardeis,u S u Su S u SuS,10,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,48.16,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,46.73,u S u Sxx u S uSuS,10,0,46.73
“And here I make a protestacioun,And here I make a protestacioun,u Sx u Sx u SuSuS,10,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,72.64,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,69.30,u Sx u Sx u SuSuS,10,1,69.30
"That lay as don these loveres, in a traunce",That lay as don these loveres in a traunce,u S u S ux Sux S u Sx,10,u S u S ux Sux S u Sx,10,1,68.84,u S u S ux Sux S u Sx,10,1,68.84,u S u S xu Sux S u Sx,10,1,69.95,u S u S ux Sux S u Sx,10,1,68.84,u S u S ux Sux S u Sx,10,1,68.84,u S u S ux Sux S u Sx,10,1,68.84,u S u S ux Sux S u Sx,10,1,68.84,u S u S ux Sux S u Sx,10,1,68.84,u S u S ux Sux S u Sx,10,1,68.84
But thinne it lay by colpons oon and oon,But thinne it lay by colpons oon and oon,u S u S u Su S u S,10,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89,u Sx u S u Su S u S,10,1,60.89
"Don al thy lust, and shal with al my might.",Don al thy lust and shal with al my might,u S u S u S u S u S,10,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45,u S u S u S u S u S,10,1,74.45
It is ful fair to been yclept ma dame,It is ful fair to been yclept ma dame,u S u S u S uS u S,10,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,63.95,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,65.06,u S u S u S uS u Sx,10,1,65.06
Tellen al his doing to and fro.,Tellen al his doing to and fro,Su S u Su S u S,9,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,Su S u Su S u S,9,1,70.86,Su S u Su S u S,9,1,70.86,Su S u Su S u S,9,1,70.86
For by that Lord that formed est and west,For by that Lord that formed est and west,u S u S u Su S u S,10,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31,u S u S u Su S u S,10,1,48.31
"“Nay,” quod Pandare, “it shal no thing be so.",Nay quod Pandare it shal no thing be so,u S uSx u S u S u S,10,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,54.94,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,53.82,u S uSx u S u S u S,10,1,53.82
The rule of Seint Maure or of Seint Beneit,The rule of Seint Maure or of Seint Beneit,u S u S u S u S uS,10,u Su S u Sx u S u xS,10,0,49.51,u Sx u S ux S u S uS,10,1,27.18,u Sx u S ux S u S uS,10,1,28.29,u Sx u S ux S u S uS,10,1,27.18,u Sx u S ux S u S uS,10,1,27.18,        ,0,0,0.00,        ,0,0,0.00,u Sx u S ux S u S uS,10,1,27.18,        ,0,0,0.00
"The treson, that to womman hath be do?",The treson that to womman hath be do,u Su S u Su S u S,10,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,59.95,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,57.45,u Su S u Su S u S,10,1,57.45
In Southwerk at this gentil hostelrie,In Southwerk at this gentil hostelrie,u Su S u Su SuS,10,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33,u Su S u Su SuS,10,1,76.33
"That I best love, and lothest am to greve",That I best love and lothest am to greve,u S u Sx u Su S u Sx,10,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,65.03,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,63.92,u S u Sx u Su S u Sx,10,1,63.92
"May I him lette of that? Why nay, pardee!",May I him lette of that Why nay pardee,u S u Sx u S u S uS,10,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,u S u Sx u S u S uS,10,1,39.55,        ,0,0,0.00
He coude bettre than his lord purchace,He coude bettre than his lord purchace,u Su Su S u S uS,10,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,73.97,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,69.68,u Su Su S u S uSx,10,1,69.68
"Woot ought my Lord, my brother, this matere",Woot ought my Lord my brother this matere,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01,u S u S u Su S uSx,10,1,70.01
And pitously gan mercy for to crie;,And pitously gan mercy for to crie,u SuS u Su S u S,10,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24,u SuS u Su S u S,10,1,64.24
With al your book and al the companie!”,With al your book and al the companie,u S u S u S u SuS,10,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01,u S u S u S u SuS,10,1,84.01
"Whil folk is blent, lo, al the time is wonne!",Whil folk is blent lo al the time is wonne,u S u S u S u Sx u Sx,10,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49,u S u S u S u Sx u Sx,10,1,67.49
A manly man to ben an abbot able,A manly man to ben an abbot able,u Su S u S u Su S,10,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,59.67,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,60.92,u Su S u S u Su Sx,10,1,60.92
For I sey nought that she so sodeinly,For I sey nought that she so sodeinly,u S u S u S u SuS,10,u S u S u S u SuS,10,1,43.85,u S u S u S u SuS,10,1,43.85,u S u S u S u SuS,10,1,42.60,u S u S u S u SuS,10,1,43.85,u S u S u S u SuS,10,1,43.85,u S u S u S u SuS,10,1,43.85,u S u S u S u SuS,10,1,43.85,u S u S u S u SuS,10,1,43.85,       ,0,0,0.00
"To Troilus, as I shal yow devise.",To Troilus as I shal yow devise,u SuS u S u S uSx,10,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94,u SuS u S u S uSx,10,1,66.94
And ran to London unto Seinte Poules,And ran to London unto Seinte Poules,u S u Su Su S uS,10,u S u Su Su Sx uS,10,1,26.73,u S u Su Su Sx uS,10,1,26.73,u S u Su Su Sx uS,10,1,26.73,u S u Su Su Sx uS,10,1,26.73,u S u Su Su Sx uS,10,1,26.73,      ,0,0,0.00,      ,0,0,0.00,u S u Su Su Sx uS,10,1,26.73,      ,0,0,0.00
"And al this thing he tolde him, word and ende;",And al this thing he tolde him word and ende,u S u S u Sx u S u Sx,10,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,80.79,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,78.79,u S u S u Sx u S u Sx,10,1,78.79
And in this world no lives creature,And in this world no lives creature,u S u S u Su SuSx,10,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96,u S u S u Su SuSx,10,1,64.96
Ful swetely herde he confessioun,Ful swetely herde he confessioun,u SuS u S uSuS,10,u SuS ux S uSuS,10,1,43.29,u SuS ux S uSuS,10,1,43.29,u SuS ux S uSuS,10,1,41.29,u SuS ux S uSuS,10,1,43.29,u SuS ux S uSuS,10,1,43.29,u SuS ux S uSuS,10,1,43.29,u SuS ux S uSuS,10,1,43.29,u SuS ux S uSuS,10,1,43.29,    ,0,0,0.00
"That certainly, though that I sholde deie",That certainly though that I sholde deie,u SuS u S u Su S,10,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96,u SuS u S u Su S,10,1,56.96
"“But nathelees, this warne I yow,” quod she",But nathelees this warne I yow quod she,u SuS u Sx u S u S,10,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,48.26,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,49.51,u SuS u Sx u S u S,10,1,49.51
"“A! go we see, caste up the yates wide;",A go we see caste up the yates wide,u S u S ux S u Su Sx,10,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17,u S u S ux S u Su Sx,10,1,69.17
"Have God my trouthe, hir cause to sustene.”",Have God my trouthe hir cause to sustene,ux S u Sx u Su S uSx,10,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,55.58,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,54.33,ux S u Sx u Su S uSx,10,1,54.33
Was I so bisy no man for to preche,Was I so bisy no man for to preche,u S u Su S u S u Sx,10,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79,u S u Su S u S u Sx,10,1,45.79
Hir adversaries wolde of it agrise.,Hir adversaries wolde of it agrise,u SuSu Sx u S uS,10,u SuSuS ux S u Sux,11,0,34.26,u SuSuS ux S u Sux,11,0,34.26,u SuSuS ux S u Sux,11,0,32.59,u SuSuS ux S u Sux,11,0,34.26,u SuSuS ux S u Sux,11,0,34.26,u SuSuS ux S u Sux,11,0,34.26,u SuSuS ux S u Sux,11,0,34.26,u SuSuS ux S u Sux,11,0,34.26,     ,0,0,0.00
"Thou mayst answere, ‘Abid, abid,’ but he",Thou mayst answere Abid abid but he,u S uSx uS uS u S,10,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,u S uSx uS uS u S,10,1,37.81,      ,0,0,0.00
Is signe that a man is wel yshrive,Is signe that a man is wel yshrive,u Su S u S u S uS,10,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34,u Su S u S u S uSx,10,1,47.34
In this viage shal telle tales tweye,In this viage shal telle tales tweye,u S uS u Su Su S,10,u S uSx u Su Su S,10,1,37.66,u S uSx u Su Su S,10,1,37.66,u S uSx u Su Su S,10,1,37.66,u S uSx u Su Su S,10,1,37.66,u S uSx u Su Su S,10,1,37.66,u S uSx u Su Su S,10,1,37.66,u S uS u Su Su S,10,1,37.66,u S uS u Su Su S,10,1,37.66,      ,0,0,0.00
"If youre wille be, as I yow preide",If youre wille be as I yow preide,u Su Su S u S u Sx,10,u Su Su S u S u Sx,10,1,33.40,u Su Su S u S u Sx,10,1,33.40,u Su Su S u S u Sx,10,1,32.15,u Su Su S u S u Sx,10,1,33.40,u Su Su S u S u Sx,10,1,33.40,u Su Su S u S u Sx,10,1,33.40,u Su Su S u S u Sx,10,1,33.40,u Su Su S u S u Sx,10,1,33.40,       ,0,0,0.00
And which of yow that bereth him best of alle,And which of yow that bereth him best of alle,u S u S u Su S u S u,11,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80,u S u S u Sx u S u Sx,10,0,62.80
"Sey on, lat me not in this fere dwelle.”",Sey on lat me not in this fere dwelle,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,47.25,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,48.36,u S u S u S u Su Sx,10,1,48.36
And when she goth to temple and hoom agein,And when she goth to temple and hoom agein,u S u S u Sx u S uS,10,u S u S u Su S u Su,11,0,36.24,u S u S u Su S u Su,11,0,36.24,u S u S u Su S u Su,11,0,38.46,u S u S u Su S u Su,11,0,36.24,u S u S u Su S u Su,11,0,36.24,u S u S u Su S u Su,11,0,36.24,        ,0,0,0.00,        ,0,0,0.00,        ,0,0,0.00
"On whiche he rood a pas, ful softely;",On whiche he rood a pas ful softely,u Sx u S u S u SuS,10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10,u Sx u S u S u SuS,10,1,82.10
"Is it of love? O, som good ye me lere!”",Is it of love O som good ye me lere,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,59.31,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,58.31,u S u Sx u S u S u Sx,10,1,58.31
"And of bodies mollificacioun,°",And of bodies mollificacioun,u S uS uSuSuS,10,u S uSu SuSuSu,11,0,30.75,u S uSu SuSuSu,11,0,30.75,u S uSu SuSuSu,11,0,30.75,u S uSu SuSuSu,11,0,30.75,u S uSu SuSuSu,11,0,30.75,u S uSu SuSuSu,11,0,30.75,u S uS uSuSuS,10,1,30.75,u S uS uSuSuS,10,1,30.75,   ,0,0,0.00
And that ye deigne me so muche honoure,And that ye deigne me so muche honoure,u S u Su S u Sx uSx,10,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,45.81,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,48.31,u S u Su S u Sx uSx,10,1,48.31
"Now, mea culpa, lord! I me repente.",Now mea culpa lord I me repente,u Su Su S u S uSx,10,u Su Su S u S uSx,10,1,40.49,u Su Su S u S uSx,10,1,40.49,u Su Su S u S uSx,10,1,39.06,u Su Su S u S uSx,10,1,40.49,u Su Su S u S uSx,10,1,40.49,u Su Su S u S uSx,10,1,40.49,u Su Su S u S uSx,10,1,40.49,u Su Su S u S uSx,10,1,40.49,      ,0,0,0.00
To sitten in a yeldhalle on a deis,To sitten in a yeldhalle on a deis,u Su S u Su S u S,10,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72,u Su S u Sux S u S,10,1,44.72
That gan ful lightly of the lettre pace,That gan ful lightly of the lettre pace,u S u Su S u Su Sx,10,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,73.94,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,72.69,u S u Su S u Su Sx,10,1,72.69
Ay where he wente it was arayed thus:,Ay where he wente it was arayed thus,u Sx u Sx u S uSu S,10,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00,u Sx u Sx u S uSu S,10,1,51.00
Wel coude he dresse his takel yemanly,Wel coude he dresse his takel yemanly,u S u S u Su SuS,10,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,51.20,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,49.78,u Sx u Sx u Su SuS,10,1,49.78
