OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
Tho fillen they in other tales glade,Tho fillen they in other tales glade,u Su S u Su Su Sx,10,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34,u Su S u Su Su Sx,10,1,59.34
"That al was wel, and out he gan to goon",That al was wel and out he gan to goon,u S u S u S u S u S,10,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,69.27,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,68.27,u S u S u S u S u S,10,1,68.27
And al the love of Palamon and Arcite,And al the love of Palamon and Arcite,       ,0,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,66.15,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,63.65,u S u Sx u SuS u Sux,11,0,63.65
"Lo, the alderfirste word that him asterte",Lo the alderfirste word that him asterte,u S uSux S u S uSx,10,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,50.71,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,52.14,u S uSux S u S uSx,10,1,52.14
Than wolde he speke no word but Latin,Than wolde he speke no word but Latin,u Su S u S u S uS,10,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,u Sx u Su S u S uS,10,0,31.74,       ,0,0,0.00
And plesaunt was his absolucioun,And plesaunt was his absolucioun,u Su S u SuSuS,10,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96,u Su S u SuSuS,10,1,67.96
"And whan that Antony saw that aventure,°",And whan that Antony saw that aventure,u S u Suu S u SuS,11,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,u S u SuS u S uSux,11,0,36.96,      ,0,0,0.00
"This Troilus, that herde his lady preye",This Troilus that herde his lady preye,u SuS u Sx u Su S,10,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,80.18,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,78.75,u SuS u Sx u Su S,10,1,78.75
That fro the time that he first bigan,That fro the time that he first bigan,u S u Su S u S uS,10,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,63.25,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,59.50,u S u Su S u S uS,10,1,59.50
So as the wordes yave him hope or drede.,So as the wordes yave him hope or drede,u S u Su Sx u Sx u Sx,10,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18,u S u Su Sx u Sx u Sx,10,1,70.18
