Rule,Successes,Failures,Total,SuccessRate
Past plural ends in -en/-e,609,71,680,89.56%
Infinitive ends in -en/-e,4957,612,5569,89.01%
Present 3rd sg ends in -eth,767,3669,4436,17.29%
Weak pt sg ends in -ed/-d/-t,267,869,1136,23.50%
Strong pt sg not -en/-e,730,44,774,94.32%
Present plural ends in -en/-e,984,658,1642,59.93%
Strong participle ends in -en/-e,260,71,331,78.55%
