headword,classification,notes,evidence,total_occurrences
halten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:2); v%pr_3(-e:1, -t:1)",4
happenen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-en:2),2
harmen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2),4
harneisen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
harpen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
hasten,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:6); v%inf(-e:6, -en:4); v%pr_3(-eth:6)",22
hauken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
haunten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:4); v%pt_pl(-en:2),6
heden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
helden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
hepen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
herauden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
herken,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:17, -eth:2); v%inf(-en:2)",21
heuen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:3, -e:2); v2#adj%ppl(-ed:8)",13
highten,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-t:2),2
hindren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:1, -e:1); v%pr_2(-est:2)",4
hiren,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
hondlen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
hopen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-en:2); v%pr_1(-e:58); v%pr_3(-eth:2); v%pr_pl(-en:2),66
hoppen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2); v%pr_pl(-en:2),4
houlen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
houpen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-ed:2),2
hummen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
hurlen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_2(-est:2),2
hurtelen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2); v%pr_pl(-en:2),4
igon,unknown,"classified by morphological evidence on January 27, 2026","v%ppl(other:14, vowel:12); v%ppl_abs(other:2)",28
ihalwen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
