headword,classification,notes,evidence,total_occurrences
rejoien,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
reken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2); v%pr_3(-eth:2),4
relenten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
remeven,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:2); v%inf(-en:2, -e:2); v%pr_pl(-e:2); v%pt_pl(-ed:2)",10
remorden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-e:2),2
remuen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
rending,unknown,"classified by morphological evidence on January 27, 2026",v%ger(other:1),1
reneien,weak,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:6, -en:1); v%ppl(-ed:4); v%pr_1(-e:2); v%pt_pl(-ed:2)",17
reneyen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-e:1),1
renten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:1),1
repairen,weak,"classified by morphological evidence on January 27, 2026","v%imp(-eth:2); v%inf(-e:12); v%ppl(-ed:2); v%pr_3(-eth:8); v%prp_abs(other:1, -e:1)",26
repelen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:4),4
repen,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-en:2),2
replien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
reporten,weak,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%ppl(-ed:4); v%pr_2(-e:2); v%pr_3(-eth:2),10
reprehenden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
repreven,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:4); v%pr_3(-eth:3, -e:2, other:1); v%pr_pl(-e:6)",18
rescouen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pt_3(-ed:2),6
resemblen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
resen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
reserven,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
resignen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:6); v%pr_pl(-e:2),8
respiten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:2, -e:2)",4
restreinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:20),20
revesten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
revoken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
rimen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:18); v%pr_pl(-e:2),20
robben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
rokken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
roren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_3(-eth:4); v%pt_3(-ed:2),12
rouen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%ppl(-ed:2),4
rouken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
routen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8); v%pr_3(-eth:4),12
rubben,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:4),4
rubifien,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2),2
ruggen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
rushen,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(other:2),2
rusten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-e:2),4
sacren,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
sacrificen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-e:3); v%pr_1(-e:2),7
sacrifien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
sanden,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
savouren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(other:1, -e:1)",2
scapen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:4); v%ppl(-ed:4); v%pr_2(-est:2); v%pr_3(-e:2)",16
sclaundren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_1(-e:2),4
scoleien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
scoren,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
seden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
seilen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:20, -en:2); v%ppl(-ed:2); v%pr_1(-e:2); v%pr_3(-eth:12); v%pr_pl(-e:2); v%prp_abs(-e:7, other:3); v%pt_3(-ed:3, -e:1); v%pt_pl(-ed:2)",56
seisen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%pr_3(-e:2),4
selen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%ppl_abs(-ed:2); v%pr_3(-eth:2),6
sellen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:32, -en:2); v%pt_3(-e:2)",36
sengen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-d:2); v%inf(-e:2),4
serchen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
sermounen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
sethen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
sharpen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
sheden,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:4),4
shelden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%pr_3(-e:24, other:2)",28
shenchen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:1),1
sheren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%ppl(other:4, -e:2)",8
sheten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%ppl_abs(-en:1),5
shiften,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
shiten,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-en:2),2
shiveren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
shon,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-d:2),2
shorten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:6); v%pr_3(-t:1, -e:1)",8
shouten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
shreuen,unknown,"classified by morphological evidence on January 27, 2026","v%pr_1(-e:9, other:3)",12
shrinken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
sien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
sikeren,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
sinnen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
sippen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
skinken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:1),1
slaken,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:12); v%pr_3(-e:2, -eth:2); v%pr_pl(-e:2)",18
sliden,unknown,"classified by morphological evidence on January 27, 2026","v#adj%prp(-e:3, other:1); v%inf(-e:12); v%pr_3(-t:2)",18
slingen,strong,"classified by morphological evidence on January 27, 2026",v%pt_3(other:2),2
slinken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
slippen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
slomberen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_2_pron(other:2),2
smellen,weak,"classified by morphological evidence on January 27, 2026",v#adj%prp(-e:4); v%inf(-en:2); v%pr_1(-e:2); v%pr_2(-est:2); v%pr_pl(-en:2); v%pt_3(-e:2),14
smerten,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:18); v%pr_3(-e:18, -t:2, -eth:2); v%pr_pl(-e:4); v%pt_3(-e:8)",52
smoken,unknown,"classified by morphological evidence on January 27, 2026","v#adj%prp(other:1, -e:1)",2
snibben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
sobben,unknown,"classified by morphological evidence on January 27, 2026","v%prp_abs(-e:1, other:1)",2
socouren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
softenen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
sojournen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:18); v%ppl(-ed:4); v%pr_3(-eth:4),26
solasen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
soren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:12),12
sotten,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
souden,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
sounden,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2),4
soupen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:3, -en:2, other:1); v%pr_pl(-en:4)",10
sparklen,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
speren,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
speuen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
spicen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:6),6
spinnen,weak,"classified by morphological evidence on January 27, 2026","v(other:1); v%prp_abs(other:1, -e:1); v%pt_3(other:2, -e:2)",7
spitten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_pl(-en:2),4
squieren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
stakeren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
stallen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
stampen,unknown,"classified by morphological evidence on January 27, 2026","v%pr_pl(-e:3, -en:1)",4
staren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8); v%pr_3(-eth:1); v%pr_pl(-e:2),11
stellifien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-e:2),6
steren,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%ppl(-ed:2); v%pr_1(-e:2),8
stertelen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(-e:2),2
stillen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
stoken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
stokken,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
stomblen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
storen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
stoupen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2); v%imp(-eth:2); v%inf(-e:4); v%pr_3(-eth:2); v%pr_pl(-en:2),12
straken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
stranglen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
strecchen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:12); v%pr_3(-eth:2); v%prp_abs(other:1, -e:1); v%pt_3(-e:2); v%pt_pl(-e:2)",20
streinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:10); v%pr_3(-eth:7); v%pr_pl(-e:2),19
stremen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-en:2),2
strengthen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
streuen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%ppl_abs(-ed:1); v%pr_2(-e:2),5
striken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
strogelen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_2(-est:2),6
stroken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_3(-eth:2),8
studien,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-eth:2); v%inf(-e:4); v%pr_3(-eth:2),8
stuffen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
sublimen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
submitten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
succeden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
suffren,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:1),1
supprisen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
sustenen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:22); v%ppl_abs(-ed:2),24
swarmen,unknown,"classified by morphological evidence on January 27, 2026","v%pr_3(-eth:2); v%pr_pl(-en:2); v%pt_pl(-en:1, -ed:1)",6
swenchen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-e:2),2
swimmen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_pl(-en:4),10
swolwen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-e:2),6
tabouren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
talen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:2)",6
talken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
tapeten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
tasselen,unknown,"classified by morphological evidence on January 27, 2026","v%ppl_abs(-d:1, -ed:1)",2
temen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
teren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(other:4); v%ppl_abs(other:4); v%pr_pl(-en:2),12
terminen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
then,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:28); v%pr_1(-e:1); v%pr_1_pron(other:2); v%pr_2_pron(other:3),34
theuen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
tholen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
thondren,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
thrallen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:2, -e:2)",4
threpen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
threshen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
thresten,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pt_3(-e:8); v%pt_pl(-e:2),12
threten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
thringen,strong,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pt_3(other:4),6
thriven,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:36, -en:2); v%pr_1(-e:8)",46
thurgh-darten,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:1),1
thurghgirden,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-t:3),3
thurghsheten,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-en:1),1
thwiten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
tinnen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
tippen,unknown,"classified by morphological evidence on January 27, 2026",v2#adj%ppl(-ed:6),6
to-shiveren,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
tobreken,strong,"classified by morphological evidence on January 27, 2026",v%inf(-e:1); v%ppl(-e:2); v%ppl_abs(-e:2); v%pr_3(-eth:4),9
tocleven,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
todriven,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-en:2),2
togon,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(vowel:2),2
tohangen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:1),1
tollen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:2, -e:2)",4
tomelten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
torasen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
tormenten,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%ppl(-ed:4); v%pr_3(-eth:2),12
toscateren,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
toshaken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2); v%ppl_abs(-e:2),4
toshreden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
tosterten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
toswinken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:1),1
toteren,strong,"classified by morphological evidence on January 27, 2026",v%ppl_abs(other:4); v%pt_3(other:2); v%pt_pl(-e:2),8
tracen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
traien,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-ed:3),3
transfiguren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
trappen,unknown,"classified by morphological evidence on January 27, 2026",v2#adj%ppl(-ed:4),4
trauncen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
travailen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%prp_abs(-e:2),4
trespassen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:7); v%pr_3(-e:2),9
tressen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2); v%ppl_abs(-ed:2),4
treten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:18, -en:2); v%pr_pl(-e:10, -en:2)",32
tricen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
triklen,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(other:1); v%pt_pl(-ed:2),3
trillen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:4); v%inf(-e:2); v%prp_abs(other:1),7
trippen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
trotten,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%pr_3(-eth:2),4
troublen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
twinen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-e:2),2
twinklen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-ed:2),2
umbreiden,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:1),1
unbinden,strong,"classified by morphological evidence on January 27, 2026",v%imp(-d:2); v%inf(-e:6); v%ppl(-en:2),10
unbodien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
unbokelen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(other:2, -e:2); v%inf(-e:1, -en:1)",6
unbridelen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
unclosen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%ppl(-ed:2),6
uncouplen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
undergrouen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-e:2),2
undernimen,strong,"classified by morphological evidence on January 27, 2026",v%pt_3(other:2),2
underpicchen,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:2),2
undersporen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
undertaken,strong,"classified by morphological evidence on January 27, 2026","v%inf(-e:7, other:1); v%pr_1(-e:19, other:1); v%pr_3(-eth:2); v%pt_3(other:2)",32
undeserven,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
unfeteren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
unfolden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
unloven,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
unnesten,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
unpinnen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
unshethen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
unshitten,unknown,"classified by morphological evidence on January 27, 2026","v#adj%ppl(-et:1, -e:1); v%pr_3(-e:2)",4
unswellen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
unteien,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-d:2),2
untellen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-d:2),2
unwiten,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(other:4),4
unwreien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
up-beren,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(other:2),2
upbreiden,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-e:2); v%pt_3(-e:1),5
upcasten,weak,"classified by morphological evidence on January 27, 2026",v%imp(-eth:1); v%pt_3(-e:1),2
updrauen,strong,"classified by morphological evidence on January 27, 2026",v%pt_3(other:1),1
upheven,strong,"classified by morphological evidence on January 27, 2026",v%pt_3(other:1),1
upreisen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:1),1
uprennen,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:1),1
uprisen,strong,"classified by morphological evidence on January 27, 2026","v%pr_3(-t:5, -eth:3); v%pt_3(other:1)",9
upspringen,unknown,"classified by morphological evidence on January 27, 2026",v(other:1),1
upsterten,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:4),4
upstonden,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2),2
uptaken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-en:1),1
upyelden,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-en:1),1
varien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_1(-e:2); v%prp_abs(-e:2),6
verifien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
visagen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
vouchen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:4); v%inf(-e:5, -en:2); v%pr_1(-e:3); v%pr_2(other:1, -e:1); v%pr_3(-e:3); v%pr_pl(-e:2, -en:1); v%pt_3(-ed:4); v%pt_pl(-e:1)",27
vouchen_sauf,unknown,"classified by morphological evidence on January 27, 2026",v%inf(other:11); v%pr_1(other:2); v%pr_3(other:1); v%pr_pl(other:11),25
waden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:6, -en:2)",8
waggen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(other:2),2
walwen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%pr_1(-e:2); v%pr_3(-eth:5, other:1); v%pr_pl(-e:2); v%prp_abs(other:1, -e:1)",14
wanen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8); v%pr_pl(-e:2),10
wanten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_1(-e:2); v%pr_3(-eth:4),8
waranten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
waren,unknown,"classified by morphological evidence on January 27, 2026","v%imp(other:10, -e:4)",14
warien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_1(-e:2),4
warmen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
weiken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
weiven,unknown,"classified by morphological evidence on January 27, 2026","v1&%inf(-e:8, -en:4); v1&%ppl(-ed:2); v1&%pr_1(-e:2); v1&%pr_3(-eth:4); v1&%pr_pl(-en:2)",22
wellen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
werien,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
westen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
westren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
weven,strong,"classified by morphological evidence on January 27, 2026","v%inf(-en:3, -e:1); v%ppl(-en:2); v%pt_3(other:2)",8
whelen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
whetten,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2); v%ppl_abs(-et:2),4
whinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
whirlen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-eth:4),8
whistlen,unknown,"classified by morphological evidence on January 27, 2026","v#adj%prp(other:1, -e:1); v%inf(-e:2)",4
whiten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
wimplen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:4),4
wincen,unknown,"classified by morphological evidence on January 27, 2026",v%prp(-e:2),2
winden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:16); v%ppl_abs(-en:1, -e:1); v%pr_1(-e:2); v%pr_2(-e:2); v%pr_3(-t:2); v%pt_3(-d:2)",26
winken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:10); v%pr_1(-e:2); v%pr_3(-eth:2),14
wishen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(other:1, -e:1); v%pr_1(other:1, -e:1); v%pt_pl(-e:2)",6
wissen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:10); v%pr_2(-e:4); v%pr_3(-e:2),16
withdrauen,strong,"classified by morphological evidence on January 27, 2026","v%imp(other:1, -eth:1); v%inf(-e:4); v%ppl(-e:2)",8
withholden,strong,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:2); v%ppl(-e:4, -en:2)",12
withseien,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:6, other:2); v%pr_3(-e:2); v%pt_3(-e:2)",12
withstonden,strong,"classified by morphological evidence on January 27, 2026",v%inf(-e:14); v%ppl(-e:6); v%pr_3(-eth:2); v%pt_1(-e:2); v%pt_3(-d:2),26
witnessen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:13, other:1); v%pr_pl(-en:2)",16
wiven,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
woden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
wonden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
worshipen,unknown,"classified by morphological evidence on January 27, 2026",v(-e:1); v%inf(-e:6),7
worthen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:2); v%pr_3(other:18, -e:1)",21
wouen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:4); v%pr_3(-eth:6); v%pt_3(-ed:1, -e:1)",12
wreien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_2(-e:4),8
wresten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
