Headword,Tag,Ending,Count,Percent
seien,v%imp,other,27,96.43%
seien,v%imp,-eth,1,3.57%
seien,v%pt_1,-d,2,18.18%
seien,v%pt_1,-de,9,81.82%
seien,v%pr_2,other,1,5.00%
seien,v%pr_2,-t,19,95.00%
seien,v%pr_2_pron,other,8,88.89%
seien,v%pr_2_pron,vowel,1,11.11%
seien,v%pt_2,-est,3,100.00%
seien,v%pt_2_pron,other,3,100.00%
knitten,v%ppl,-t,5,100.00%
knitten,v%pr_3,-eth,1,100.00%
knitten,v%pr_2,-est,1,100.00%
don,v%inf,-n,101,48.33%
don,v%inf,vowel,105,50.24%
don,v%inf,-e,3,1.44%
don,v%pr_1,vowel,15,100.00%
don,v%ppl,-n,78,90.70%
don,v%ppl,vowel,7,8.14%
don,v%ppl,-e,1,1.16%
don,v%pr_pl,-n,42,66.67%
don,v%pr_pl,-en,1,1.59%
don,v%pr_pl,vowel,20,31.75%
don,v%imp,vowel,49,75.38%
don,v%imp,other,14,21.54%
don,v%imp,-n,2,3.08%
don,v%pr_3,other,82,92.13%
don,v%pr_3,vowel,7,7.87%
don,v%pt_3,-de,19,45.24%
don,v%pt_3,-d,23,54.76%
don,v%ppl_abs,-n,3,100.00%
don,v%pr_2,vowel,8,53.33%
don,v%pr_2,-t,7,46.67%
don,v%pt_1,-d,5,83.33%
don,v%pt_1,-de,1,16.67%
don,v%pr_2_pron,-t,1,33.33%
don,v%pr_2_pron,other,2,66.67%
don,v%pt_pl,-en,6,60.00%
don,v%pt_pl,-d,2,20.00%
don,v%pt_pl,-ede,1,10.00%
don,v%pt_pl,-de,1,10.00%
don,v%v3,-n,1,100.00%
don,v%pt_2,-est,1,100.00%
foryeten,v%pt_3,-t,4,100.00%
foryeten,v%imp,-et,3,100.00%
foryeten,v%pr_1,-te,1,100.00%
foryeten,v%ppl,-en,3,75.00%
foryeten,v%ppl,-et,1,25.00%
foryeten,v%inf,-te,1,100.00%
yeven,v%inf,-e,23,85.19%
yeven,v%inf,-en,4,14.81%
yeven,v%pt_3,other,35,100.00%
yeven,v%imp,-e,3,14.29%
yeven,v%imp,other,18,85.71%
yeven,v%pr_3,-e,15,71.43%
yeven,v%pr_3,-eth,3,14.29%
yeven,v%pr_3,other,3,14.29%
yeven,v%pr_2,other,1,25.00%
yeven,v%pr_2,-e,2,50.00%
yeven,v%pr_2,-est,1,25.00%
yeven,v%ppl,-e,3,30.00%
yeven,v%ppl,-en,7,70.00%
yeven,v%pt_pl,-en,2,66.67%
yeven,v%pt_pl,other,1,33.33%
yeven,v%pr_1,-e,3,100.00%
yeven,v%pt_1,other,2,100.00%
yeven,v%ppl_abs,-en,1,100.00%
yeven,v%pr_pl,-e,2,50.00%
yeven,v%pr_pl,-en,2,50.00%
comen,v%pt_3,other,84,97.67%
comen,v%pt_3,-e,2,2.33%
comen,v%inf,-e,27,51.92%
comen,v%inf,other,15,28.85%
comen,v%inf,-en,10,19.23%
comen,v%imp,other,23,92.00%
comen,v%imp,-eth,2,8.00%
comen,v%ppl,other,3,8.57%
comen,v%ppl,-en,16,45.71%
comen,v%ppl,-e,16,45.71%
comen,v%pr_3,other,35,56.45%
comen,v%pr_3,-eth,23,37.10%
comen,v%pr_3,-e,4,6.45%
comen,v%pr_pl,-eth,1,7.14%
comen,v%pr_pl,-e,7,50.00%
comen,v%pr_pl,-en,6,42.86%
comen,v%pt_pl,-en,2,22.22%
comen,v%pt_pl,other,6,66.67%
comen,v%pt_pl,-e,1,11.11%
comen,v%pt_1,other,9,100.00%
comen,v#adj%prp,-e,2,100.00%
comen,v%pr_2,-est,1,100.00%
comen,v%pr_1,other,2,100.00%
comen,v%prp,-ing,1,100.00%
comen,v%prp_abs,-ing,1,100.00%
comen,v%ppl_abs,-e,1,100.00%
bifallen,v%pt_3,other,29,100.00%
bifallen,v%pr_3,-eth,1,100.00%
maken,v%inf,-e,54,64.29%
maken,v%inf,-en,24,28.57%
maken,v%inf,other,5,5.95%
maken,v%inf,-d,1,1.19%
maken,v%pr_3,-eth,36,97.30%
maken,v%pr_3,-e,1,2.70%
maken,v%imp,-eth,2,20.00%
maken,v%imp,-e,8,80.00%
maken,v%pt_3,-de,58,87.88%
maken,v%pt_3,-ed,4,6.06%
maken,v%pt_3,-d,4,6.06%
maken,v%ppl,-d,33,66.00%
maken,v%ppl,-ed,13,26.00%
maken,v%ppl,-de,4,8.00%
maken,v%pt_2,-est,6,100.00%
maken,v%pr_pl,-en,14,70.00%
maken,v%pr_pl,other,1,5.00%
maken,v%pr_pl,-e,5,25.00%
maken,v%pr_2,-e,2,40.00%
maken,v%pr_2,-est,2,40.00%
maken,v%pr_2,other,1,20.00%
maken,v%ppl_abs,-d,2,100.00%
maken,v%pt_1,-de,7,77.78%
maken,v%pt_1,-d,1,11.11%
maken,v%pt_1,vowel,1,11.11%
maken,v%pt_pl,-en,7,58.33%
maken,v%pt_pl,-de,5,41.67%
maken,v%pr_1,-e,3,100.00%
maken,v%prp_abs,-ing,1,100.00%
bien,v%inf,-en,1,100.00%
bien,v%pt_pl,-en,3,100.00%
bien,v%ppl,-t,2,100.00%
bien,v#adj%ppl,-t,1,100.00%
haven,v%pr_3,other,527,95.13%
haven,v%pr_3,-e,24,4.33%
haven,v%pr_3,-eth,1,0.18%
haven,v%pr_3,-t,2,0.36%
haven,v%pr_1,-e,228,100.00%
haven,v%inf,-e,142,47.33%
haven,v%inf,-n,157,52.33%
haven,v%inf,-d,1,0.33%
haven,v%pt_3,-d,253,64.87%
haven,v%pt_3,-de,136,34.87%
haven,v%pt_3,-t,1,0.26%
haven,v%pr_pl,-e,55,18.46%
haven,v%pr_pl,-n,241,80.87%
haven,v%pr_pl,other,1,0.34%
haven,v%pr_pl,-d,1,0.34%
haven,v%pr_2,-t,71,94.67%
haven,v%pr_2,-e,4,5.33%
haven,v%imp,-e,46,95.83%
haven,v%imp,-eth,2,4.17%
haven,v%ppl,-d,18,100.00%
haven,v%pr_2_pron,other,33,97.06%
haven,v%pr_2_pron,vowel,1,2.94%
haven,v%pt_pl,-d,25,45.45%
haven,v%pt_pl,-en,15,27.27%
haven,v%pt_pl,-de,15,27.27%
haven,v%pt_1,-de,18,31.03%
haven,v%pt_1,-d,40,68.97%
haven,v%pt_2,-est,8,100.00%
haven,v%pr_3_neg,other,3,100.00%
haven,v%pt_3_neg,other,1,20.00%
haven,v%pt_3_neg,-de,3,60.00%
haven,v%pt_3_neg,-d,1,20.00%
haven,v%pt_2_pron,other,1,100.00%
haven,v%pt_1_neg,-de,1,33.33%
haven,v%pt_1_neg,-d,2,66.67%
haven,v%pr_2_pron_neg,other,1,100.00%
preien,v%ppl,-ed,4,100.00%
preien,v%pr_1,other,61,92.42%
preien,v%pr_1,-e,5,7.58%
preien,v%inf,other,7,50.00%
preien,v%inf,-en,4,28.57%
preien,v%inf,-e,3,21.43%
preien,v%pt_pl,-en,1,100.00%
preien,v%pr_pl,-en,5,62.50%
preien,v%pr_pl,other,2,25.00%
preien,v%pr_pl,-e,1,12.50%
preien,v%pt_3,-ed,3,27.27%
preien,v%pt_3,-ede,1,9.09%
preien,v%pt_3,-de,6,54.55%
preien,v%pt_3,-d,1,9.09%
preien,v%pr_3,other,1,50.00%
preien,v%pr_3,-eth,1,50.00%
preien,v%imp,other,1,16.67%
preien,v%imp,-eth,5,83.33%
preien,v%prp_abs,-ing,1,100.00%
preien,v%pt_2,-est,1,100.00%
shulen,v%pt_3,-d,40,24.10%
shulen,v%pt_3,-de,126,75.90%
shulen,v%pr_3,other,381,100.00%
shulen,v%pt_pl,-de,31,50.82%
shulen,v%pt_pl,-d,13,21.31%
shulen,v%pt_pl,-en,17,27.87%
shulen,v%pr_1,other,196,99.49%
shulen,v%pr_1,vowel,1,0.51%
shulen,v%pr_pl,other,142,95.95%
shulen,v%pr_pl,-en,4,2.70%
shulen,v%pr_pl,-e,2,1.35%
shulen,v%pr_2_pron,other,13,76.47%
shulen,v%pr_2_pron,vowel,4,23.53%
shulen,v%pt_1,-d,6,26.09%
shulen,v%pt_1,-de,15,65.22%
shulen,v%pt_1,vowel,2,8.70%
shulen,v%pr_2,-t,88,97.78%
shulen,v%pr_2,other,2,2.22%
shulen,v%pt_2_pron,other,2,66.67%
shulen,v%pt_2_pron,vowel,1,33.33%
shulen,v%pt_2,-est,7,100.00%
bringen,v%pt_3,-te,9,75.00%
bringen,v%pt_3,-t,3,25.00%
bringen,v%inf,-e,8,42.11%
bringen,v%inf,-ing,2,10.53%
bringen,v%inf,-en,9,47.37%
bringen,v%ppl,-t,21,100.00%
bringen,v%pr_3,-eth,1,50.00%
bringen,v%pr_3,-e,1,50.00%
bringen,v%imp,-eth,2,50.00%
bringen,v%imp,-ing,2,50.00%
bringen,v%pr_pl,-en,2,66.67%
bringen,v%pr_pl,-e,1,33.33%
bringen,v%ppl_abs,-t,1,100.00%
bringen,v%pt_pl,-en,2,100.00%
bringen,v%pr_1,-e,1,100.00%
bringen,v%pt_2,-est,1,100.00%
leten,v%pr_1,-te,9,81.82%
leten,v%pr_1,-et,2,18.18%
leten,v%imp,-t,119,88.81%
leten,v%imp,-et,11,8.21%
leten,v%imp,-eth,1,0.75%
leten,v%imp,-te,3,2.24%
leten,v%pt_3,-et,31,100.00%
leten,v%pt_1,-et,1,100.00%
leten,v%inf,-et,1,20.00%
leten,v%inf,-te,2,40.00%
leten,v%inf,-en,2,40.00%
leten,v%pr_3,-t,1,100.00%
leten,v%pt_pl,-en,1,100.00%
leten,v%ppl,-en,1,100.00%
leten,v%pr_2,-et,1,100.00%
gon,v%pr_3,other,71,91.03%
gon,v%pr_3,vowel,7,8.97%
gon,v%inf,-n,31,35.23%
gon,v%inf,vowel,57,64.77%
gon,v%imp,other,11,21.57%
gon,v%imp,vowel,40,78.43%
gon,v%pr_pl,vowel,15,42.86%
gon,v%pr_pl,-n,20,57.14%
gon,v%pr_2,-t,3,75.00%
gon,v%pr_2,vowel,1,25.00%
gon,v%ppl_abs,-n,4,100.00%
gon,v%ppl,-n,13,76.47%
gon,v%ppl,vowel,3,17.65%
gon,v%ppl,-e,1,5.88%
gon,v%pr_1,vowel,7,100.00%
rekenen,v%inf,-en,2,33.33%
rekenen,v%inf,-e,4,66.67%
rekenen,v%ppl,-ed,1,100.00%
rekenen,v%pr_3,-en,1,100.00%
encresen,v%ppl,-ed,1,100.00%
encresen,v%inf,-en,2,50.00%
encresen,v%inf,-e,2,50.00%
encresen,v%pr_3,-eth,2,100.00%
encresen,v%pr_pl,-en,1,100.00%
leien,v%pr_3,other,2,100.00%
leien,v%pt_3,-de,2,50.00%
leien,v%pt_3,-d,2,50.00%
leien,v%pr_pl,-n,1,100.00%
leien,v%ppl,-d,3,100.00%
leien,v%inf,-e,1,100.00%
leien,v%imp,other,2,100.00%
leien,v%pr_1,other,1,100.00%
willen,v%pt_3_neg,-d,4,16.67%
willen,v%pt_3_neg,-de,19,79.17%
willen,v%pt_3_neg,vowel,1,4.17%
willen,v%pt_pl,-de,26,48.15%
willen,v%pt_pl,-en,16,29.63%
willen,v%pt_pl,-d,12,22.22%
willen,v%pr_1,other,260,98.11%
willen,v%pr_1,-e,2,0.75%
willen,v%pr_1,-t,3,1.13%
willen,v%pr_pl,other,102,92.73%
willen,v%pr_pl,-e,7,6.36%
willen,v%pr_pl,-en,1,0.91%
willen,v%pt_3,-de,186,80.52%
willen,v%pt_3,-d,44,19.05%
willen,v%pt_3,-e,1,0.43%
willen,v%pt_1,-de,23,65.71%
willen,v%pt_1,-d,12,34.29%
willen,v%pr_3,other,213,98.61%
