headword,word,line_number,filename,context,is_elided,is_final,text_type
god,good,House of Fame 1616,data/riverside_cats/HF_riv.cat,Good werkes shal yow noght availle,False,False,RIVERSIDE
god,good,The Canon's Yeoman's Tale 1283,data/riverside_cats/CYT_riv.cat,Now good sires what wol ye bet than wel,False,False,RIVERSIDE
proud,proud,The Monk's Tale 2167,data/riverside_cats/MkT_riv.cat,This kyng of kynges proud was and elaat,False,False,RIVERSIDE
