OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"And thanne my bulles shewe I, alle and some.","And than my bulles° shewe I, alle and somme.°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 336,,10,10,And thanne my bulles shewe I alle and some,And than my bulles shewe I alle and somme,u Sx u Su Sx u Sx u Sx,u S u Su Sx u Sx u Sx,and@conj thanne@adv min@pron%gen bulle@n%pl sheuen@v1%pr_1 ich@pron%nom al@gram_adjas_n and@conj som@pron,and@conj thanne@adv min@pron%gen bulle@n%pl sheuen@v1%pr_1 ich@pron%nom al@gram_adjas_n and@conj som@pron,
Oure lige lordes seel on my patente,"Our lige lordes° seel on my patente,°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 337,,10,10,Oure lige lordes seel on my patente,Our lige lordes seel on my patente,ux Su Su S u S uSx,u Su Su S u S uSx,oure@pron%pl_gen lege@adj lord@n%gen sele@n3 on@prep min@pron%gen patente@n1,oure@pron%pl_gen lege@adj lord@n%gen sele@n3 on@prep min@pron%gen patente@n1,
"That shewe I first, my body to warente","That shewe I first, my body° to warente,°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 338,,10,10,That shewe I first my body to warente,That shewe I first my body to warente,u Sx u S u Su S uSx,u Sx u S u Su S uSx,that@pron sheuen@v1%pr_1 ich@pron%nom first@adv min@pron%gen bodi@n to@prep waranten@v%inf,that@pron sheuen@v1%pr_1 ich@pron%nom first@adv min@pron%gen bodi@n to@prep waranten@v%inf,
"That no man be so boold, ne preest ne clerk","That no man be so bold, ne preest ne clerk",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 339,,10,10,That no man be so boold ne preest ne clerk,That no man be so bold ne preest ne clerk,u S u S u S u S u S,u S u S u S u S u S,that@conj no@gram_adj man@n ben@v%pr_3 so@adv bold@adj ne@conj1 prest@n3 ne@conj1 clerk@n,that@conj no@gram_adj man@n ben@v%pr_3 so@adv bold@adj ne@conj1 prest@n3 ne@conj1 clerk@n,
Me to destourbe of Cristes hooly werk.,Me to destourbe of° Cristes holy werk;,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 340,,10,10,Me to destourbe of Cristes hooly werk,Me to destourbe of Cristes holy werk,u S uSx u Su Su S,u S uSx u Su Su S,me@pron2%obj to@part distourben@v%inf of@prep crist@n#propn%gen holi@adj2 werk@n,me@pron2%obj to@part distourben@v%inf of@prep crist@n#propn%gen holi@adj2 werk@n,
And after that thanne telle I forth my tales;,And after that than° telle I forth my tales,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 341,,10,10,And after that thanne telle I forth my tales,And after that than telle I forth my tales,u Su S ux Sx u S u Sx,u Su S u Sx u S u Sx,and@conj after@prep that@pron thanne@adv tellen@v%pr_1 ich@pron%nom forth@adv min@pron%gen tale@n%pl,and@conj after@prep that@pron thanne@adv tellen@v%pr_1 ich@pron%nom forth@adv min@pron%gen tale@n%pl,
Bulles of popes and of cardynales,Bulles of popes and of cardinales,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 342,,10,10,Bulles of popes and of cardynales,Bulles of popes and of cardinales,uS u Su S u SuSx,uS u Su S u SuSx,bulle@n%pl of@prep pope@n%pl and@conj of@prep cardinal@n%pl,bulle@n%pl of@prep pope@n%pl and@conj of@prep cardinal@n%pl,
Of patriarkes and bishopes I shewe,"Of patriarkes, and bishoppes I shewe;",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 343,,10,10,Of patriarkes and bishopes I shewe,Of patriarkes and bishoppes I shewe,u SuSu S uSx u Sx,u SuSu S uSx u Sx,of@prep patriarke@n%pl and@conj bishop@n%pl ich@pron%nom sheuen@v1%pr_1,of@prep patriarke@n%pl and@conj bishop@n%pl ich@pron%nom sheuen@v1%pr_1,
And in Latyn I speke a wordes fewe,And in Latin I speke a wordes fewe,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 344,,10,10,And in Latyn I speke a wordes fewe,And in Latin I speke a wordes fewe,u S uS u Sx u Su Sx,u S uS u Sx u Su Sx,and@conj in@prep latin@n ich@pron%nom speken@v%pr_1 a@indef_art word@n%pl feue@pron_gram_adj,and@conj in@prep latin@n ich@pron%nom speken@v%pr_1 a@indef_art word@n%pl feue@pron_gram_adj,
To saffron with my predicacioun,"To saffron with° my predicacioun,°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 345,,10,10,To saffron with my predicacioun,To saffron with my predicacioun,u Su S u SuSuS,u Su S u SuSuS,to@part safrounen@v%inf with@prep min@pron%gen predicacioun@n,to@part safrounen@v%inf with@prep min@pron%gen predicacioun@n,
