OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whil that this kyng sit thus in his nobleye,"Whil that this king sit thus in his nobleie,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 77,,0,10,Whil that this kyng sit thus in his nobleye,Whil that this king sit thus in his nobleie,"        ",u S u S u S u S uS,whil@conj that@part this@gram_adj king@n sitten@v%pr_3 thus@adv in@prep his@pron1%gen nobleie@n,whil@conj that@part this@gram_adj king@n sitten@v%pr_3 thus@adv in@prep his@pron1%gen nobleie@n,
Herknynge his mynstralles hir thynges pleye,Herkninge° his minstralles hir thinges° pleye,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 78,,10,10,Herknynge his mynstralles hir thynges pleye,Herkninge his minstralles hir thinges pleye,uSx u SuS u Su S,uSx u SuS u Su S,herkenen@v%prp_abs his@pron1%gen minstral@n%pl here@pron%pl_gen thing@n%pl pleien@v1%inf,herkenen@v%prp_abs his@pron1%gen minstral@n%pl here@pron%pl_gen thing@n%pl pleien@v1%inf,
Biforn hym at the bord deliciously,"Biforn him at the bord° deliciously,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 79,,0,0,Biforn hym at the bord deliciously,Biforn him at the bord deliciously,"     ",uS u S u S uSuS,biforen@prep him@pron%obj at@prep the@def_art bord@n deliciousli@adv,biforen@prep him@pron%obj at@prep the@def_art bord@n deliciousli@adv,
In at the halle dore al sodeynly,In at the halle dore al sodeinly,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 80,,10,10,In at the halle dore al sodeynly,In at the halle dore al sodeinly,u S u Su Sx u SuS,u S u Su Sx u SuS,in@adv at@prep the@def_art halle@n#adj dore@n1 al@adv sodeinli@adv,in@adv at@prep the@def_art halle@n#adj dore@n1 al@adv sodeinli@adv,
Ther cam a knyght upon a steede of bras,Ther cam a knight upon a stede° of bras,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 81,,10,10,Ther cam a knyght upon a steede of bras,Ther cam a knight upon a stede of bras,u S u S uS u Sx u S,u S u S uS u Sx u S,ther@adv comen@v%pt_3 a@indef_art knight@n upon@prep a@indef_art stede@n2 of@prep bras@n,ther@adv comen@v%pt_3 a@indef_art knight@n upon@prep a@indef_art stede@n2 of@prep bras@n,
And in his hand a brood mirour of glas.,And in his hand a brood mirour of glas.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 82,,10,10,And in his hand a brood mirour of glas,And in his hand a brood mirour of glas,u S u S u S uS u S,u S u S u S uS u S,and@conj in@prep his@pron1%gen honde@n a@indef_art brod@adj mirour@n of@prep glas@n,and@conj in@prep his@pron1%gen honde@n a@indef_art brod@adj mirour@n of@prep glas@n,
Upon his thombe he hadde of gold a ryng,Upon his thombe he hadde of gold a ring,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 83,,10,10,Upon his thombe he hadde of gold a ryng,Upon his thombe he hadde of gold a ring,uS u Sx u Sx u S u S,uS u Sx u Sx u S u S,upon@prep his@pron1%gen thoume@n he@pron1%nom haven@v%pt_3 of@prep gold@n a@indef_art ring@n,upon@prep his@pron1%gen thoume@n he@pron1%nom haven@v%pt_3 of@prep gold@n a@indef_art ring@n,
And by his syde a naked swerd hangyng;,And by his side a naked° swerd hanging;,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 84,,10,10,And by his syde a naked swerd hangyng,And by his side a naked swerd hanging,u S u Sx u Su S uS,u S u Sx u Su S uS,and@conj bi@prep his@pron1%gen side@n a@indef_art naked@adj sword@n hongen@v%prp_abs,and@conj bi@prep his@pron1%gen side@n a@indef_art naked@adj sword@n hongen@v%prp_abs,
And up he rideth to the heighe bord.,And up he rideth to the heighe bord.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 85,,10,10,And up he rideth to the heighe bord,And up he rideth to the heighe bord,u S u Su S u Su S,u S u Su S u Su S,and@conj up@adv he@pron1%nom riden@v%pr_3 to@prep the@def_art heigh@adj bord@n,and@conj up@adv he@pron1%nom riden@v%pr_3 to@prep the@def_art heigh@adj bord@n,
In al the halle ne was ther spoken a word,In al the hall ne was ther spoke a word,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 86,DIFF,10,10,In al the halle ne was ther spoken a word,In al the hall ne was ther spoke a word,u S u Sx u S u Sx u S,u S u S u S u Sx u S,in@prep al@gram_adj the@def_art halle@n ne@adv ben@v%pt_3 ther@adv speken@v%ppl a@indef_art word@n,in@prep al@gram_adj the@def_art halle@n ne@adv ben@v%pt_3 ther@adv speken@v%ppl a@indef_art word@n,green
